,Time (hpf),2503_NetworkDensity,2503_NetworkDensity_SEM,2503_Area,2503_Area_SEM,2503_Intensity,2503_Intensity_SEM,1801_NetworkDensity,1801_NetworkDensity_SEM,1801_Area,1801_Area_SEM,1801_Intensity,1801_Intensity_SEM,2410_NetworkDensity,2410_NetworkDensity_SEM,2410_Area,2410_Area_SEM,2410_Intensity,2410_Intensity_SEM
0,4.0,13.817499999999999,,625.9279375,,173.46450000000002,,,,,,,,3.1295454545454544,,728.4806363636363,,118.44706818181818,
1,4.5,24.287217391304342,,603.9138260869565,,181.34500000000003,,16.379973789515805,4.102810524209683,640.6750354141657,4.34827070828328,118.58943137254903,0.383431372549019,10.380744186046512,,745.3448837209303,,120.9253488372093,
2,5.0,44.62386111111111,,549.5421944444445,,220.41752777777776,,25.570788461538463,0.5072115384615382,680.4007002508362,25.844104096990005,120.32719732441473,0.07538963210702576,32.03071052631578,,667.6470526315791,,133.59323684210526,
3,5.5,48.684,,563.5985882352941,,245.26273529411762,,33.96364960784314,1.3736103921568557,711.9504252941177,20.255954705882342,122.47766137254902,0.3837986274509788,47.00210714285715,,647.3934285714286,,142.50435714285715,
4,6.0,59.413275,,676.5447,,272.362825,,44.72851736111111,6.556461805555557,780.4170902777777,45.2293680555556,125.71659606481482,2.3162997685185327,34.63775510204082,,678.8275918367348,,141.24163265306123,
5,6.5,62.80187804878049,,716.333512195122,,279.51307317073173,,58.168826965669986,2.628707918050942,935.1129357696567,1.4694595791805793,129.42146096345516,0.790818106312301,48.517229166666674,,701.8616666666667,,149.39570833333335,
6,7.0,83.88564102564104,,742.5625384615386,,303.18041025641025,,67.84647965116278,1.4937296511627876,943.7351978319784,20.29575338753375,132.31602034883724,0.4317703488372188,56.990100000000005,,762.8624199999999,,152.73066,
7,7.5,76.21536363636363,,790.3397878787879,,307.60187878787883,,78.74809090909092,,1010.212,,135.38686363636364,,66.22410416666666,,807.18025,,156.99352083333335,
8,8.0,84.9685,,926.3510416666667,,342.5158333333334,,,,,,,,78.05959574468085,,831.3628936170213,,164.9842340425532,
9,8.5,95.84137037037037,,1008.4399629629629,,333.43455555555556,,,,,,,,95.06371739130438,,915.6654347826087,,168.80189130434783,
10,9.0,,,,,,,,,,,,,,,,,,
11,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
