,Time (hpf),08042021_000,11022021_002,11022021_003,11022021_001
0,4.5,587.8501947339091,722.400793548387,649.8914636015327,598.0939624413145
1,4.75,598.697000601028,773.2151518987342,675.6796,640.2910675675674
2,5.0,617.8982360307513,799.9145389221557,719.0794477611939,676.7744088888887
3,5.25,632.5477401583515,818.7827485714286,773.7979015151516,688.4370966386555
4,5.5,661.6496252225619,839.8111063829787,819.2156627906977,739.2226153846154
5,5.75,692.9155901693916,871.9345578947368,853.9550157480315,768.0110829875518
6,6.0,719.5669242685699,903.6015561224489,898.9704326530612,872.49345021645
7,6.25,742.1289775021102,955.1557425742575,982.2451767937944,908.391856521739
8,6.5,753.6134969108084,1021.6558133971292,1093.2940805687203,946.3614741379308
9,6.75,770.6056133393944,1067.3859162561575,1164.4658620689656,1002.3123243243243
10,7.0,814.7296779151146,1102.2565126903553,1251.1353756613755,1046.9568037383178
11,7.25,868.7139795481138,1160.8755340314137,1315.0906666666665,1112.656884057971
12,7.5,897.1824364866019,1145.2916666666667,1371.844257142857,1171.0905099009901
13,7.75,886.0508187894479,1180.5008144329897,1382.628582857143,1219.555944723618
14,8.0,884.3133274636962,1155.85428,1407.0608779069767,1252.916031088083
15,8.25,857.8925435684052,1146.6848669450192,1403.0035173410404,1303.1949946380312
16,8.5,823.0499464771132,1092.5136857142857,1335.3222131147543,1320.8820320855616
