,25032023_Apical,08022023_Apical,21032023_Apical,25032023_2_Apical,21032023_2_Apical
0,5.855,10.025,4.476,16.951,9.027
1,6.082,6.913,4.037,25.256,6.762
2,6.659,8.973,3.855,14.365,3.977
3,11.548,12.624,4.193,22.523,7.354
4,10.853,16.581,5.397,34.93,7.032
5,7.993,11.813,5.573,26.115,9.661
6,7.294,17.136,7.903,24.269,13.621
7,5.27,14.936,3.05,27.299,11.35
8,4.529,29.56,9.371,30.69,4.806
9,8.598,13.129,4.372,65.185,6.139
10,8.046,12.427,4.963,50.972,8.023
11,4.686,12.003,5.545,38.34,6.27
12,4.651,,5.327,36.207,5.145
13,6.003,,3.185,46.433,5.834
14,17.221,,6.21,23.097,6.561
15,5.657,,3.78,18.8,7.544
16,5.978,,8.699,40.58,4.198
17,5.877,,12.421,28.982,3.709
18,5.119,,5.057,27.943,
