,25032023_Junction,08022023_Junction,21032023_Junction,25032023_2_Junction,21032023_2_Junction
0,0.476,0.376,0.246,1.188,0.247
1,0.761,0.387,0.366,1.702,0.368
2,0.446,0.359,0.294,0.734,0.129
3,1.541,0.528,0.29,1.705,0.439
4,1.301,1.494,0.282,1.139,0.483
5,1.887,0.411,0.372,1.68,0.393
6,0.512,0.566,0.307,2.601,0.64
7,0.676,0.469,0.163,2.982,0.522
8,0.458,0.806,0.435,3.667,0.227
9,0.65,0.479,0.188,3.166,0.288
10,0.838,0.643,0.286,7.2,0.388
11,0.441,0.271,0.328,4.571,0.373
12,0.419,,0.436,2.478,0.226
13,0.418,,0.124,3.17,0.22
14,1.466,,0.233,1.934,0.345
15,0.852,,0.169,1.319,0.39
16,0.969,,0.356,2.154,0.248
17,0.55,,0.634,2.193,0.183
18,0.542,,0.231,2.076,
