Time (hpf),caMypt_Mean_15022023_Pos005,caMypt_Mean_15022023_Pos004,caMypt_Mean_15022023_Pos003,caRhoA_Mean_04042023_Pos004,Control_Mean_04042023_Pos002,caRhoA_Mean_04042023_Pos005,caRhoA_Mean_04042023_Pos003,caMypt_Mean_24062020_Pos004,Control_Mean_24062020_Pos007,caMypt_Mean_24062020_Pos002,caMypt_Mean_24062020_Pos005,caMypt_Mean_24062020_Pos001,Control_Mean_24062020_Pos006,caRhoA_Mean_30102023_Pos004,Control_Mean_30102023_Pos002,Control_Mean_30102023_Pos001,Control_Mean_04062022_Pos002,caMypt_Mean_04062022_Pos006,caMypt_Mean_04062022_Pos007,caMypt_Mean_04062022_Pos005,Control_Mean_04062022_Pos001,caMypt_Mean_04062022_Pos004,caMypt_Mean_04062022_Pos003,Control_Mean_06092023_Pos008,Control_Mean_06092023_Pos009
4.125,135.619,81.257,79.264,269.985,86.233,251.539,186.081,161.041,237.825,142.844,157.0,179.933,188.993,148.902,189.715,84.718,94.573,39.86,50.491,61.168,128.441,110.699,55.52,,
4.375,145.67,85.363,81.826,254.791,100.251,244.276,193.97,170.374,265.426,151.481,164.697,195.393,206.944,158.626,199.905,87.121,101.288,42.621,52.398,77.419,137.212,115.57,58.757,46.451,30.498
4.625,154.473,89.638,86.659,258.361,115.332,233.421,197.605,173.926,277.005,154.751,166.392,205.613,214.402,170.024,210.471,90.142,106.379,45.802,53.818,91.65,146.172,118.547,61.929,52.285,32.929
4.875,164.616,95.238,91.295,258.421,128.017,238.31,200.856,175.567,290.532,155.727,167.444,209.234,219.306,184.08,221.503,93.649,110.294,48.206,55.252,100.624,153.032,122.572,65.29,61.056,37.19
5.125,182.98649999999998,104.3835,100.9065,262.983,138.558,242.278,205.065,180.299,311.816,159.255,170.427,217.609,231.868,209.0645,239.386,101.096,113.141,49.793,56.354,105.23,157.513,127.679,66.67,70.079,42.565
5.375,203.135,114.111,111.9,268.247,150.673,248.985,213.292,190.353,345.028,166.067,179.23,234.056,251.777,236.274,257.513,109.394,117.24,51.106,57.404,106.206,159.811,128.352,69.12,81.075,48.178
5.625,218.758,121.608,119.697,279.257,165.777,258.48,224.883,206.283,393.833,178.385,190.678,255.906,282.781,255.101,269.969,114.277,120.197,53.09,59.48,106.449,158.9,128.875,71.816,91.353,54.024
5.875,236.375,129.641,129.084,288.726,184.846,270.826,234.945,224.488,431.12,199.568,201.483,295.892,309.15,274.924,282.267,119.887,123.876,55.922,61.882,109.635,159.112,130.968,76.084,101.899,60.784
6.125,254.691,136.462,139.932,292.12,201.06,283.275,254.679,230.321,466.962,203.821,208.918,311.048,334.712,296.494,294.209,125.753,130.237,59.235,64.849,112.286,162.099,137.902,79.854,113.71,68.587
6.375,283.31399999999996,147.4805,158.44650000000001,325.311,215.585,299.619,260.68,242.693,493.071,213.634,221.36,331.452,353.562,325.4935,312.04200000000003,136.3485,134.216,62.544,67.339,116.544,164.462,141.479,82.451,124.884,76.354
6.625,313.568,156.067,178.616,366.102,231.278,319.211,276.307,250.148,509.478,219.312,226.402,346.612,369.002,352.688,327.359,146.861,138.166,65.596,70.08,118.598,166.517,142.435,86.203,135.33,84.31
6.875,333.435,162.34,193.126,,249.365,341.422,293.221,263.531,536.362,232.919,234.155,366.302,381.761,367.402,336.739,153.909,140.897,69.06,72.445,125.26,171.325,147.314,89.706,145.712,92.17
7.125,354.117,171.448,209.649,,268.3,362.578,312.729,260.912,557.076,230.093,228.985,381.747,396.963,381.12,345.486,160.323,146.058,73.568,75.103,128.053,175.921,156.465,91.197,157.921,100.931
7.375,370.868,177.978,225.733,,286.492,383.809,331.977,271.213,583.459,238.675,240.33,404.702,417.097,400.234,353.812,166.594,149.985,77.19,78.435,131.856,183.04,159.632,91.614,170.752,110.354
7.625,393.4565,183.638,249.6215,,306.598,404.915,363.498,285.866,608.708,247.944,241.853,429.252,432.365,432.9975,376.4615,180.7735,154.778,79.793,81.795,133.202,186.898,159.523,92.336,182.528,120.415
7.875,413.284,186.559,272.207,,326.943,416.236,382.032,294.664,642.1,261.701,252.782,455.775,458.622,465.306,399.858,195.591,158.762,83.863,86.86,137.159,193.436,161.533,93.847,195.704,131.329
8.125,425.08,188.048,286.702,,344.99,450.544,400.992,310.568,668.178,274.655,255.89,491.233,482.997,484.138,413.454,204.92,164.079,87.073,90.575,139.542,201.779,162.474,96.436,207.24,141.934
