value,type
5.81,early_control_pre
9.36,early_control_pre
8.11,early_control_pre
15.572,early_control_pre
13.214,early_control_pre
11.978,early_control_pre
11.617,early_control_pre
15.394,early_control_pre
10.746,early_control_pre
11.874,early_control_pre
14.873,early_control_pre
8.096,early_control_pre
10.824,early_control_pre
10.573,early_control_pre
11.07,early_control_post
22.8,early_control_post
18.868,early_control_post
26.245,early_control_post
24.101,early_control_post
25.491,early_control_post
18.768,early_control_post
22.076,early_control_post
19.746,early_control_post
16.753,early_control_post
25.337,early_control_post
11.344,early_control_post
15.508,early_control_post
16.45,early_control_post
21.098,late_control_pre
7.195,late_control_pre
14.957,late_control_pre
10.095,late_control_pre
11.467,late_control_pre
9.577,late_control_pre
13.375,late_control_pre
20.174,late_control_pre
11.149,late_control_pre
15.774,late_control_pre
21.917,late_control_pre
7.442,late_control_pre
11.689,late_control_pre
9.475,late_control_pre
12.221,late_control_pre
5.76,late_control_pre
14.501,late_control_pre
9.468,late_control_pre
10.916,late_control_pre
8.307,late_control_pre
7.557,late_control_pre
9.811,late_control_pre
11.337,late_control_pre
6.654,late_control_pre
8.612,late_control_pre
8.441,late_control_pre
7.283,late_control_pre
4.371,late_control_pre
10.593,late_control_pre
1.622,late_control_pre
7.301,late_control_pre
9.159,late_control_pre
5.834,late_control_pre
10.127,late_control_pre
2.227,late_control_pre
1.036,late_control_pre
6.112,late_control_pre
2.527,late_control_pre
9.245,late_control_pre
9.974,late_control_pre
32.945,late_control_post
11.264,late_control_post
28.434,late_control_post
16.899,late_control_post
17.146,late_control_post
17.685,late_control_post
24.601,late_control_post
28.897,late_control_post
15.437,late_control_post
22.473,late_control_post
33.896,late_control_post
10.799,late_control_post
16.527,late_control_post
14.381,late_control_post
17.964,late_control_post
20.087,late_control_post
24.92,late_control_post
14.412,late_control_post
13.994,late_control_post
14.415,late_control_post
12.793,late_control_post
16.684,late_control_post
20.534,late_control_post
9.581,late_control_post
17.149,late_control_post
13.514,late_control_post
12.666,late_control_post
15.812,late_control_post
14.623,late_control_post
12.746,late_control_post
13.233,late_control_post
14.881,late_control_post
16.642,late_control_post
11.744,late_control_post
11.761,late_control_post
10.661,late_control_post
10.761,late_control_post
8.563,late_control_post
12.634,late_control_post
11.641,late_control_post
1.622,early_cytoD_pre
7.301,early_cytoD_pre
9.159,early_cytoD_pre
2.227,early_cytoD_pre
1.036,early_cytoD_pre
6.112,early_cytoD_pre
2.527,early_cytoD_pre
9.245,early_cytoD_pre
9.974,early_cytoD_pre
12.746,early_cytoD_post
13.233,early_cytoD_post
14.881,early_cytoD_post
11.761,early_cytoD_post
10.661,early_cytoD_post
10.761,early_cytoD_post
8.563,early_cytoD_post
12.634,early_cytoD_post
11.641,early_cytoD_post
4.371,late_cytoD_pre
10.593,late_cytoD_pre
5.834,late_cytoD_pre
10.127,late_cytoD_pre
15.812,late_cytoD_post
14.623,late_cytoD_post
16.642,late_cytoD_post
11.744,late_cytoD_post
