Time (hpf),Control_Mean_20072023_Pos003,K4K8MO_Mean_20072023_Pos006,K4K8MO_Mean_20072023_Pos008,K4K8MO_Mean_20072023_Pos009,Control_Mean_27072023_Pos003,Control_Mean_27072023_Pos005,K4K8MO_Mean_27072023_Pos006,K4K8MO_Mean_27072023_Pos007,K4K8MO_Mean_27072023_Pos009
4.25,263.76,172.84300000000002,162.712,155.15800000000002,155.923,180.4605,203.2335,219.0405,262.4975
4.75,233.99,150.36649999999997,142.462,137.22250000000003,145.8625,167.161,188.8515,207.4395,244.2975
5.25,225.5,140.7055,135.8085,127.439,141.392,162.041,178.06900000000002,200.079,235.031
5.75,217.60500000000002,137.178,131.361,123.202,138.428,159.756,170.67700000000002,194.75549999999998,224.93099999999998
6.25,222.9475,141.7095,137.8965,126.0415,138.567,159.832,165.9555,190.53199999999998,217.272
6.75,228.255,143.1475,139.749,125.321,145.56900000000002,163.635,165.17000000000002,188.7575,214.84550000000002
7.25,226.336,137.52100000000002,132.5565,118.71950000000001,157.21633333333332,177.17966666666666,167.28,189.58966666666666,214.54399999999998
7.75,222.60250000000002,133.257,128.46300000000002,114.66050000000001,169.437,191.0595,172.0215,193.3385,217.68200000000002
8.25,219.581,130.66033333333334,125.67,111.88533333333334,181.9355,202.8155,177.6155,195.523,220.73250000000002
8.75,216.6925,128.58350000000002,122.4635,110.1585,190.534,212.4725,184.18099999999998,193.809,222.9135
9.25,212.18900000000002,128.0565,121.6575,110.2825,195.10399999999998,217.0775,190.9515,188.84,224.429
9.75,209.2135,127.682,122.73400000000001,109.84700000000001,200.28,219.7875,198.61950000000002,186.996,227.7495
10.25,208.7095,127.184,121.9075,110.195,210.79333333333332,229.615,206.97,185.68866666666668,234.798
10.75,211.54500000000002,127.226,121.536,109.945,220.2095,239.30399999999997,210.84,180.601,238.4905
11.25,216.3675,127.7755,127.382,109.5195,225.347,244.488,211.2025,172.832,238.9965
11.75,221.7175,129.5085,136.0205,109.87100000000001,228.482,248.061,210.32350000000002,165.2715,237.624
12.25,224.0495,132.085,58.303,112.75649999999999,232.55,251.6735,208.4235,158.5745,236.357
12.75,224.22266666666667,133.37400000000002,4.894666666666667,86.771,236.544,256.00350000000003,204.34050000000002,153.97899999999998,230.346
13.25,228.4995,12.761,2.4435000000000002,4.206,239.264,260.411,198.154,150.8756666666667,216.85933333333332
13.75,235.12150000000003,3.492,2.1335,2.5585,238.583,264.094,202.5145,148.594,207.289
14.25,245.945,2.487,2.0125,2.0965,236.291,263.585,207.4795,147.0925,201.4185
14.75,255.313,2.3145,2.0084999999999997,2.128,230.5845,260.3865,157.3095,141.595,195.38
15.25,264.8615,2.2329999999999997,1.97,2.135,225.2165,255.136,85.404,137.015,211.446
15.75,276.76750000000004,2.157,1.9340000000000002,2.1260000000000003,224.864,254.172,14.0855,132.715,216.382
16.25,286.966,2.0995,1.8295,2.1225,224.71133333333333,255.2493333333333,5.4126666666666665,127.33266666666667,59.43466666666666
16.75,295.7355,2.0435,1.7445,2.1065,223.365,252.7815,3.3745,123.75450000000001,8.8545
17.25,304.55266666666665,1.969,1.6940000000000002,2.0856666666666666,221.4665,248.7935,2.8385,119.23150000000001,5.978
17.75,312.2175,1.9224999999999999,1.663,2.0625,221.4365,247.583,2.5555000000000003,113.919,4.4455
18.25,318.27,1.8725,1.633,2.0435,222.872,248.88049999999998,2.4405,110.55199999999999,3.621
18.75,323.43899999999996,1.824,1.6005,2.011,228.113,253.0025,2.371,72.9855,3.2935
19.25,327.5815,1.763,1.582,1.956,233.23566666666667,259.0406666666667,2.296,13.796000000000001,3.079
