 ,Area,Mean,Min,Max,Slice,microns
1,385906.487,17.904,0,231,1,0.000
2,385906.487,19.300,0,310,2,0.999
3,385906.487,20.786,0,310,3,1.999
4,385906.487,22.654,0,385,4,2.998
5,385906.487,24.755,0,551,5,3.998
6,385906.487,27.334,0,759,6,4.997
7,385906.487,30.075,0,691,7,5.997
8,385906.487,33.254,0,672,8,6.996
9,385906.487,36.764,0,648,9,7.996
10,385906.487,40.527,0,891,10,8.995
11,385906.487,44.819,0,900,11,9.995
12,385906.487,49.551,0,854,12,10.994
13,385906.487,54.453,0,892,13,11.993
14,385906.487,59.532,0,1068,14,12.993
15,385906.487,64.829,0,992,15,13.992
16,385906.487,70.653,0,1346,16,14.992
17,385906.487,76.933,0,1223,17,15.991
18,385906.487,83.682,0,1406,18,16.991
19,385906.487,90.701,0,1559,19,17.990
20,385906.487,97.848,0,1578,20,18.990
21,385906.487,105.391,0,2178,21,19.989
22,385906.487,113.438,0,1812,22,20.988
23,385906.487,121.255,0,1682,23,21.988
24,385906.487,129.450,0,1822,24,22.987
25,385906.487,137.926,0,1760,25,23.987
26,385906.487,146.584,0,2075,26,24.986
27,385906.487,155.251,0,2282,27,25.986
28,385906.487,163.948,0,1908,28,26.985
29,385906.487,172.359,0,2494,29,27.985
30,385906.487,180.821,0,2003,30,28.984
31,385906.487,189.363,0,2525,31,29.984
32,385906.487,197.796,0,2517,32,30.983
33,385906.487,206.328,0,2259,33,31.982
34,385906.487,215.406,0,2664,34,32.982
35,385906.487,223.544,0,2338,35,33.981
36,385906.487,231.348,0,2005,36,34.981
37,385906.487,239.059,0,2232,37,35.980
38,385906.487,246.708,0,2232,38,36.980
39,385906.487,252.846,0,2059,39,37.979
40,385906.487,259.382,0,2167,40,38.979
41,385906.487,264.606,0,2115,41,39.978
42,385906.487,269.423,0,1817,42,40.978
43,385906.487,273.853,0,1872,43,41.977
44,385906.487,277.456,0,1649,44,42.976
45,385906.487,280.734,0,2037,45,43.976
46,385906.487,284.020,0,1486,46,44.975
47,385906.487,287.127,0,1652,47,45.975
48,385906.487,290.927,0,1707,48,46.974
49,385906.487,295.972,0,2084,49,47.974
50,385906.487,300.259,0,1934,50,48.973
51,385906.487,305.509,0,1773,51,49.973
52,385906.487,310.431,0,1392,52,50.972
53,385906.487,315.402,0,2210,53,51.971
54,385906.487,319.616,0,1812,54,52.971
55,385906.487,323.593,0,1911,55,53.970
56,385906.487,329.043,0,2075,56,54.970
57,385906.487,335.122,0,2058,57,55.969
58,385906.487,341.023,0,2851,58,56.969
59,385906.487,346.753,0,2507,59,57.968
60,385906.487,353.277,0,2210,60,58.968
61,385906.487,360.326,0,2382,61,59.967
62,385906.487,366.018,0,2338,62,60.967
63,385906.487,372.181,0,3276,63,61.966
64,385906.487,378.955,0,2593,64,62.965
65,385906.487,385.495,0,2315,65,63.965
66,385906.487,389.899,0,1963,66,64.964
67,385906.487,395.965,0,2801,67,65.964
68,385906.487,402.028,0,2497,68,66.963
69,385906.487,408.036,0,2324,69,67.963
70,385906.487,414.024,0,2711,70,68.962
71,385906.487,419.778,0,2561,71,69.962
72,385906.487,425.265,0,2460,72,70.961
73,385906.487,431.480,0,2770,73,71.960
74,385906.487,436.194,0,2260,74,72.960
75,385906.487,439.784,0,2052,75,73.959
76,385906.487,443.525,0,2225,76,74.959
77,385906.487,447.363,0,2450,77,75.958
78,385906.487,452.330,0,2959,78,76.958
79,385906.487,455.435,0,2654,79,77.957
80,385906.487,458.484,0,2483,80,78.957
81,385906.487,461.612,0,2614,81,79.956
82,385906.487,465.800,0,2512,82,80.956
83,385906.487,468.669,0,2496,83,81.955
84,385906.487,470.796,0,2615,84,82.954
85,385906.487,475.866,0,3194,85,83.954
86,385906.487,480.073,0,3057,86,84.953
87,385906.487,483.363,0,2777,87,85.953
88,385906.487,487.171,0,2977,88,86.952
89,385906.487,490.555,0,2499,89,87.952
90,385906.487,494.050,0,2402,90,88.951
91,385906.487,498.110,0,2784,91,89.951
92,385906.487,501.379,0,2256,92,90.950
93,385906.487,503.830,0,2565,93,91.950
94,385906.487,507.158,0,2446,94,92.949
95,385906.487,511.464,0,2240,95,93.948
96,385906.487,515.181,0,2142,96,94.948
97,385906.487,518.939,0,2438,97,95.947
98,385906.487,521.688,0,2872,98,96.947
99,385906.487,525.415,0,3044,99,97.946
100,385906.487,528.448,0,3153,100,98.946
101,385906.487,531.967,0,2944,101,99.945
102,385906.487,535.905,0,2664,102,100.945
103,385906.487,539.039,0,2165,103,101.944
104,385906.487,541.433,0,2204,104,102.943
105,385906.487,545.545,0,2579,105,103.943
106,385906.487,547.841,0,2576,106,104.942
107,385906.487,548.847,0,2239,107,105.942
108,385906.487,550.950,0,2400,108,106.941
109,385906.487,552.128,0,2307,109,107.941
110,385906.487,552.811,0,2548,110,108.940
