 ,Area,Mean,Min,Max,Slice,microns
1,385906.487,43.919,0,611,1,0.000
2,385906.487,54.241,0,805,2,0.999
3,385906.487,68.402,0,1038,3,1.999
4,385906.487,86.465,0,1290,4,2.998
5,385906.487,106.701,0,1604,5,3.998
6,385906.487,127.420,0,1952,6,4.997
7,385906.487,148.336,0,1807,7,5.997
8,385906.487,169.242,0,2101,8,6.996
9,385906.487,192.219,0,2022,9,7.996
10,385906.487,215.340,0,2121,10,8.995
11,385906.487,240.022,0,2450,11,9.995
12,385906.487,263.143,0,3286,12,10.994
13,385906.487,283.765,0,2399,13,11.993
14,385906.487,305.120,0,2250,14,12.993
15,385906.487,330.329,0,2631,15,13.992
16,385906.487,352.257,0,2616,16,14.992
17,385906.487,369.694,0,2663,17,15.991
18,385906.487,385.394,0,2370,18,16.991
19,385906.487,400.083,0,2725,19,17.990
20,385906.487,417.545,0,2595,20,18.990
21,385906.487,434.329,0,2563,21,19.989
22,385906.487,451.436,0,3485,22,20.988
23,385906.487,466.979,0,2627,23,21.988
24,385906.487,466.159,0,2377,24,22.987
25,385906.487,471.918,0,2670,25,23.987
26,385906.487,480.256,0,3630,26,24.986
27,385906.487,484.024,0,2865,27,25.986
28,385906.487,491.691,0,2872,28,26.985
29,385906.487,500.595,0,3293,29,27.985
30,385906.487,511.181,0,3314,30,28.984
31,385906.487,521.595,0,3104,31,29.984
32,385906.487,535.930,0,2990,32,30.983
33,385906.487,544.478,0,2788,33,31.982
34,385906.487,569.552,0,2843,34,32.982
35,385906.487,588.579,0,3118,35,33.981
36,385906.487,599.369,0,2611,36,34.981
37,385906.487,619.151,0,3059,37,35.980
38,385906.487,623.108,0,4326,38,36.980
39,385906.487,629.530,0,4100,39,37.979
40,385906.487,637.836,0,3697,40,38.979
41,385906.487,647.808,0,4260,41,39.978
42,385906.487,654.219,0,3436,42,40.978
43,385906.487,660.950,0,4318,43,41.977
44,385906.487,666.973,0,4053,44,42.976
45,385906.487,672.651,0,4267,45,43.976
46,385906.487,683.091,0,4397,46,44.975
47,385906.487,693.868,0,5220,47,45.975
48,385906.487,715.437,0,5862,48,46.974
49,385906.487,724.629,0,6525,49,47.974
50,385906.487,731.804,0,5345,50,48.973
