 ,Area,Mean,Perim.,Major,Minor,Angle,%Area
1,890.897,118.624,131.583,38.265,29.644,144.685,25.998
2,679.135,121.607,106.305,33.931,25.484,164.533,35.620
3,824.979,118.485,123.310,36.560,28.731,93.730,19.820
4,706.883,120.368,115.485,40.257,22.357,131.725,33.285
5,493.193,123.204,99.274,32.981,19.040,90.036,39.052
6,831.166,118.737,127.493,38.115,27.766,47.705,21.229
7,710.541,119.729,108.049,32.645,27.713,45.065,25.148
8,1039.105,120.098,130.548,38.410,34.445,75.601,26.561
9,806.030,119.605,115.285,39.492,25.987,30.801,26.779
10,933.242,117.910,132.871,43.326,27.426,113.793,21.859
11,1126.807,122.006,157.683,56.066,25.589,74.032,39.073
12,811.558,123.883,123.251,37.704,27.406,114.357,38.614
13,854.421,118.131,128.472,34.973,31.106,66.726,18.648
14,949.792,118.680,136.300,36.509,33.123,118.489,21.642
15,911.163,120.120,130.039,40.315,28.777,179.507,28.066
16,590.387,125.816,104.992,29.619,25.379,30.409,45.916
17,792.526,118.294,131.412,39.015,25.864,3.857,23.747
18,359.958,126.119,76.335,22.983,19.941,177.456,48.608
19,596.527,125.190,106.440,32.710,23.220,96.774,44.388
20,591.281,127.245,97.538,30.520,24.667,112.147,43.610
21,756.686,127.762,122.012,37.706,25.551,120.301,54.645
22,626.286,132.395,101.484,32.468,24.560,52.589,56.938
23,1067.123,121.551,156.990,47.113,28.839,27.481,33.487
24,1087.425,122.802,146.632,40.697,34.021,43.239,40.864
25,596.468,128.326,98.778,32.431,23.417,28.208,49.745
26,1472.638,123.617,171.246,48.256,38.855,40.847,39.864
27,750.193,120.548,109.429,34.256,27.884,12.769,29.888
28,457.140,132.939,97.036,30.051,19.369,8.271,57.763
29,636.014,121.935,99.091,32.817,24.676,32.896,39.097
30,1220.754,124.490,154.618,40.507,38.372,114.510,39.140
31,272.139,119.429,70.252,20.367,17.013,75.102,24.404
32,445.778,122.460,89.315,31.338,18.111,21.098,39.419
33,691.227,117.747,105.109,33.663,26.145,59.321,19.636
34,550.876,124.999,102.966,32.622,21.500,42.352,42.771
35,642.636,126.152,102.816,30.934,26.451,95.375,47.441
36,534.973,126.065,92.546,28.173,24.177,118.521,46.973
37,463.198,120.413,92.578,27.400,21.524,29.339,33.368
38,605.396,118.982,107.081,28.936,26.638,31.166,24.404
39,591.433,124.113,102.183,31.423,23.965,157.075,48.527
40,384.883,127.920,81.366,28.083,17.450,66.761,52.061
41,918.786,121.318,128.975,39.014,29.985,82.178,34.662
42,817.204,133.526,118.371,38.153,27.272,67.347,62.329
43,1187.207,125.103,157.172,41.728,36.225,130.373,43.958
44,508.413,120.485,90.065,26.410,24.511,60.054,29.723
45,1280.731,122.891,156.413,41.259,39.523,176.862,36.049
46,603.267,126.585,97.371,31.663,24.259,85.027,49.233
47,430.992,137.100,93.276,29.880,18.365,45.846,77.673
48,431.721,128.325,85.268,28.624,19.203,31.737,59.622
49,465.715,122.607,90.745,28.797,20.592,142.725,37.714
50,307.121,123.468,79.665,30.271,12.918,3.564,41.199
51,944.040,116.572,141.371,39.706,30.272,20.528,13.016
52,886.133,121.474,130.292,39.696,28.422,55.441,35.792
53,1128.983,123.247,151.215,44.145,32.563,30.015,40.841
54,436.967,132.419,83.433,26.795,20.764,147.813,51.382
