 ,Area,Mean,Perim.,Major,Minor,Angle,%Area
1,534.103,121.203,94.518,26.913,25.268,69.903,32.790
2,1825.562,118.398,187.785,51.198,45.400,46.909,22.118
3,823.803,119.843,124.589,37.758,27.780,155.362,29.318
4,558.122,125.000,96.592,29.874,23.788,153.033,43.171
5,724.480,120.202,115.770,39.603,23.292,127.906,28.111
6,756.003,120.034,115.503,33.536,28.703,94.220,23.351
7,898.977,118.129,132.596,39.947,28.653,27.166,18.136
8,411.878,123.447,88.977,32.491,16.140,83.142,36.203
9,662.126,119.384,108.537,32.833,25.677,56.516,21.121
10,829.143,123.286,121.609,40.120,26.313,52.185,35.951
11,927.137,121.107,126.439,36.277,32.540,73.722,26.967
12,870.818,117.317,129.804,42.398,26.151,112.836,17.831
13,800.478,118.896,116.484,40.039,25.455,25.894,21.705
14,1005.899,121.170,148.999,55.418,23.111,76.548,32.267
15,728.973,122.102,120.586,35.398,26.220,112.708,31.454
16,845.528,117.689,126.288,35.345,30.459,64.364,16.158
17,1038.258,122.465,136.673,42.191,31.332,32.660,36.794
18,898.554,117.908,135.814,36.902,31.003,96.597,17.112
19,750.557,121.666,120.650,35.821,26.678,11.220,29.225
20,847.740,123.252,120.786,35.558,30.355,72.287,40.808
21,547.924,123.302,99.786,28.264,24.683,9.966,38.236
22,329.128,124.743,76.762,26.765,15.657,26.197,41.500
23,731.208,117.195,125.052,36.934,25.207,6.109,17.402
24,295.334,124.668,69.676,21.418,17.556,162.505,42.735
25,518.647,124.320,98.944,28.575,23.110,100.569,41.265
26,534.985,124.729,93.993,29.498,23.092,107.164,35.493
27,748.228,125.707,118.811,37.335,25.517,119.171,45.187
28,927.678,120.507,146.675,44.958,26.272,30.797,28.742
29,591.386,128.335,99.544,31.614,23.818,58.176,44.637
30,964.036,122.357,134.756,36.894,33.270,37.437,35.938
31,371.144,130.551,79.248,22.339,21.154,140.751,46.069
32,552.417,125.359,96.927,32.197,21.846,34.066,38.791
33,760.861,123.710,125.378,40.321,24.026,117.503,44.573
34,673.030,119.857,102.260,31.503,27.202,7.494,26.223
35,1137.710,122.031,147.476,38.472,37.653,71.852,33.728
36,454.941,130.076,98.788,31.175,18.581,7.108,52.090
37,598.691,116.993,98.787,31.814,23.960,62.765,14.877
38,520.352,122.330,90.193,28.339,23.379,124.951,34.974
39,573.437,122.994,97.617,30.045,24.301,79.976,37.669
40,452.282,119.268,89.166,26.163,22.010,40.723,25.937
41,576.754,120.846,98.778,30.237,24.287,158.296,34.367
42,795.655,120.272,117.775,36.320,27.892,77.925,29.149
43,598.385,130.479,98.441,29.596,25.743,26.448,57.183
44,467.691,119.425,84.286,26.251,22.684,39.199,24.182
45,571.696,121.867,122.252,30.245,24.067,97.091,33.043
46,826.320,118.460,144.553,40.992,25.666,51.499,17.384
47,553.781,120.154,93.237,31.132,22.649,33.552,30.540
48,390.117,120.014,89.131,30.727,16.165,16.771,28.795
49,487.276,124.777,102.380,32.724,18.959,43.398,39.342
50,326.811,125.971,70.175,23.720,17.542,29.557,44.882
51,660.374,122.992,125.771,37.063,22.686,24.995,36.568
