 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,%Area
1,778.419,120.400,121.591,47.900,108.862,33.111,29.933,77.862,7.907
2,542.651,120.212,100.982,64.766,99.641,29.600,23.342,67.454,7.078
3,630.621,120.602,139.204,69.831,125.661,29.621,27.107,152.599,4.567
4,557.913,122.042,118.698,81.140,94.517,28.574,24.860,106.363,7.637
5,516.831,143.374,96.853,91.243,94.043,31.168,21.113,92.463,51.837
6,817.519,125.273,113.226,112.204,132.634,35.497,29.324,105.964,18.199
7,572.213,124.208,13.208,107.163,104.076,34.529,21.100,49.892,14.941
8,539.870,125.260,31.281,114.030,106.999,29.111,23.612,35.273,17.084
9,751.954,125.484,179.375,117.519,113.783,35.573,26.914,36.893,16.630
10,546.651,153.629,60.206,113.916,115.951,36.712,18.959,151.273,58.546
11,744.341,138.397,88.003,120.466,115.889,37.891,25.012,138.861,40.601
12,717.688,124.512,149.399,128.797,123.370,37.454,24.398,93.717,17.115
13,1134.501,130.668,61.247,139.013,144.385,46.188,31.274,140.974,28.890
14,911.272,133.309,126.543,140.074,133.199,36.796,31.533,157.351,35.603
15,729.959,128.128,188.599,144.689,129.384,35.627,26.087,132.854,24.031
16,796.133,147.181,94.500,147.652,125.046,35.777,28.333,23.273,56.902
17,631.384,131.095,31.276,161.086,104.246,30.895,26.020,163.502,29.074
18,917.830,135.486,60.258,168.056,124.651,38.429,30.410,166.249,39.082
19,573.386,130.357,131.017,164.335,103.690,29.518,24.732,23.118,27.914
20,892.773,136.317,101.717,171.949,123.945,36.544,31.105,28.437,40.640
21,522.145,123.945,151.002,171.934,94.787,27.000,24.622,77.909,17.544
22,627.325,128.692,197.078,168.814,100.428,31.238,25.569,160.176,25.679
23,752.822,131.136,180.247,180.055,136.787,47.149,20.330,140.702,33.122
24,819.138,140.042,25.702,185.265,126.218,38.240,27.274,128.081,43.876
25,362.217,138.374,80.375,183.502,89.806,21.937,21.023,166.848,43.463
26,765.468,136.269,121.816,191.982,117.566,32.541,29.950,125.107,36.961
27,436.216,134.626,47.202,192.759,101.266,30.555,18.177,72.058,35.210
28,522.028,130.771,147.568,192.953,104.499,29.566,22.481,173.938,28.288
29,436.485,145.164,171.075,195.476,84.361,27.526,20.190,128.219,49.446
30,490.905,157.419,63.144,199.835,89.155,29.299,21.333,70.945,58.821
31,608.684,154.381,83.739,205.880,99.032,32.858,23.586,62.484,60.175
32,613.318,146.765,106.090,208.773,107.439,30.821,25.337,136.831,46.877
33,614.667,126.990,16.601,207.468,115.039,33.647,23.260,163.964,20.904
34,447.864,143.438,189.550,211.167,84.775,27.370,20.835,158.785,49.146
35,532.550,138.495,150.646,211.357,95.634,34.801,19.484,0.217,43.437
36,780.824,126.357,27.391,135.925,123.337,37.418,26.569,159.065,18.966
37,1063.998,134.527,207.954,126.262,142.298,51.762,26.172,91.480,45.845
38,670.025,123.218,165.417,149.397,108.072,32.513,26.239,101.626,15.129
