 ,Area,Mean,Min,Max,X,Y,Perim.,Major,Minor,Angle,%Area
1,340.864,160.724,125,554,96.277,40.668,76.999,23.278,18.644,121.643,20.218
2,316.030,164.815,124,525,92.707,58.270,80.174,22.951,17.532,16.279,22.118
3,627.647,194.860,126,1391,112.804,67.473,108.574,30.949,25.821,128.193,29.910
4,663.842,174.977,123,1129,75.636,72.623,105.207,34.230,24.693,95.242,23.273
5,599.152,163.283,125,1100,178.086,75.338,119.962,31.144,24.495,117.485,17.770
6,216.226,200.221,127,1489,145.101,70.783,61.067,17.864,15.411,135.775,32.892
7,430.011,225.769,128,1420,132.162,80.887,83.609,23.881,22.927,6.389,41.659
8,718.062,293.651,129,4095,97.158,86.046,113.935,34.733,26.323,6.973,44.508
9,450.667,215.389,124,1183,160.353,83.513,84.603,27.665,20.741,145.448,36.365
10,522.820,152.736,120,670,201.357,84.673,89.658,28.589,23.284,18.588,11.359
11,350.769,171.518,126,790,52.212,60.141,75.559,25.066,17.817,1.456,22.685
12,380.860,179.332,128,854,30.748,71.301,90.180,32.975,14.706,43.043,23.703
13,878.519,189.376,121,1138,163.680,52.217,118.009,35.226,31.754,3.164,29.539
14,563.521,203.750,124,1413,199.633,62.390,97.830,29.602,24.238,171.290,35.222
15,1003.907,142.326,117,451,195.132,38.431,138.608,43.231,29.567,177.034,5.233
16,458.460,166.895,122,793,165.467,24.226,86.993,27.678,21.090,130.717,19.681
17,911.239,169.220,117,847,117.477,30.999,123.779,36.379,31.893,95.209,23.306
18,671.634,156.690,124,671,133.758,52.670,124.370,32.875,26.012,7.518,15.209
19,631.215,173.714,127,1100,53.055,43.312,121.857,35.645,22.547,169.584,21.151
20,383.865,175.038,124,856,77.839,44.485,79.450,23.203,21.064,89.205,24.178
21,718.156,168.751,119,764,23.467,52.627,132.213,35.180,25.991,78.301,22.225
22,1250.694,179.739,117,974,47.072,86.764,171.530,48.927,32.547,13.093,25.396
23,801.858,148.161,119,480,142.852,21.996,130.402,40.441,25.245,117.697,11.006
