 ,Area,Mean,Min,Max,Perim.,Major,Minor,Angle,%Area
1,657.974,349.562,127,2306,118.276,35.060,23.895,155.751,74.608
2,638.163,273.995,127,1885,97.984,29.379,27.657,78.395,53.715
3,453.390,170.429,122,1022,81.842,27.009,21.374,152.909,33.351
4,918.844,208.964,121,1540,120.203,39.423,29.675,158.344,54.110
5,595.772,314.353,125,2391,99.538,28.464,26.650,15.275,59.286
6,812.186,244.181,124,1856,117.397,34.648,29.846,175.586,56.922
7,775.569,344.117,132,3002,121.340,38.610,25.576,164.642,67.720
8,498.268,289.309,125,2064,87.767,26.398,24.033,19.466,53.250
9,531.787,206.783,125,1133,95.293,29.079,23.284,10.248,45.295
10,471.369,247.087,126,1763,92.740,29.168,20.576,21.488,50.762
11,704.589,276.649,123,4095,122.894,36.903,24.310,3.230,53.435
12,806.318,271.211,124,2542,126.549,34.503,29.755,172.487,58.634
13,821.997,245.265,124,2316,135.698,44.114,23.725,115.936,51.702
14,400.436,290.816,126,4095,91.449,36.011,14.158,36.170,56.764
15,1262.571,212.652,120,4095,152.674,50.451,31.864,8.708,50.366
16,924.947,347.626,128,4095,140.867,49.367,23.855,13.303,66.127
17,750.642,229.228,123,1548,116.229,36.109,26.469,156.820,42.527
18,665.297,265.058,128,1682,108.021,32.398,26.146,165.952,58.411
19,347.107,206.285,127,1117,82.988,27.710,15.949,6.567,45.956
20,364.524,196.421,125,797,98.457,24.695,18.794,42.072,48.268
21,322.508,177.773,122,771,80.734,22.170,18.522,45.519,37.060
22,473.106,309.546,129,2199,94.044,26.359,22.853,82.819,69.657
23,239.370,205.959,126,902,64.590,20.208,15.082,22.058,53.305
24,200.030,282.096,128,1935,62.699,18.454,13.801,32.643,60.033
25,448.460,304.047,129,1839,91.427,26.121,21.860,5.116,70.292
26,533.712,303.505,126,2023,114.140,40.180,16.912,166.629,76.726
27,636.004,355.994,125,2695,108.340,37.370,21.669,165.330,70.741
28,601.358,254.016,124,1669,119.542,38.558,19.858,142.777,59.813
29,298.989,249.917,128,1381,79.836,24.198,15.732,152.742,58.518
30,489.772,277.633,124,1640,100.111,35.583,17.525,87.636,71.839
31,925.839,241.040,124,1233,123.993,35.584,33.127,47.857,61.013
32,940.016,236.318,122,1677,137.103,46.089,25.968,145.741,54.505
33,292.229,281.921,128,1549,78.041,23.468,15.855,98.244,68.594
34,593.613,281.944,126,1491,101.770,31.767,23.792,176.119,66.825
35,364.242,263.827,127,1540,90.989,26.000,17.837,94.816,67.844
36,789.794,219.728,121,1101,124.680,43.943,22.884,102.743,50.291
37,955.507,248.935,123,1260,135.772,44.889,27.102,153.670,66.356
38,673.888,219.446,126,1051,129.682,39.652,21.639,5.051,69.432
39,618.024,160.350,120,861,116.862,34.218,22.997,113.961,28.819
