 ,Area,Mean,Perim.,Major,Minor,Angle,%Area
1,930.204,385.666,128.340,37.950,31.209,135.519,95.680
2,845.282,311.793,137.843,44.718,24.067,140.817,89.381
3,753.459,379.004,125.710,41.946,22.871,155.489,99.065
4,954.803,304.532,128.747,42.412,28.664,4.795,93.839
5,1033.811,291.049,142.885,44.401,29.646,110.597,74.893
6,494.607,351.643,100.216,31.006,20.311,95.169,92.796
7,805.379,360.803,126.072,36.403,28.169,177.169,91.927
8,841.292,234.654,129.347,43.190,24.801,145.861,69.477
9,1155.538,280.128,155.002,57.338,25.660,138.111,86.301
10,624.643,237.948,104.759,30.123,26.403,113.702,67.609
11,475.547,456.412,91.480,28.284,21.407,53.993,90.188
12,1287.311,327.817,167.670,52.499,31.221,120.143,95.190
13,1123.803,279.497,144.887,49.721,28.778,117.793,85.438
14,1183.188,243.414,168.970,55.807,26.994,128.166,77.158
15,563.099,406.431,96.040,30.826,23.258,114.072,98.483
16,1009.963,243.553,136.039,44.401,28.961,96.420,74.770
17,1070.287,230.804,148.488,46.481,29.318,135.387,71.205
18,364.524,474.964,77.175,22.271,20.840,144.536,99.755
19,804.910,239.042,120.965,34.299,29.879,124.794,71.259
20,1256.609,279.926,165.520,54.183,29.529,128.627,86.185
21,857.534,416.047,125.153,42.194,25.877,148.568,98.139
22,1223.654,254.467,159.181,52.618,29.610,158.409,75.915
23,941.377,270.767,126.750,39.970,29.987,87.699,80.113
24,862.182,301.174,124.352,39.294,27.937,142.176,79.511
25,565.915,358.414,97.012,28.718,25.091,97.160,74.061
26,758.294,382.054,124.736,39.901,24.197,170.897,80.691
27,639.806,269.313,130.213,33.848,24.067,70.027,76.638
28,322.884,433.741,74.785,21.999,18.688,116.576,94.359
29,1286.701,316.533,142.443,43.271,37.860,117.199,86.749
30,905.793,314.857,148.571,52.939,21.785,124.902,96.927
31,906.967,229.727,138.766,41.504,27.824,80.284,77.319
32,649.195,445.348,124.615,44.808,18.447,145.447,99.429
33,317.298,357.525,76.045,24.326,16.608,139.040,65.720
