 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,%Area
1,616.381,351.268,30.787,27.062,99.521,30.367,25.844,112.985,99.794
2,1206.426,272.792,50.038,53.924,148.878,50.672,30.314,88.717,93.739
3,1157.603,278.840,20.546,56.089,154.839,46.471,31.717,118.212,95.065
4,1205.205,286.066,67.009,95.484,147.285,54.269,28.276,119.126,95.661
5,389.076,656.340,21.981,82.881,77.871,23.851,20.770,130.553,100.000
6,1367.257,343.347,43.172,107.507,160.737,53.083,32.795,117.633,99.464
7,1002.593,324.621,159.108,132.462,138.469,43.092,29.624,94.766,98.694
8,1452.086,311.159,97.066,139.000,166.475,60.985,30.316,132.893,98.063
9,1055.499,347.992,69.056,145.041,138.457,48.254,27.851,130.630,98.786
10,1422.699,348.190,190.111,151.459,144.943,44.278,40.911,123.004,97.093
11,908.704,359.769,136.405,150.974,127.412,43.294,26.724,147.628,99.272
12,913.070,312.235,54.278,163.040,135.078,49.628,23.425,137.273,97.023
13,780.874,350.495,36.042,174.112,123.329,45.310,21.943,147.838,99.832
14,1285.715,227.885,171.100,177.743,151.579,50.735,32.266,147.831,85.110
15,1019.774,270.985,94.613,175.545,127.635,40.760,31.855,167.902,96.976
16,1379.228,242.120,133.949,182.467,149.982,53.397,32.887,132.285,89.496
17,966.258,267.103,73.010,198.910,119.257,38.638,31.841,126.694,87.159
18,522.304,394.907,33.677,138.627,96.339,27.114,24.526,36.118,98.193
19,667.597,441.934,91.615,49.722,103.942,30.275,28.076,104.933,99.923
20,618.352,309.513,104.555,112.700,123.101,34.219,23.008,114.221,99.256
21,1100.284,452.342,130.080,116.940,132.291,41.503,33.754,109.697,99.851
22,769.138,296.547,107.459,201.068,116.097,37.191,26.331,9.202,97.009
23,692.759,223.895,43.282,199.378,112.761,35.052,25.164,144.889,81.168
24,1088.501,210.963,68.538,26.875,151.351,49.108,28.222,99.663,85.134
25,1103.993,413.092,98.419,20.938,139.063,41.501,33.870,132.849,99.898
26,1033.717,423.108,144.406,28.463,159.725,63.346,20.777,131.419,99.841
27,1502.786,285.225,182.973,40.357,159.069,48.210,39.689,110.789,96.217
