 ,Area,Mean,Perim.,Major,Minor,Angle
1,474.021,27.242,92.434,27.983,21.568,29.199
2,450.468,19.134,92.140,31.331,18.306,5.337
3,501.992,31.475,90.424,32.091,19.917,56.158
4,643.315,30.705,105.156,32.738,25.020,49.210
5,839.106,35.225,127.707,39.332,27.163,31.478
6,594.735,27.287,98.171,36.558,20.714,134.512
7,438.691,40.953,85.987,27.362,20.414,34.995
8,743.419,17.758,107.755,33.372,28.364,32.158
9,852.355,25.979,153.150,50.784,21.370,19.042
10,728.698,45.242,108.172,33.091,28.038,179.000
11,544.683,36.211,96.161,32.474,21.356,38.665
12,552.044,28.555,102.486,34.080,20.624,42.278
13,527.018,24.673,90.302,27.608,24.305,160.288
14,532.906,33.577,93.440,30.013,22.608,174.011
15,538.795,34.470,105.573,36.336,18.880,23.201
16,765.501,26.344,115.573,41.202,23.656,17.593
17,469.605,31.915,87.581,28.566,20.931,170.520
18,825.857,34.989,114.202,35.550,29.578,23.430
19,690.423,35.804,103.735,30.170,29.137,66.543
20,777.277,33.057,115.990,40.659,24.341,46.361
21,320.921,37.353,74.565,25.867,15.797,58.807
22,715.449,34.712,111.309,37.446,24.327,53.053
23,429.858,39.164,88.830,26.111,20.961,67.895
24,817.025,27.834,114.274,35.413,29.375,1.164
25,669.813,41.560,117.878,44.475,19.175,47.274
26,529.962,24.453,99.125,31.517,21.410,120.833
27,687.478,27.248,107.999,32.897,26.608,135.641
28,471.077,36.897,85.571,27.481,21.826,66.577
29,808.192,32.306,115.573,35.380,29.085,158.646
30,291.479,49.141,76.697,26.977,13.757,159.668
31,569.709,25.302,96.871,30.755,23.585,37.521
32,976.013,34.575,134.032,47.265,26.292,25.274
33,693.367,38.633,105.156,32.047,27.548,54.737
34,646.259,29.932,107.583,37.017,22.229,143.287
35,743.419,29.604,113.980,31.514,30.036,112.747
36,833.218,33.726,117.584,37.508,28.284,58.164
37,671.285,30.121,105.695,33.889,25.221,134.987
38,425.442,26.173,85.571,29.249,18.520,123.785
39,357.724,49.284,82.972,28.931,15.743,14.404
40,787.582,27.852,117.411,37.962,26.416,69.134
41,958.348,34.300,129.006,42.297,28.849,139.464
42,421.025,33.175,87.287,31.403,17.071,126.797
43,709.560,35.201,110.842,33.269,27.156,26.804
44,796.415,24.181,114.741,33.967,29.853,70.909
45,703.672,32.008,103.146,31.416,28.519,132.287
46,546.155,33.367,96.871,32.701,21.265,29.351
47,683.062,37.909,111.309,41.018,21.203,49.665
48,739.002,35.118,110.131,38.011,24.754,47.222
49,568.237,49.306,93.145,28.660,25.244,47.641
50,497.575,50.225,101.014,35.983,17.606,56.500
51,577.070,45.125,97.998,27.804,26.426,165.995
52,491.687,24.883,94.028,31.722,19.735,129.561
53,659.508,25.839,101.430,30.529,27.505,73.609
54,532.906,51.865,93.023,30.767,22.053,38.624
55,1070.229,41.447,132.316,40.385,33.742,35.765
56,691.895,36.432,119.422,42.174,20.888,71.995
57,1054.035,45.746,130.133,42.639,31.475,58.488
58,547.627,30.793,98.465,37.432,18.627,138.376
59,428.386,38.388,85.571,31.643,17.237,72.311
60,741.947,37.125,109.837,33.465,28.229,4.131
61,481.382,48.239,91.724,28.102,21.810,96.950
62,465.189,35.060,89.003,27.949,21.192,44.099
63,260.565,66.977,67.579,18.796,17.650,34.440
64,677.174,36.946,105.278,30.728,28.059,9.862
65,634.482,43.390,99.298,29.640,27.256,174.301
66,747.835,36.144,111.431,32.942,28.904,67.501
67,789.054,42.888,134.276,42.952,23.390,80.643
68,619.761,33.029,106.283,35.274,22.371,98.040
69,619.761,50.150,104.567,30.612,25.778,80.346
70,376.862,48.262,76.697,23.498,20.420,66.138
71,850.883,34.675,120.721,40.714,26.610,150.442
72,222.290,49.762,65.569,22.921,12.348,96.940
73,647.731,44.580,107.288,37.116,22.220,89.199
74,628.594,41.642,99.003,29.268,27.346,121.958
75,276.758,32.309,84.271,24.772,14.225,92.056
76,602.096,26.526,103.146,36.187,21.185,108.978
77,610.928,51.133,109.126,34.827,22.335,98.843
78,621.233,30.763,110.720,38.183,20.715,72.034
79,370.973,38.313,83.144,32.217,14.661,70.700
80,524.073,52.480,90.424,26.713,24.979,113.773
81,756.668,45.800,111.725,36.200,26.614,59.540
82,925.961,45.203,130.549,45.301,26.025,86.429
83,746.363,45.659,116.701,40.796,23.294,85.306
84,683.062,55.095,111.309,39.337,22.109,63.807
85,722.809,46.161,111.137,39.826,23.108,78.273
86,627.122,39.890,102.679,31.847,25.072,103.288
87,395.999,60.922,82.850,27.959,18.033,78.217
88,481.382,51.850,90.718,28.241,21.703,45.664
89,662.452,39.740,107.410,34.582,24.390,110.258
90,338.587,41.813,71.722,23.146,18.625,51.694
91,562.348,43.759,99.003,33.168,21.587,84.650
92,447.523,53.543,88.586,30.661,18.584,116.863
93,320.921,24.555,80.129,27.256,14.991,100.351
94,607.984,29.438,103.146,35.356,21.895,97.240
95,537.322,28.740,103.268,37.113,18.434,88.856
96,708.088,41.389,109.421,39.621,22.755,103.816
97,918.601,46.723,118.467,36.971,31.636,121.968
98,881.798,27.407,120.305,41.747,26.894,65.329
99,550.572,37.572,95.033,28.482,24.613,62.605
100,362.141,66.878,77.286,24.126,19.112,40.230
101,516.713,60.262,90.718,26.899,24.458,81.198
102,557.932,45.871,101.430,33.308,21.327,98.291
103,549.099,30.705,102.852,36.771,19.013,58.530
104,855.300,47.053,117.878,39.938,27.267,106.988
105,1017.232,32.366,124.153,38.138,33.960,113.371
106,384.222,64.184,78.291,26.575,18.409,52.143
107,566.765,37.764,97.288,30.949,23.317,84.709
108,739.002,28.727,116.162,40.028,23.507,79.086
109,491.687,66.850,97.288,36.441,17.179,111.290
110,780.222,42.481,117.289,36.638,27.114,52.991
111,958.348,38.919,146.998,53.517,22.800,84.195
112,722.809,31.383,117.878,38.851,23.688,56.129
113,1457.395,37.467,160.014,48.454,38.296,110.800
114,678.646,51.141,101.846,33.422,25.854,86.643
115,638.899,56.972,106.578,34.231,23.764,74.658
116,796.415,40.919,120.427,43.800,23.151,88.209
117,322.393,53.183,73.732,21.321,19.252,66.228
118,605.040,26.127,103.735,31.772,24.247,140.773
119,877.381,52.153,129.006,46.342,24.106,67.017
120,516.713,50.909,92.851,32.029,20.541,106.224
121,381.278,31.471,101.430,32.213,15.070,85.678
122,618.289,39.852,101.014,31.786,24.766,9.819
123,819.969,28.948,125.158,43.197,24.169,77.496
124,337.115,36.603,77.286,25.683,16.712,90.637
125,450.468,35.255,90.597,25.598,22.406,68.956
126,398.944,63.568,84.149,26.342,19.283,89.524
127,466.661,38.868,90.840,27.682,21.464,65.302
128,385.695,66.836,82.555,30.315,16.200,80.954
