 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle
1,404.832,37.255,355.872,16.296,83.683,31.300,16.468,2.198
2,587.374,46.288,247.118,30.550,101.430,34.708,21.547,17.935
3,612.400,55.865,329.521,32.818,102.141,33.125,23.539,109.347
4,747.835,24.445,359.316,35.418,111.259,40.642,23.428,5.876
5,569.709,34.571,394.922,36.971,99.298,31.132,23.300,9.754
6,693.367,34.089,303.429,40.223,105.867,31.896,27.678,33.761
7,884.742,44.928,276.627,54.719,127.879,41.818,26.938,59.316
8,282.646,42.818,433.657,46.194,75.742,29.661,12.133,133.414
9,588.847,46.053,254.133,53.489,102.435,37.007,20.260,63.614
10,635.954,40.359,418.875,54.057,101.308,36.371,22.263,136.439
11,721.337,41.163,205.524,56.107,112.730,37.194,24.693,50.491
12,476.966,42.910,231.409,53.210,85.987,27.782,21.859,51.002
13,846.467,19.831,380.182,61.091,113.614,35.962,29.969,47.503
14,443.107,37.502,470.878,60.002,101.014,24.345,23.174,57.198
15,887.686,47.801,319.642,61.745,120.010,39.782,28.411,13.164
16,549.099,58.204,351.793,58.475,99.125,32.610,21.439,34.777
17,680.118,31.955,447.674,70.929,103.440,31.852,27.187,135.946
18,730.170,39.673,400.162,75.313,115.918,40.177,23.140,42.108
19,549.099,51.633,181.647,73.841,95.572,31.033,22.529,38.099
20,887.686,64.400,289.734,79.874,117.878,36.413,31.039,178.579
21,1492.726,37.327,220.159,83.070,165.872,57.577,33.010,24.073
22,660.980,48.477,357.141,81.833,103.440,33.926,24.807,176.342
23,761.084,49.694,420.106,89.014,110.893,32.735,29.603,46.946
24,568.237,42.223,475.016,84.872,94.739,31.339,23.086,156.267
25,605.040,51.759,254.714,87.419,98.587,33.795,22.795,44.919
26,893.575,34.422,321.903,90.008,125.158,45.582,24.960,22.896
27,348.892,54.342,154.758,92.828,79.296,31.045,14.309,55.251
28,665.397,48.801,441.848,99.706,114.274,36.736,23.062,51.310
29,766.973,47.365,175.933,98.880,113.858,40.096,24.355,35.108
30,1018.705,37.728,375.377,104.124,123.980,40.562,31.977,10.114
31,990.734,47.388,271.104,107.708,121.604,41.691,30.257,41.721
32,937.738,33.333,495.015,109.860,123.148,38.416,31.080,110.026
33,665.397,34.268,467.902,110.368,105.278,36.524,23.196,117.654
34,485.798,76.442,407.866,108.859,92.556,31.968,19.349,160.685
35,962.764,49.220,338.370,112.949,125.574,38.621,31.740,172.161
36,456.356,48.155,213.918,112.129,106.994,36.531,15.906,51.502
37,909.768,50.379,234.013,118.188,122.315,44.653,25.941,43.924
38,889.158,49.829,188.159,122.259,125.991,43.349,26.116,63.913
39,814.080,61.280,286.296,126.411,132.143,49.909,20.768,56.981
40,431.330,56.478,148.933,118.471,83.439,28.776,19.085,57.880
41,640.371,38.559,310.212,124.406,100.425,31.170,26.158,55.874
42,858.244,35.919,446.257,127.681,115.452,36.506,29.934,143.007
43,563.821,60.073,162.167,132.110,97.288,34.495,20.811,61.369
44,915.656,36.453,408.563,134.291,126.285,37.485,31.102,95.721
45,543.211,35.667,520.304,133.686,95.988,34.318,20.154,118.345
46,893.575,38.835,377.594,134.978,116.406,37.598,30.261,150.746
47,1227.745,48.560,245.663,142.548,142.733,51.220,30.519,26.359
48,942.155,39.784,346.426,146.590,122.975,42.558,28.187,76.632
49,1148.251,42.731,477.976,147.216,135.575,45.153,32.379,134.868
50,499.047,47.112,502.029,140.763,96.577,34.429,18.455,128.116
51,469.605,61.429,137.471,144.367,85.449,28.045,21.320,68.373
52,877.381,55.686,204.870,147.930,114.568,37.747,29.595,56.303
53,986.318,38.970,429.873,155.312,134.326,43.409,28.930,73.778
54,859.716,46.366,317.698,150.016,118.122,34.858,31.402,47.261
55,490.215,65.078,175.946,153.170,89.835,29.609,21.080,39.097
56,733.114,44.221,287.617,158.215,105.573,32.416,28.795,105.829
57,577.070,36.329,548.462,160.265,106.872,41.100,17.877,123.186
58,980.430,54.989,149.645,168.868,127.585,44.324,28.164,72.455
59,658.036,64.251,369.718,163.592,102.141,30.884,27.128,98.366
60,797.887,43.367,396.514,166.570,109.004,33.882,29.984,81.170
61,613.873,63.506,453.982,165.430,97.166,29.328,26.650,77.948
62,541.739,37.875,528.270,162.550,97.876,33.755,20.435,121.297
63,825.857,48.797,255.222,169.302,116.873,39.578,26.568,47.133
64,699.255,40.524,511.450,173.144,106.872,39.335,22.634,130.130
65,671.285,68.980,223.980,173.264,97.704,30.375,28.138,58.100
66,602.096,48.633,177.616,175.893,97.582,34.088,22.489,42.650
67,643.315,62.231,198.090,183.042,105.156,36.032,22.732,60.106
68,1127.641,67.431,307.401,188.381,134.692,49.100,29.241,75.434
69,847.939,51.733,338.370,182.148,114.690,33.741,31.998,81.175
70,599.151,65.396,480.966,178.289,100.009,29.779,25.617,106.224
71,958.348,53.465,120.825,189.202,132.438,44.949,27.147,65.811
72,487.271,56.562,99.625,180.437,90.008,27.691,22.405,61.394
73,500.520,52.021,413.246,186.721,92.607,31.106,20.488,71.410
74,1192.414,65.202,274.110,191.965,134.570,41.887,36.246,50.065
75,381.278,56.598,437.360,185.475,78.169,24.413,19.886,92.557
76,728.698,45.380,542.963,192.081,119.422,40.558,22.876,90.088
77,859.716,66.589,365.110,195.482,118.000,39.593,27.647,92.938
78,999.567,49.432,462.348,197.861,126.458,40.452,31.462,131.020
79,889.158,48.654,498.820,198.882,119.300,36.532,30.989,53.605
80,413.665,78.925,239.115,194.775,79.591,25.127,20.962,86.815
81,680.118,61.777,390.633,199.195,102.435,34.771,24.905,96.013
82,791.999,53.608,157.261,205.629,119.422,45.108,22.355,82.212
83,415.137,47.950,84.402,199.172,83.317,29.132,18.144,67.847
84,462.245,47.197,560.699,202.012,87.997,28.777,20.452,89.640
