 ,Area,Mean,X,Y,Perim.
1,1207.135,36.944,404.726,26.561,136.408
2,893.575,66.835,324.032,25.185,122.143
3,747.835,92.211,243.342,30.010,123.148
4,507.880,37.742,291.178,27.127,109.004
5,681.590,73.942,440.629,29.972,107.288
6,395.999,73.703,268.870,34.602,76.991
7,1068.757,109.868,369.476,47.105,132.143
8,572.653,58.995,338.075,46.151,92.140
9,343.003,102.858,303.517,45.025,77.997
10,981.902,82.670,437.590,61.652,135.870
11,494.631,91.485,249.356,54.032,88.708
12,635.954,117.486,411.132,56.528,104.567
13,528.490,61.379,460.711,58.237,93.267
14,908.296,88.606,223.201,67.063,125.869
15,474.021,108.612,275.956,55.654,83.144
16,870.021,77.800,488.356,67.213,113.736
17,454.884,64.589,310.338,60.726,86.282
18,587.374,140.604,291.725,77.063,102.435
19,1164.444,109.875,393.312,74.522,141.728
20,1152.667,41.281,348.053,76.724,136.286
21,462.245,77.675,251.854,74.692,90.302
22,981.902,85.922,192.868,83.808,134.276
23,697.783,79.072,268.021,86.076,108.882
24,1143.834,122.169,315.970,92.768,146.581
25,794.943,107.776,162.514,91.975,123.858
26,1160.028,81.071,464.112,90.079,137.880
27,393.055,97.569,423.878,86.261,76.575
28,1401.455,112.684,236.645,107.430,159.303
29,1307.239,91.287,378.298,104.339,172.614
30,930.378,145.198,494.916,106.654,121.310
31,1008.400,105.447,205.401,116.340,133.981
32,434.274,103.159,437.973,106.584,80.301
33,1361.708,126.254,285.089,116.731,145.820
34,1064.340,123.089,336.357,116.749,133.615
35,566.765,135.714,131.716,121.610,116.162
36,1220.385,137.068,406.052,121.333,140.845
37,877.381,141.606,177.216,120.828,120.427
38,1151.195,98.618,461.830,123.930,136.997
39,655.092,145.627,148.797,125.678,106.872
40,1162.972,81.299,513.512,138.701,142.733
41,865.604,117.002,424.652,142.952,131.605
42,597.679,147.921,246.068,133.906,97.582
43,812.608,91.373,360.447,137.620,115.035
44,456.356,74.832,536.239,140.599,83.855
45,506.408,114.250,492.035,148.017,90.424
46,713.976,94.033,324.082,144.560,107.999
47,459.300,158.734,159.464,147.895,85.449
48,1068.757,102.269,218.800,158.480,135.575
49,2582.092,101.494,182.029,173.999,222.862
50,612.400,148.442,267.517,150.797,93.856
51,749.307,104.802,290.008,157.066,120.843
52,406.304,106.623,472.249,150.916,78.291
53,1152.667,98.789,446.662,160.387,139.129
54,831.746,100.575,120.840,159.078,121.310
55,1002.511,143.517,388.486,158.971,130.306
56,937.738,75.000,556.039,167.512,131.138
57,962.764,158.076,139.302,172.533,140.306
58,1553.083,103.306,245.098,181.104,175.162
59,1030.481,120.084,534.426,180.438,132.854
60,1386.734,129.236,322.669,178.123,166.532
61,995.151,92.260,361.932,176.366,122.143
62,1030.481,132.460,506.388,182.076,133.981
63,369.501,113.315,412.706,175.845,72.138
64,1001.039,108.068,484.008,191.608,145.160
65,980.430,150.197,290.682,198.135,145.992
66,783.166,65.359,82.069,196.269,128.001
67,659.508,139.288,104.431,191.546,102.019
68,1685.573,109.251,458.753,205.275,171.731
69,597.679,135.170,269.330,195.086,103.440
70,431.330,122.208,430.180,192.587,79.296
71,568.237,122.155,146.782,197.533,90.424
72,1536.890,102.823,386.605,205.899,159.892
73,1341.098,111.050,211.335,214.515,166.877
74,840.578,87.848,345.494,204.508,114.152
75,641.843,185.583,120.822,210.367,102.730
76,708.088,135.848,559.765,210.612,115.695
77,1522.168,111.012,406.899,235.227,166.999
78,1014.288,90.922,537.859,223.771,134.692
79,1029.009,95.755,183.009,226.112,150.724
80,974.541,140.427,510.531,225.487,128.884
81,1670.852,85.990,315.258,235.344,164.867
82,571.181,217.108,94.701,223.837,94.567
83,871.493,110.657,233.873,231.270,124.447
84,1015.760,150.793,436.879,239.097,140.428
85,923.017,124.552,67.017,237.155,121.137
86,691.895,129.655,136.988,232.013,102.852
87,633.010,157.198,255.571,235.605,112.142
88,1508.919,125.123,163.196,253.164,164.623
89,1351.403,135.387,283.643,250.890,168.421
90,822.913,93.882,351.724,237.440,110.009
91,1332.265,90.585,493.255,253.022,152.145
92,783.166,231.840,112.286,248.386,117.706
93,1093.782,111.136,464.275,258.168,131.555
94,1127.641,137.693,370.458,262.727,142.022
95,1189.470,106.722,89.536,267.854,151.140
96,986.318,79.425,564.534,267.045,165.283
97,1257.187,74.687,528.489,269.522,165.578
98,989.262,170.754,131.655,273.958,135.159
99,914.184,109.924,211.531,271.696,119.716
100,1411.760,103.337,181.810,290.029,177.467
101,1215.968,167.875,259.074,274.078,142.733
102,1104.087,231.911,335.465,272.690,131.433
103,771.389,59.742,61.865,276.766,114.690
104,768.445,187.741,421.439,276.790,111.015
105,1108.504,110.754,231.150,295.814,153.028
106,874.437,196.599,390.881,283.826,121.604
107,840.578,113.201,549.319,289.361,122.559
108,1423.537,113.381,307.107,299.861,158.470
109,1460.339,116.567,447.047,302.762,173.690
110,815.552,136.258,112.608,298.244,112.314
111,471.077,111.716,150.105,292.002,85.571
112,1341.098,110.857,478.420,303.863,148.247
113,1042.258,116.613,508.787,303.862,134.154
114,572.653,153.746,76.237,303.085,94.739
115,1198.303,100.285,403.316,316.574,159.009
116,1550.139,137.406,337.815,322.757,164.695
117,1238.050,191.942,368.464,318.265,148.835
118,1576.637,170.588,281.771,329.771,184.158
119,878.854,112.338,253.987,317.467,120.427
120,1308.711,142.342,205.622,323.682,147.464
121,781.694,94.009,58.932,321.681,113.980
122,859.716,148.950,99.105,326.045,123.858
123,600.623,115.762,425.018,322.666,97.998
124,1407.343,131.556,129.670,337.515,177.416
125,590.319,107.791,156.488,319.667,93.440
126,794.943,52.909,546.660,323.758,126.701
127,880.326,64.988,38.373,335.242,136.702
128,1121.753,114.420,562.817,348.259,164.695
129,1082.006,103.610,526.821,341.378,136.164
130,681.590,144.253,79.278,342.581,104.862
131,1367.596,120.584,183.400,353.383,158.714
132,983.374,187.490,492.966,345.555,130.011
133,1109.976,143.432,232.770,351.502,133.737
134,1059.924,134.104,154.832,355.860,135.525
135,1295.462,133.472,468.079,360.354,168.299
136,1127.641,117.289,310.835,357.177,136.580
137,1179.165,208.046,394.059,360.473,143.444
138,637.426,107.404,435.184,356.081,102.019
139,563.821,94.473,56.333,359.996,93.440
140,1064.340,115.120,263.603,368.440,127.585
141,790.527,210.477,363.686,364.344,112.142
142,1603.135,107.581,105.822,378.681,172.441
143,459.300,81.644,417.759,370.024,99.420
144,1101.143,154.437,338.193,377.021,138.834
145,1061.396,151.918,511.571,379.453,132.021
146,1276.325,122.295,212.552,385.227,153.028
147,948.043,123.623,76.568,379.850,124.275
148,1003.983,120.308,448.015,384.841,132.021
149,728.698,70.131,539.482,378.747,105.278
150,641.843,95.532,41.330,388.000,126.701
151,1311.656,126.375,301.969,398.150,169.304
152,521.129,135.893,240.934,387.532,87.287
153,1298.407,95.421,145.523,405.143,160.674
154,877.381,77.040,566.244,402.788,128.539
155,917.129,139.536,169.755,401.411,132.976
156,1012.816,201.026,378.475,401.702,128.417
157,1348.459,134.931,485.677,410.658,153.028
158,485.798,83.467,54.147,401.664,94.567
159,484.326,84.322,408.190,395.577,86.282
160,1027.537,196.897,195.869,413.401,131.016
161,883.270,91.315,123.389,415.873,133.027
162,1258.660,145.483,286.716,433.013,184.991
163,635.954,88.856,546.300,410.755,115.695
164,1386.734,129.748,261.297,421.452,162.979
165,768.445,160.611,350.049,411.727,116.406
166,1395.566,54.428,427.402,420.416,155.455
167,781.694,137.540,71.972,416.534,120.427
168,687.478,65.709,528.616,419.149,110.842
169,1023.121,104.161,92.134,429.809,139.718
170,768.445,171.443,324.472,424.281,118.122
171,956.876,185.389,457.871,429.883,127.290
172,409.248,142.198,237.363,418.849,81.428
173,1389.678,64.060,509.089,439.140,164.573
174,958.348,228.447,399.289,436.879,141.139
175,1607.551,132.922,231.864,450.699,180.016
176,702.200,75.249,57.167,438.479,112.142
177,844.995,121.878,114.962,448.083,135.748
178,610.928,71.183,350.779,441.877,99.420
179,1346.987,145.966,375.763,456.964,161.435
180,1037.842,44.763,546.275,458.151,156.410
181,822.913,168.868,186.512,450.946,125.280
182,836.162,104.033,147.951,455.191,133.859
183,1317.544,117.804,171.488,471.926,174.817
184,958.348,117.555,210.319,463.470,145.992
185,883.270,135.435,485.030,463.451,134.986
186,1185.054,131.245,324.258,466.916,153.567
187,721.337,103.820,432.237,459.227,103.024
188,627.122,73.080,527.259,471.017,128.417
189,764.028,124.603,82.817,468.523,119.716
190,1207.135,60.263,140.788,483.314,163.029
191,1207.135,121.915,296.018,478.499,154.572
192,1005.456,148.455,463.591,472.189,136.997
193,633.010,138.502,104.601,473.870,104.151
194,712.504,85.124,64.448,476.339,123.858
195,1249.827,142.551,260.772,483.449,148.713
196,1332.265,164.610,415.468,488.984,152.023
197,955.404,67.125,347.583,484.143,121.726
198,859.716,85.457,504.809,484.980,123.270
199,747.835,65.417,445.110,490.365,106.994
200,800.831,190.842,381.436,494.809,119.300
201,955.404,117.937,204.177,500.918,128.417
202,665.397,123.710,126.248,502.675,110.476
203,628.594,50.309,232.667,502.203,95.277
204,603.568,83.993,88.418,508.808,119.005
205,950.987,73.755,110.343,515.100,139.007
206,852.355,121.458,475.993,512.369,121.970
207,949.515,109.406,328.967,510.980,125.747
208,1720.904,71.377,276.588,525.914,175.751
209,640.371,53.246,501.165,514.678,104.862
210,1305.767,124.846,391.366,524.017,142.022
211,1413.232,92.827,179.798,524.700,155.283
212,855.300,79.404,451.855,526.861,124.397
213,809.664,98.978,347.705,527.979,121.604
214,688.950,51.547,148.628,525.679,103.857
215,718.393,61.145,428.173,527.473,104.567
216,1413.232,81.896,308.115,543.097,161.019
217,739.002,129.124,210.337,536.507,114.690
218,680.118,48.848,235.303,537.393,107.583
219,1020.177,88.192,358.585,551.135,141.017
220,734.586,75.311,475.244,545.141,110.426
221,880.326,58.517,140.853,552.911,124.153
222,1660.547,65.096,259.892,565.928,171.609
223,655.092,47.683,120.078,554.941,118.000
224,917.129,72.274,411.159,554.972,119.005
225,624.177,47.769,167.333,556.113,101.136
226,674.229,80.015,434.857,563.020,111.603
227,669.813,124.734,385.145,567.368,104.151
228,912.712,110.455,221.384,571.869,129.595
229,967.180,36.193,189.635,573.626,127.290
230,967.180,103.653,327.823,573.687,131.727
231,677.174,50.311,447.711,576.242,115.157
232,842.051,127.219,361.044,584.921,119.005
233,669.813,47.815,161.195,584.352,106.039
234,338.587,109.796,208.610,588.396,77.997
235,537.322,74.948,305.669,586.851,106.161
236,644.787,84.285,400.962,587.983,104.618
237,429.858,82.603,417.702,595.984,86.454
