 ,Area,Mean,%Area
1,621.233,15.910,100
2,285.591,21.536,100
3,537.322,19.134,100
4,407.776,16.119,100
5,444.579,26.026,100
6,605.040,19.372,100
7,490.215,19.808,100
8,479.910,26.377,100
9,379.806,21.516,100
10,382.750,18.104,100
11,640.371,31.501,100
12,363.613,26.470,100
13,525.546,42.790,100
14,668.341,31.478,100
15,334.170,37.233,100
16,528.490,25.078,100
17,487.271,31.076,100
18,756.668,30.510,100
19,537.322,19.405,100
20,195.791,34.060,100
21,529.962,29.956,100
22,658.036,18.689,100
23,188.431,34.352,100
24,450.468,27.173,100
25,584.430,34.063,100
26,796.415,44.392,100
27,546.155,21.790,100
28,699.255,35.874,100
29,438.691,30.732,100
30,553.516,19.133,100
31,737.530,21.485,100
32,819.969,31.275,100
33,387.167,31.167,100
34,550.572,30.620,100
35,504.936,26.166,100
36,787.582,34.159,100
37,362.141,35.630,100
38,953.931,39.224,100
39,400.416,39.949,100
40,749.307,17.244,99.804
41,345.947,32.477,100
42,554.988,28.905,100
43,500.520,34.071,100
44,1018.705,35.882,100
45,725.753,34.456,100
46,485.798,22.061,100
47,557.932,20.570,100
48,580.014,25.089,100
49,529.962,21.108,99.722
50,718.393,45.635,100
51,560.876,27.528,100
52,482.854,36.848,100
53,260.565,46.181,100
54,494.631,36.765,100
55,446.051,53.399,100
56,522.601,34.442,100
57,881.798,19.085,100
58,752.251,28.454,100
59,752.251,42.448,100
60,762.556,38.788,100
61,541.739,38.500,100
62,655.092,36.382,100
63,459.300,45.862,100
64,366.557,37.353,100
65,481.382,23.899,100
66,630.066,36.250,100
67,578.542,35.008,100
68,535.850,21.618,100
69,594.735,37.307,100
70,660.980,44.902,100
71,974.541,32.408,100
72,619.761,32.064,100
73,946.571,39.575,100
74,703.672,52.814,100
75,703.672,25.728,100
76,699.255,28.556,100
77,672.757,43.554,100
78,744.891,41.498,100
79,459.300,36.955,100
80,426.914,34.510,100
81,603.568,44.649,100
82,746.363,35.574,100
83,582.958,36.785,100
84,766.973,33.384,100
85,421.025,25.301,100
86,599.151,20.607,99.754
87,562.348,45.618,100
88,544.683,24.616,100
89,272.342,27.432,100
90,509.352,34.893,100
91,706.616,52.654,100
92,454.884,31.275,100
93,834.690,41.478,100
94,1227.745,36.923,100
95,319.449,50.152,100
96,909.768,28.608,100
97,781.694,29.815,100
98,693.367,56.652,100
99,660.980,45.316,100
100,749.307,61.365,100
101,638.899,42.988,100
102,637.426,15.185,100
103,557.932,31.799,100
104,600.623,45.988,100
105,943.627,51.785,100
106,906.824,47.424,100
107,809.664,49.133,100
108,588.847,32.653,100
109,677.174,77.041,100
110,725.753,50.446,100
111,596.207,40.259,100
112,855.300,63.995,100
113,581.486,37.276,100
114,273.814,29.656,100
115,1011.344,40.124,100
116,666.869,27.265,100
117,965.708,20.738,100
118,531.434,16.341,100
119,761.084,52.458,100
120,669.813,21.644,100
121,937.738,58.973,100
122,497.575,33.417,100
123,647.731,59.025,100
124,806.720,54.794,100
125,335.643,102.294,100
126,563.821,38.016,100
127,481.382,32.761,100
128,507.880,70.330,100
129,354.780,39.361,100
130,775.805,36.006,100
131,628.594,60.482,100
132,590.319,51.579,100
133,472.549,39.467,100
134,740.475,57.062,100
135,543.211,56.967,100
136,886.214,65.201,100
137,541.739,20.220,100
138,465.189,65.611,100
139,853.828,32.469,100
140,659.508,29.009,100
141,602.096,72.403,100
142,552.044,67.075,100
143,952.459,24.000,100
144,509.352,65.136,100
145,793.471,61.757,100
146,476.966,68.423,100
147,612.400,42.594,100
148,434.274,43.200,100
149,783.166,60.265,100
150,725.753,54.325,100
151,426.914,55.190,100
152,493.159,36.663,100
153,425.442,64.194,100
154,356.252,35.946,100
155,821.441,28.590,100
156,553.516,61.702,100
157,684.534,53.133,100
158,728.698,23.733,100
159,443.107,31.658,100
160,1037.842,29.326,100
161,547.627,65.530,100
162,934.794,53.824,100
163,880.326,55.891,100
164,613.873,31.118,100
165,852.355,55.415,100
166,731.642,30.044,100
167,454.884,41.239,100
168,596.207,76.030,100
169,593.263,31.360,100
170,753.724,40.875,100
171,298.840,35.345,100
172,344.475,46.295,100
173,494.631,65.527,100
174,312.089,40.986,100
175,574.125,59.587,100
176,1160.028,59.433,100
177,599.151,41.840,100
178,584.430,73.620,100
179,432.802,38.799,100
180,173.710,27.280,100
181,500.520,51.091,100
182,563.821,42.520,100
183,493.159,57.203,100
184,519.657,40.807,100
185,353.308,67.654,100
186,812.608,54.819,100
187,1087.894,68.418,100
188,528.490,64.760,100
189,499.047,43.059,100
190,428.386,29.227,100
191,522.601,45.287,100
192,497.575,26.405,100
193,968.653,45.351,100
194,437.219,55.377,100
195,416.609,63.781,100
196,784.638,65.008,100
197,722.809,34.957,100
198,903.879,59.467,100
199,936.266,33.582,100
200,270.869,41.897,100
201,1448.563,36.457,100
202,360.669,71.845,100
203,574.125,32.992,100
