 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle
1,750.779,32.204,403.696,20.902,121.015,38.910,24.568,169.873
2,400.416,50.915,288.620,28.410,77.702,27.278,18.690,8.068
3,534.378,32.377,311.320,40.800,94.861,27.054,25.149,93.046
4,917.129,44.880,387.516,41.503,123.736,44.345,26.333,147.912
5,1182.109,35.204,423.421,48.010,139.007,46.101,32.648,45.933
6,575.598,56.105,259.258,40.435,96.282,30.937,23.689,5.039
7,394.527,36.504,457.571,41.578,124.742,28.364,17.710,168.841
8,572.653,31.900,225.767,45.901,95.866,33.469,21.785,50.302
9,814.080,29.371,199.712,58.878,119.300,43.365,23.902,64.043
10,531.434,42.950,284.961,48.998,92.140,29.884,22.642,0.751
11,557.932,28.470,337.785,51.268,93.856,32.292,21.998,27.258
12,585.902,28.299,368.077,54.132,93.734,33.427,22.317,130.062
13,656.564,47.343,241.971,61.707,98.882,32.892,25.416,38.534
14,744.891,40.976,451.108,66.075,106.872,32.277,29.384,111.389
15,920.073,43.146,487.322,67.224,127.463,47.354,24.739,143.205
16,844.995,61.618,268.181,71.942,120.010,36.735,29.288,26.176
17,915.656,53.752,303.290,69.590,130.722,47.945,24.316,30.729
18,1012.816,44.384,351.780,75.202,131.433,44.435,29.021,159.598
19,791.999,64.165,389.679,76.102,106.578,33.555,30.053,21.943
20,825.857,79.282,213.067,81.245,114.741,41.581,25.288,48.539
21,725.753,26.781,170.583,84.438,118.467,46.776,19.755,52.937
22,847.939,71.792,426.189,80.978,113.319,37.193,29.027,136.614
23,660.980,66.249,473.978,87.000,99.592,33.542,25.091,121.955
24,1148.251,72.169,315.995,92.313,135.159,45.596,32.064,20.373
25,737.530,54.591,235.509,93.467,108.882,36.187,25.950,57.027
26,571.181,44.160,515.121,94.966,103.735,35.144,20.693,117.947
27,724.281,53.520,181.478,100.766,117.462,45.579,20.233,53.102
28,1043.731,108.612,410.792,105.302,130.894,41.197,32.257,117.420
29,1177.693,85.221,450.447,106.480,134.032,42.450,35.324,80.984
30,875.909,57.987,258.340,104.423,119.716,42.092,26.495,56.130
31,722.809,86.257,282.658,106.968,111.725,38.788,23.727,67.240
32,821.441,78.509,499.065,108.426,119.594,42.834,24.417,115.243
33,1292.518,73.752,351.508,112.477,140.134,47.361,34.748,104.192
34,1011.344,80.833,381.412,111.807,126.996,45.334,28.404,100.092
35,906.824,31.477,136.570,113.803,137.880,49.850,23.162,49.494
36,815.552,67.713,212.977,115.588,110.842,34.451,30.141,65.072
37,543.211,85.637,189.482,120.629,110.304,35.998,19.213,70.396
38,401.888,100.945,478.863,116.218,80.007,26.467,19.333,118.376
39,525.546,95.252,535.332,119.093,94.323,33.834,19.777,120.703
40,669.813,64.618,154.491,126.620,110.009,40.999,20.802,60.505
41,475.494,123.375,319.263,117.419,88.119,28.588,21.177,12.140
42,833.218,115.032,291.413,133.027,115.452,40.411,26.252,57.922
43,590.319,114.456,234.678,131.329,98.293,33.507,22.432,76.828
44,713.976,54.010,519.745,135.431,107.755,33.323,27.280,94.545
45,905.352,106.512,429.656,137.063,115.868,39.217,29.393,91.514
46,905.352,93.548,257.579,140.640,120.305,42.978,26.822,52.571
47,712.504,99.163,463.138,137.944,101.724,33.354,27.199,83.985
48,684.534,61.206,169.494,143.506,107.167,37.954,22.964,69.243
49,1370.540,64.551,490.646,150.263,150.307,49.364,35.350,83.502
50,1171.805,68.456,323.668,143.222,145.160,47.284,31.554,20.266
51,1079.061,95.674,401.084,147.379,135.281,42.118,32.620,120.913
52,538.795,53.874,128.415,145.027,91.846,32.161,21.331,54.043
53,403.360,114.723,208.259,141.120,77.997,25.523,20.122,10.883
54,987.790,63.253,367.317,155.129,129.128,43.847,28.684,83.066
55,711.032,36.754,104.414,155.877,114.030,40.656,22.267,66.122
56,899.463,69.010,187.003,162.189,134.154,46.575,24.589,74.693
57,663.925,118.814,538.320,156.338,100.892,31.698,26.669,88.833
58,887.686,76.927,218.322,162.309,118.883,40.992,27.572,41.382
59,786.110,52.388,143.161,164.144,115.157,41.596,24.063,65.503
60,712.504,90.027,444.725,163.162,104.324,35.613,25.474,45.147
61,937.738,62.512,267.578,169.702,128.712,46.909,25.453,74.106
62,688.950,101.752,339.213,165.181,104.151,32.861,26.694,33.432
63,1232.161,70.137,295.145,176.312,151.140,46.306,33.880,75.640
64,678.646,71.319,514.078,172.241,109.299,39.113,22.092,83.227
65,808.192,71.271,240.232,179.913,114.741,37.409,27.507,90.871
66,774.333,40.856,120.111,180.160,123.442,38.987,25.288,95.820
67,961.292,58.884,555.882,185.637,129.128,48.600,25.184,89.259
68,949.515,75.574,463.974,181.638,122.021,38.554,31.357,55.732
69,1123.225,56.701,157.176,186.362,139.179,51.139,27.966,53.054
70,422.497,105.676,389.284,176.139,81.428,24.988,21.528,101.130
71,725.753,97.359,413.621,180.656,106.578,34.912,26.468,63.872
72,569.709,43.486,86.472,183.547,100.303,33.759,21.487,67.484
73,552.044,136.016,532.197,186.861,93.856,31.702,22.171,86.410
74,1187.998,101.208,323.575,199.113,155.577,49.472,30.575,82.720
75,578.542,89.779,197.067,189.102,93.318,31.250,23.572,57.682
76,840.578,97.543,492.096,193.123,111.431,35.277,30.338,85.884
77,793.471,125.575,358.154,191.904,110.720,35.696,28.303,33.845
