 ,Area,Mean,X,Y,Perim.
1,630.066,38.336,321.549,20.978,114.568
2,547.627,60.339,353.957,19.165,91.846
3,912.712,50.423,237.149,39.485,138.296
4,633.010,77.814,276.115,33.815,113.441
5,819.969,57.824,463.073,43.822,124.031
6,837.634,45.236,296.400,46.787,115.035
7,811.136,59.748,364.956,41.483,121.432
8,686.006,53.251,423.098,42.992,99.592
9,895.047,58.110,326.743,46.305,118.416
10,821.441,34.520,201.914,53.140,116.040
11,1039.314,117.208,443.650,61.877,140.185
12,441.635,57.587,487.847,52.253,90.424
13,1056.980,102.884,399.954,62.987,127.585
14,794.943,106.352,249.189,64.379,111.847
15,806.720,57.905,275.970,66.699,111.137
16,1301.351,63.698,356.254,67.404,152.561
17,989.262,53.521,212.607,78.128,137.169
18,1233.634,97.618,303.635,84.641,150.013
19,864.132,84.823,491.740,81.088,129.006
20,666.869,60.243,516.255,83.436,114.568
21,627.122,50.329,184.745,82.380,97.288
22,1361.708,119.610,463.024,94.706,147.464
23,638.899,105.230,330.042,89.036,98.293
24,503.464,155.541,433.257,85.755,90.424
25,1061.396,64.308,159.030,95.502,130.844
26,908.296,108.934,236.417,93.852,118.589
27,1165.916,127.260,382.126,101.172,146.876
28,479.910,172.764,407.173,90.447,84.566
29,1224.801,129.532,269.780,102.612,138.124
30,693.367,117.130,353.530,98.614,103.857
31,309.144,79.081,539.084,102.623,74.859
32,1117.336,171.050,433.825,118.261,138.713
33,462.245,189.459,216.684,109.855,82.312
34,640.371,61.926,189.568,112.462,100.009
35,703.672,123.795,486.422,114.752,104.862
36,992.206,115.004,512.644,119.846,129.128
37,686.006,128.275,317.132,117.540,108.466
38,239.955,201.779,338.018,113.519,62.726
39,559.404,139.495,405.899,119.137,91.429
40,1061.396,72.467,136.755,127.577,133.565
41,312.089,90.203,532.888,120.707,69.417
42,905.352,43.457,158.003,137.870,149.302
43,968.653,118.485,237.587,128.625,126.163
44,1023.121,145.822,302.616,136.790,140.306
45,451.940,79.397,554.089,127.858,86.576
46,721.337,133.963,368.051,130.131,116.457
47,858.244,65.122,105.630,142.863,133.565
48,529.962,203.011,199.694,133.568,89.591
49,937.738,159.491,469.157,140.375,130.306
50,1187.998,116.378,270.060,142.000,136.113
51,295.895,204.299,341.649,134.155,65.864
52,1093.782,98.035,175.330,152.360,137.047
53,419.553,111.982,388.193,144.709,81.601
54,789.054,105.698,496.997,148.322,114.274
55,675.701,149.800,536.606,147.755,110.842
56,1087.894,125.651,218.070,156.867,129.179
57,532.906,168.307,412.907,147.353,89.003
58,512.297,87.233,354.649,149.885,96.161
59,856.772,160.754,445.338,151.853,121.015
60,1107.032,201.830,319.300,161.257,136.875
61,435.746,114.155,555.056,156.381,85.571
62,262.037,111.449,518.607,153.115,64.270
63,625.649,62.327,128.980,161.428,97.288
64,1009.872,243.742,245.500,174.203,128.884
65,512.297,118.989,371.342,166.206,91.724
66,850.883,148.244,401.628,172.644,116.284
67,833.218,155.890,189.060,177.786,119.888
68,976.013,66.415,105.928,179.291,126.579
69,914.184,176.585,430.047,179.201,124.864
70,1158.556,184.116,275.466,180.694,145.576
71,660.980,49.042,81.688,183.005,110.548
72,326.810,120.667,469.632,172.525,68.290
73,291.479,127.631,522.617,173.135,66.991
74,861.188,91.766,335.882,183.325,126.458
75,948.043,109.545,494.589,180.898,122.143
76,927.433,148.732,150.741,186.152,125.452
77,830.274,206.113,543.377,184.216,117.706
78,359.196,110.943,570.533,178.893,75.448
79,335.643,118.206,451.547,179.777,72.433
80,1006.928,225.594,358.873,194.922,132.143
81,706.616,232.779,216.618,192.896,101.430
