 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle
1,1410.288,25.819,308.553,26.124,163.151,60.053,29.901,173.270
2,484.326,57.356,262.069,25.334,103.268,38.739,15.918,15.770
3,1348.459,2.227,409.782,38.099,162.146,56.251,30.522,178.574
4,413.665,0.000,215.405,34.942,115.573,46.610,11.300,22.103
5,1436.786,17.766,353.994,46.331,181.143,64.011,28.579,174.506
6,719.865,26.595,225.088,47.387,115.868,46.475,19.722,22.567
7,945.099,42.897,280.384,44.942,144.693,59.285,20.298,173.448
8,1463.284,7.953,458.015,59.675,158.470,47.412,39.296,146.083
9,881.798,8.940,187.116,61.037,117.584,36.897,30.429,43.657
10,1475.061,64.895,231.366,68.168,172.441,68.629,27.366,23.201
11,1485.365,60.907,327.055,69.841,156.998,55.225,34.246,179.325
12,815.552,89.756,413.716,62.503,134.276,50.119,20.719,176.625
13,1015.760,86.848,279.149,69.985,127.118,45.368,28.507,10.222
14,796.415,32.994,148.767,75.738,118.883,45.771,22.154,34.367
15,1261.604,83.611,380.188,77.531,142.561,48.303,33.255,159.329
16,948.043,3.564,484.888,83.850,117.289,35.096,34.393,30.339
17,1006.928,13.421,429.600,83.850,138.002,50.154,25.563,177.028
18,1155.611,24.038,521.150,92.370,144.277,48.937,30.066,140.412
19,1429.425,10.505,175.231,93.258,153.028,53.376,34.098,17.452
20,1751.819,39.857,238.647,99.507,179.894,58.269,38.279,14.999
21,1112.920,112.321,294.487,97.801,134.864,46.003,30.802,177.092
22,897.991,113.705,340.713,96.040,126.874,46.254,24.719,19.054
23,1254.243,0.000,118.911,111.050,161.486,65.625,24.334,40.741
24,784.638,44.015,455.636,103.654,115.452,39.120,25.537,166.645
25,750.779,159.000,404.041,108.308,104.862,32.310,29.586,82.564
26,1742.986,126.208,365.846,118.947,163.151,53.944,41.140,47.230
27,1112.920,106.250,433.918,120.440,146.287,45.249,31.316,155.799
28,1483.893,32.634,198.158,121.315,152.318,49.269,38.348,172.201
29,909.768,0.413,509.699,114.766,136.580,50.147,23.099,156.243
30,1787.149,89.271,480.827,133.233,177.051,49.623,45.855,98.377
31,1753.291,0.000,134.613,130.657,186.341,73.757,30.266,33.249
32,1887.253,65.441,272.125,130.211,191.438,58.655,40.967,155.146
33,1413.232,82.609,318.229,129.618,150.551,49.324,36.481,43.598
34,883.270,0.000,549.469,135.351,126.285,46.547,24.161,122.331
35,1491.254,95.656,168.140,149.394,150.602,47.382,40.073,46.993
36,1871.060,64.001,388.902,152.938,173.863,58.519,40.710,30.735
37,965.708,0.000,529.639,147.863,134.448,50.458,24.368,130.762
38,1079.061,0.000,78.853,158.077,141.190,58.316,23.560,48.628
39,1036.370,6.520,210.073,155.178,137.707,42.765,30.856,49.572
40,1176.221,51.702,434.849,150.668,132.438,42.448,35.281,166.175
41,1392.622,35.851,245.590,157.089,149.719,44.818,39.563,2.599
42,1107.032,81.383,335.957,156.380,144.571,47.657,29.576,0.520
43,949.515,0.000,507.920,161.948,122.193,37.523,32.219,141.140
44,1205.663,0.000,125.167,168.108,143.860,53.093,28.914,48.306
45,1226.273,29.388,463.023,172.870,137.585,45.177,34.561,15.811
46,1132.058,0.000,89.625,182.805,143.444,53.757,26.813,59.450
