 ,Area,X,Y,Perim.,Major,Minor,Angle
1,1344.042,324.229,28.899,145.992,49.388,34.650,171.348
2,674.229,416.212,31.504,107.877,41.584,20.644,148.138
3,1083.478,279.766,44.779,139.596,52.317,26.368,31.209
4,805.248,229.558,40.258,119.422,41.550,24.676,9.675
5,643.315,395.087,40.546,106.161,40.192,20.379,157.817
6,1009.872,386.665,58.989,138.834,51.926,24.762,156.807
7,1620.800,353.407,70.011,157.882,53.811,38.350,113.757
8,952.459,315.510,59.371,119.422,37.569,32.280,155.393
9,976.013,428.760,62.718,124.691,36.991,33.595,150.507
10,1320.488,225.044,65.954,163.567,61.723,27.239,20.678
11,646.259,461.056,66.369,101.552,33.590,24.497,164.545
12,1051.091,287.945,75.533,128.295,39.210,34.132,124.609
13,678.646,161.616,72.802,101.308,34.727,24.882,32.598
14,1525.113,257.545,92.455,156.998,55.322,35.101,92.331
15,546.155,185.069,83.478,95.988,32.323,21.514,33.881
16,1291.046,391.812,91.103,140.967,45.668,35.995,24.181
17,1089.366,326.441,94.384,129.473,40.527,34.225,151.107
18,725.753,480.584,90.625,112.020,35.949,25.704,126.186
19,1551.611,221.349,101.746,158.247,49.147,40.197,66.199
20,769.917,455.423,95.750,112.730,38.771,25.284,116.294
21,1101.143,130.659,99.895,136.458,50.068,28.002,45.345
22,1240.994,428.894,100.574,145.404,46.711,33.827,110.116
23,544.683,158.147,100.318,103.857,34.885,19.880,44.141
24,1657.603,182.639,120.019,162.562,55.433,38.074,68.308
25,1726.793,296.329,116.817,171.903,49.974,43.995,148.811
26,772.861,503.261,117.912,119.594,39.497,24.914,108.782
27,987.790,355.325,114.043,125.574,43.302,29.045,11.154
28,1058.452,476.817,126.290,133.321,42.304,31.857,108.142
29,1583.997,404.739,131.523,168.299,56.637,35.609,125.551
30,507.880,151.964,126.052,90.962,28.170,22.956,77.128
31,697.783,526.983,134.081,107.705,33.499,26.522,120.979
32,1436.786,123.092,144.835,166.289,62.072,29.472,67.608
33,1664.964,446.387,142.813,164.278,48.761,43.475,97.254
34,1687.045,243.142,144.131,166.238,58.173,36.925,72.723
35,1218.912,325.803,145.414,137.880,48.476,32.015,84.497
36,1240.994,210.073,147.181,150.135,44.919,35.176,99.434
37,1232.161,275.129,151.927,149.719,51.452,30.491,72.192
38,1732.681,375.699,152.571,165.578,49.472,44.593,131.409
39,425.442,348.272,144.335,93.978,36.920,14.672,76.884
40,1296.935,493.175,159.082,149.008,43.032,38.374,74.172
41,1208.608,146.792,161.499,148.591,53.520,28.753,58.115
42,936.266,525.122,163.102,124.986,35.792,33.306,20.664
43,1360.236,172.391,174.040,161.435,58.569,29.570,75.525
44,1385.262,299.982,175.426,156.338,52.485,33.605,82.245
45,995.151,422.152,176.841,123.442,39.757,31.870,108.336
46,1423.537,198.740,186.489,154.450,52.019,34.843,66.747
47,1399.983,456.079,183.257,155.283,51.447,34.648,44.245
48,877.381,341.681,180.716,123.026,35.000,31.917,85.666
49,822.913,97.339,190.004,127.290,50.033,20.941,74.918
50,1056.980,242.043,188.135,128.295,38.424,35.025,62.985
51,1068.757,536.942,193.484,138.713,45.949,29.615,81.627
52,980.430,119.682,196.410,138.591,48.225,25.885,80.781
53,1102.615,373.413,189.390,149.008,51.433,27.296,36.076
54,1614.912,269.271,206.721,170.898,58.455,35.175,78.966
55,762.556,487.689,195.516,109.421,36.764,26.410,84.141
56,1570.748,511.797,214.620,177.589,64.929,30.802,93.304
57,956.876,317.429,204.220,125.330,43.293,28.142,64.675
58,796.415,395.540,200.630,109.593,38.585,26.280,59.484
59,1146.779,559.194,210.462,148.003,56.245,25.960,81.924
