 ,Area,Mean,Min,Max,MinThr,MaxThr
1,801.858,16.951,4,164,0,255
2,458.460,25.256,5,255,0,255
3,1003.907,14.365,3,151,0,255
4,340.864,22.523,7,197,0,255
5,878.519,34.930,5,255,0,255
6,732.803,26.115,4,255,0,255
7,335.371,24.269,6,229,0,255
8,350.769,27.299,7,255,0,255
9,380.860,30.690,8,255,0,255
10,777.119,65.185,8,255,0,255
11,432.922,50.972,8,255,0,255
12,188.670,38.340,8,255,0,255
13,622.671,36.207,7,255,0,255
14,444.940,46.433,8,255,0,255
15,589.904,23.097,6,255,0,255
16,534.650,18.800,4,248,0,255
17,569.577,40.580,6,255,0,255
18,375.274,28.982,6,255,0,255
19,627.460,27.943,6,255,0,255
20,1262.102,30.794,3,255,0,255
21,636.426,28.255,8,255,0,255
22,460.197,31.734,7,255,0,255
23,952.127,26.038,3,255,0,255
24,722.053,27.282,5,255,0,255
25,642.717,20.307,6,177,0,255
