 ,Area,Mean,Min,Max,MinThr,MaxThr
1,801.858,1.188,0,138,0,255
2,458.460,1.702,0,140,0,255
3,1003.907,0.734,0,130,0,255
4,340.864,1.705,0,150,0,255
5,878.519,1.139,0,255,0,255
6,732.803,1.680,0,140,0,255
7,335.371,2.601,0,229,0,255
8,350.769,2.982,0,242,0,255
9,380.860,3.667,0,255,0,255
10,777.119,3.166,0,255,0,255
11,432.922,7.200,0,255,0,255
12,188.670,4.571,0,228,0,255
13,622.671,2.478,0,255,0,255
14,444.940,3.170,0,255,0,255
15,589.904,1.934,0,255,0,255
16,534.650,1.319,0,199,0,255
17,569.577,2.154,0,255,0,255
18,375.274,2.193,0,150,0,255
19,627.460,2.076,0,157,0,255
20,1262.102,1.020,0,144,0,255
21,636.426,2.206,0,153,0,255
22,460.197,2.128,0,255,0,255
23,952.127,1.201,0,248,0,255
24,722.053,1.268,0,139,0,255
25,642.717,1.310,0,105,0,255
