 ,Area,Mean,Min,Max,MinThr,MaxThr
1,591.078,9.027,1,138,0,255
2,455.737,6.762,1,118,0,255
3,942.504,3.977,1,84,0,255
4,372.739,7.354,1,116,0,255
5,742.661,7.032,1,115,0,255
6,471.416,9.661,1,239,0,255
7,718.344,13.621,1,218,0,255
8,320.865,11.350,1,255,0,255
9,970.764,4.806,1,102,0,255
10,745.055,6.139,1,124,0,255
11,721.630,8.023,1,117,0,255
12,601.687,6.270,1,95,0,255
13,608.306,5.145,1,91,0,255
14,690.271,5.834,1,109,0,255
15,453.437,6.561,1,79,0,255
16,612.625,7.544,1,128,0,255
17,437.241,4.198,1,62,0,255
18,464.281,3.709,1,39,0,255
