 ,Area,Mean,Min,Max,MinThr,MaxThr
1,591.078,0.247,0,43,0,255
2,455.737,0.368,0,43,0,255
3,942.504,0.129,0,20,0,255
4,372.739,0.439,0,79,0,255
5,742.661,0.483,0,71,0,255
6,471.416,0.393,0,60,0,255
7,718.344,0.640,0,91,0,255
8,320.865,0.522,0,47,0,255
9,970.764,0.227,0,63,0,255
10,745.055,0.288,0,74,0,255
11,721.630,0.388,0,51,0,255
12,601.687,0.373,0,33,0,255
13,608.306,0.226,0,22,0,255
14,690.271,0.220,0,101,0,255
15,453.437,0.345,0,35,0,255
16,612.625,0.390,0,49,0,255
17,437.241,0.248,0,19,0,255
18,464.281,0.183,0,17,0,255
