 ,Area,Mean,Min,Max,Slice,microns
1,385906.487,69.431,0,734,1,0.000
2,385906.487,86.233,0,1023,2,0.999
3,385906.487,100.251,0,1097,3,1.999
4,385906.487,115.332,0,1281,4,2.998
5,385906.487,128.017,0,1344,5,3.998
6,385906.487,138.558,0,1680,6,4.997
7,385906.487,150.673,0,1592,7,5.997
8,385906.487,165.777,0,1713,8,6.996
9,385906.487,184.846,0,1820,9,7.996
10,385906.487,201.060,0,2113,10,8.995
11,385906.487,215.585,0,2055,11,9.995
12,385906.487,231.278,0,1917,12,10.994
13,385906.487,249.365,0,2038,13,11.993
14,385906.487,268.300,0,1977,14,12.993
15,385906.487,286.492,0,2036,15,13.992
16,385906.487,306.598,0,2466,16,14.992
17,385906.487,326.943,0,2823,17,15.991
18,385906.487,344.990,0,2300,18,16.991
19,385906.487,353.247,0,2241,19,17.990
20,385906.487,384.365,0,2716,20,18.990
21,385906.487,398.634,0,2970,21,19.989
22,385906.487,409.450,0,2768,22,20.988
23,385906.487,418.364,0,2536,23,21.988
24,385906.487,418.523,0,2409,24,22.987
25,385906.487,442.472,0,2530,25,23.987
26,385906.487,456.195,0,2562,26,24.986
27,385906.487,469.411,0,2933,27,25.986
28,385906.487,485.345,0,2631,28,26.985
29,385906.487,494.202,0,2871,29,27.985
30,385906.487,499.135,0,2709,30,28.984
31,385906.487,520.493,0,3140,31,29.984
32,385906.487,529.485,0,2634,32,30.983
33,385906.487,536.301,0,3706,33,31.982
34,385906.487,538.049,0,2643,34,32.982
35,385906.487,541.569,0,3021,35,33.981
36,385906.487,540.871,0,3249,36,34.981
37,385906.487,546.833,0,2667,37,35.980
38,385906.487,558.491,0,2999,38,36.980
39,385906.487,563.234,0,2927,39,37.979
40,385906.487,569.979,0,2626,40,38.979
41,385906.487,566.914,0,3057,41,39.978
42,385906.487,584.029,0,3045,42,40.978
43,385906.487,590.624,0,2770,43,41.977
44,385906.487,598.320,0,2587,44,42.976
45,385906.487,601.000,0,3004,45,43.976
46,385906.487,592.365,0,2737,46,44.975
47,385906.487,578.728,0,3000,47,45.975
48,385906.487,598.049,0,3250,48,46.974
49,385906.487,603.479,0,2804,49,47.974
50,385906.487,609.258,0,3049,50,48.973
51,385906.487,615.970,0,2955,51,49.973
52,385906.487,619.886,0,3280,52,50.972
53,385906.487,618.413,0,3371,53,51.971
54,385906.487,622.827,0,3057,54,52.971
55,385906.487,635.959,0,3901,55,53.970
56,385906.487,638.425,0,3341,56,54.970
57,385906.487,641.802,0,3580,57,55.969
58,385906.487,640.574,0,3507,58,56.969
