 ,Area,Mean,Min,Max,Slice,microns
1,385906.487,41.569,0,435,1,0.000
2,385906.487,46.451,0,508,2,1.000
3,385906.487,52.285,0,506,3,2.000
4,385906.487,61.056,0,723,4,3.000
5,385906.487,70.079,0,800,5,4.000
6,385906.487,81.075,0,927,6,5.000
7,385906.487,91.353,0,1192,7,6.000
8,385906.487,101.899,0,1332,8,6.999
9,385906.487,113.710,0,1297,9,7.999
10,385906.487,124.884,0,1559,10,8.999
11,385906.487,135.330,0,1691,11,9.999
12,385906.487,145.712,0,1725,12,10.999
13,385906.487,157.921,0,1607,13,11.999
14,385906.487,170.752,0,1614,14,12.999
15,385906.487,182.528,0,1711,15,13.999
16,385906.487,195.704,0,1702,16,14.999
17,385906.487,207.240,0,1675,17,15.999
18,385906.487,212.952,0,1851,18,16.999
19,385906.487,231.440,0,1713,19,17.999
20,385906.487,242.779,0,1660,20,18.999
21,385906.487,252.974,0,1724,21,19.999
22,385906.487,260.987,0,1633,22,20.998
23,385906.487,266.686,0,1682,23,21.998
24,385906.487,273.168,0,1827,24,22.998
25,385906.487,279.475,0,1701,25,23.998
26,385906.487,283.804,0,1961,26,24.998
27,385906.487,286.835,0,1508,27,25.998
28,385906.487,290.095,0,1610,28,26.998
29,385906.487,292.946,0,1619,29,27.998
30,385906.487,293.238,0,1383,30,28.998
31,385906.487,290.476,0,1406,31,29.998
32,385906.487,288.502,0,1348,32,30.998
33,385906.487,290.495,0,1494,33,31.998
34,385906.487,296.714,0,1379,34,32.998
35,385906.487,302.815,0,1424,35,33.998
36,385906.487,312.103,0,1812,36,34.997
37,385906.487,320.306,0,1809,37,35.997
38,385906.487,326.087,0,1769,38,36.997
39,385906.487,330.023,0,2329,39,37.997
40,385906.487,335.117,0,2207,40,38.997
41,385906.487,335.972,0,2441,41,39.997
42,385906.487,323.879,0,2149,42,40.997
43,385906.487,323.215,0,1676,43,41.997
44,385906.487,327.572,0,2021,44,42.997
45,385906.487,322.850,0,1834,45,43.997
46,385906.487,327.621,0,1917,46,44.997
47,385906.487,338.225,0,2007,47,45.997
48,385906.487,344.114,0,2291,48,46.997
49,385906.487,362.034,0,2348,49,47.997
50,385906.487,367.414,0,2302,50,48.996
51,385906.487,385.998,0,2289,51,49.996
52,385906.487,384.916,0,2245,52,50.996
53,385906.487,383.225,0,2176,53,51.996
54,385906.487,403.438,0,2475,54,52.996
55,385906.487,389.268,0,2622,55,53.996
56,385906.487,438.142,0,2715,56,54.996
57,385906.487,444.437,0,2746,57,55.996
58,385906.487,446.231,0,2722,58,56.996
59,385906.487,435.150,0,2518,59,57.996
60,385906.487,395.667,0,2351,60,58.996
61,385906.487,447.780,0,2561,61,59.996
