 ,Mean,%Area,Slice,microns
1,179.903,64.532,1,0.000
2,189.715,65.017,2,0.999
3,199.905,65.503,3,1.999
4,210.471,66.115,4,2.998
5,221.503,67.030,5,3.998
6,233.220,68.096,6,4.997
7,245.552,69.400,7,5.997
8,257.513,70.485,8,6.996
9,269.969,71.609,9,7.996
10,282.267,72.592,10,8.995
11,294.209,73.609,11,9.995
12,306.181,74.579,12,10.994
13,317.903,75.655,13,11.993
14,327.359,76.566,14,12.993
15,336.739,77.402,15,13.992
16,345.486,78.071,16,14.992
17,353.812,78.803,17,15.991
18,368.800,79.687,18,16.991
19,384.123,80.548,19,17.990
20,399.858,81.273,20,18.990
21,413.454,81.964,21,19.989
22,418.757,82.685,22,20.988
