 ,Mean,%Area,Slice,microns
1,140.036,49.433,1,0.000
2,148.902,50.168,2,0.999
3,158.626,50.831,3,1.999
4,170.024,51.788,4,2.998
5,184.080,53.469,5,3.998
6,200.332,55.381,6,4.997
7,217.797,57.533,7,5.997
8,236.274,59.609,8,6.996
9,255.101,61.816,9,7.996
10,274.924,63.905,10,8.995
11,296.494,66.123,11,9.995
12,315.929,68.169,12,10.994
13,335.058,69.984,13,11.993
14,352.688,71.628,14,12.993
15,367.402,73.108,15,13.992
16,381.120,74.178,16,14.992
17,400.234,75.216,17,15.991
18,422.032,76.202,18,16.991
19,443.963,76.909,19,17.990
20,465.306,77.513,20,18.990
21,484.138,78.181,21,19.989
22,496.776,78.588,22,20.988
23,506.218,78.785,23,21.988
24,516.901,79.073,24,22.987
25,527.459,79.308,25,23.987
26,537.885,79.509,26,24.986
27,547.210,79.756,27,25.986
28,556.662,80.021,28,26.985
29,566.601,80.307,29,27.985
30,575.771,80.718,30,28.984
31,582.309,81.015,31,29.984
32,590.653,81.364,32,30.983
33,600.758,81.647,33,31.982
34,612.207,82.008,34,32.982
35,623.245,82.453,35,33.981
