 ,Area,Mean,Min,Max,Slice,microns
1,385906.487,129.248,0,1692,1,0.000
2,385906.487,135.619,0,1860,2,0.999
3,385906.487,145.670,0,2320,3,1.999
4,385906.487,154.473,0,2722,4,2.998
5,385906.487,164.616,0,2525,5,3.998
6,385906.487,176.759,0,2219,6,4.997
7,385906.487,189.214,0,2651,7,5.997
8,385906.487,203.135,0,2879,8,6.996
9,385906.487,218.758,0,2855,9,7.996
10,385906.487,236.375,0,2889,10,8.995
11,385906.487,254.691,0,3469,11,9.995
12,385906.487,273.512,0,2812,12,10.994
13,385906.487,293.116,0,3477,13,11.993
14,385906.487,313.568,0,4230,14,12.993
15,385906.487,333.435,0,5930,15,13.992
16,385906.487,354.117,0,3723,16,14.992
17,385906.487,370.868,0,3645,17,15.991
18,385906.487,386.493,0,4642,18,16.991
19,385906.487,400.420,0,3365,19,17.990
20,385906.487,413.284,0,4397,20,18.990
21,385906.487,425.080,0,4774,21,19.989
22,385906.487,433.900,0,3765,22,20.988
23,385906.487,441.039,0,4354,23,21.988
24,385906.487,446.998,0,4725,24,22.987
25,385906.487,455.446,0,4245,25,23.987
26,385906.487,457.778,0,6968,26,24.986
27,385906.487,457.540,0,5945,27,25.986
28,385906.487,452.987,0,4722,28,26.985
29,385906.487,445.732,0,4651,29,27.985
30,385906.487,445.078,0,4436,30,28.984
31,385906.487,439.832,0,4701,31,29.984
32,385906.487,434.600,0,4642,32,30.983
33,385906.487,436.924,0,4565,33,31.982
34,385906.487,436.975,0,4715,34,32.982
35,385906.487,435.459,0,5017,35,33.981
36,385906.487,439.598,0,5105,36,34.981
37,385906.487,444.827,0,4963,37,35.980
38,385906.487,446.424,0,5249,38,36.980
39,385906.487,445.450,0,5241,39,37.979
40,385906.487,448.105,0,4989,40,38.979
41,385906.487,447.500,0,5243,41,39.978
42,385906.487,451.685,0,5069,42,40.978
43,385906.487,454.317,0,4967,43,41.977
44,385906.487,460.600,0,5078,44,42.976
45,385906.487,467.023,0,4925,45,43.976
46,385906.487,473.628,0,4935,46,44.975
47,385906.487,479.039,0,4976,47,45.975
48,385906.487,484.594,0,5393,48,46.974
49,385906.487,490.676,0,5585,49,47.974
50,385906.487,497.605,0,5573,50,48.973
51,385906.487,492.969,0,5478,51,49.973
52,385906.487,490.150,0,5181,52,50.972
53,385906.487,493.208,0,5265,53,51.971
54,385906.487,495.307,0,4933,54,52.971
55,385906.487,498.611,0,5124,55,53.970
56,385906.487,509.636,0,4977,56,54.970
57,385906.487,512.229,0,5192,57,55.969
58,385906.487,517.137,0,5001,58,56.969
59,385906.487,525.857,0,4796,59,57.968
60,385906.487,525.440,0,4830,60,58.968
61,385906.487,526.242,0,4264,61,59.967
