 ,Mean,%Area,Slice,microns
1,142.734,36.150,1,0.000
2,142.844,35.840,2,3.013
3,151.481,40.498,3,6.027
4,154.751,41.290,4,9.040
5,155.727,41.093,5,12.054
6,159.255,42.202,6,15.067
7,166.067,44.524,7,18.080
8,178.385,48.808,8,21.094
9,199.568,58.289,9,24.107
10,203.821,57.340,10,27.121
11,213.634,60.415,11,30.134
12,219.312,61.770,12,33.147
13,232.919,68.027,13,36.161
14,230.093,64.016,14,39.174
15,238.675,65.978,15,42.188
16,247.944,68.444,16,45.201
17,261.701,71.553,17,48.214
18,274.655,73.639,18,51.228
19,282.027,74.249,19,54.241
20,302.208,77.629,20,57.255
21,310.514,78.263,21,60.268
22,331.797,81.334,22,63.281
23,346.129,83.770,23,66.295
24,343.188,82.423,24,69.308
25,348.487,83.261,25,72.322
26,362.699,85.945,26,75.335
27,361.627,85.239,27,78.348
28,370.231,86.356,28,81.362
29,363.547,85.236,29,84.375
30,361.399,85.329,30,87.389
31,350.701,84.348,31,90.402
32,352.763,85.204,32,93.415
