 ,Area,Mean,Min,Max,Slice,microns
1,385906.487,253.414,0,1770,1,0.000
2,385906.487,251.539,0,1758,2,0.999
3,385906.487,244.276,0,1656,3,1.999
4,385906.487,233.421,0,1773,4,2.998
5,385906.487,238.310,0,1666,5,3.998
6,385906.487,242.278,0,1817,6,4.997
7,385906.487,248.985,0,2230,7,5.997
8,385906.487,258.480,0,2035,8,6.996
9,385906.487,270.826,0,2319,9,7.996
10,385906.487,283.275,0,2578,10,8.995
11,385906.487,299.619,0,2356,11,9.995
12,385906.487,319.211,0,2673,12,10.994
13,385906.487,341.422,0,3118,13,11.993
14,385906.487,362.578,0,2697,14,12.993
15,385906.487,383.809,0,3124,15,13.992
16,385906.487,404.915,0,3362,16,14.992
17,385906.487,416.236,0,2806,17,15.991
18,385906.487,450.544,0,2956,18,16.991
19,385906.487,466.864,0,2740,19,17.990
20,385906.487,483.739,0,2890,20,18.990
21,385906.487,494.879,0,3163,21,19.989
22,385906.487,493.593,0,3256,22,20.988
23,385906.487,522.258,0,3835,23,21.988
24,385906.487,536.778,0,4349,24,22.987
25,385906.487,552.920,0,3947,25,23.987
26,385906.487,570.076,0,3541,26,24.986
27,385906.487,575.814,0,3142,27,25.986
28,385906.487,608.200,0,3766,28,26.985
29,385906.487,618.983,0,3192,29,27.985
30,385906.487,624.729,0,3049,30,28.984
31,385906.487,628.696,0,3181,31,29.984
32,385906.487,633.856,0,3035,32,30.983
33,385906.487,634.566,0,2797,33,31.982
34,385906.487,632.998,0,2780,34,32.982
35,385906.487,632.133,0,2799,35,33.981
36,385906.487,645.535,0,3000,36,34.981
37,385906.487,654.125,0,3085,37,35.980
38,385906.487,657.707,0,3102,38,36.980
39,385906.487,658.723,0,2866,39,37.979
40,385906.487,680.941,0,3203,40,38.979
41,385906.487,700.985,0,3200,41,39.978
42,385906.487,722.181,0,2938,42,40.978
43,385906.487,740.414,0,3520,43,41.977
44,385906.487,757.587,0,3644,44,42.976
45,385906.487,737.338,0,3381,45,43.976
46,385906.487,769.308,0,3287,46,44.975
47,385906.487,789.091,0,3608,47,45.975
48,385906.487,811.919,0,3327,48,46.974
49,385906.487,839.727,0,4231,49,47.974
50,385906.487,865.809,0,3927,50,48.973
51,385906.487,872.020,0,3883,51,49.973
52,385906.487,910.208,0,4529,52,50.972
53,385906.487,947.237,0,4363,53,51.971
54,385906.487,973.085,0,4756,54,52.971
55,385906.487,994.813,0,4521,55,53.970
56,385906.487,1011.825,0,3944,56,54.970
57,385906.487,1019.397,0,4159,57,55.969
58,385906.487,1014.719,0,4302,58,56.969
