 ,Mean,%Area,Slice,MinThr,MaxThr,microns
1,87.851,14.023,1,55.768,1.000E30,0.000
2,94.573,20.546,2,55.768,1.000E30,1.500
3,101.288,27.976,3,55.768,1.000E30,3.000
4,106.379,35.862,4,55.768,1.000E30,4.500
5,110.294,40.801,5,55.768,1.000E30,6.001
6,113.141,45.863,6,55.768,1.000E30,7.501
7,117.240,50.547,7,55.768,1.000E30,9.001
8,120.197,54.041,8,55.768,1.000E30,10.501
9,123.876,58.160,9,55.768,1.000E30,12.001
10,130.237,63.838,10,55.768,1.000E30,13.501
11,134.216,67.329,11,55.768,1.000E30,15.001
12,138.166,69.828,12,55.768,1.000E30,16.501
13,140.897,71.955,13,55.768,1.000E30,18.002
14,146.058,75.754,14,55.768,1.000E30,19.502
15,149.985,78.642,15,55.768,1.000E30,21.002
16,154.778,81.413,16,55.768,1.000E30,22.502
17,158.762,84.151,17,55.768,1.000E30,24.002
18,164.079,87.288,18,55.768,1.000E30,25.502
19,167.020,88.627,19,55.768,1.000E30,27.002
20,172.052,91.637,20,55.768,1.000E30,28.502
21,175.302,91.867,21,55.768,1.000E30,30.003
22,179.378,93.672,22,55.768,1.000E30,31.503
23,186.067,94.925,23,55.768,1.000E30,33.003
24,185.358,94.126,24,55.768,1.000E30,34.503
25,186.448,94.378,25,55.768,1.000E30,36.003
26,186.430,94.394,26,55.768,1.000E30,37.503
27,189.817,94.671,27,55.768,1.000E30,39.003
28,193.249,95.100,28,55.768,1.000E30,40.504
29,194.262,95.074,29,55.768,1.000E30,42.004
30,198.271,95.692,30,55.768,1.000E30,43.504
31,198.116,94.849,31,55.768,1.000E30,45.004
32,200.609,95.573,32,55.768,1.000E30,46.504
33,201.411,95.330,33,55.768,1.000E30,48.004
34,202.207,95.510,34,55.768,1.000E30,49.504
35,205.678,95.539,35,55.768,1.000E30,51.004
36,208.010,95.721,36,55.768,1.000E30,52.505
37,208.249,95.841,37,55.768,1.000E30,54.005
38,209.995,95.913,38,55.768,1.000E30,55.505
39,210.203,96.053,39,55.768,1.000E30,57.005
40,210.621,95.977,40,55.768,1.000E30,58.505
41,211.887,96.069,41,55.768,1.000E30,60.005
42,214.412,96.118,42,55.768,1.000E30,61.505
43,214.827,96.146,43,55.768,1.000E30,63.006
44,214.307,96.082,44,55.768,1.000E30,64.506
45,215.850,95.995,45,55.768,1.000E30,66.006
