 ,Area,Mean,Perim.,Major,Minor,Angle,%Area
1,901.334,715.143,160.831,42.917,26.740,17.466,44.948
2,333.400,653.638,70.972,21.063,20.154,97.623,38.003
3,528.501,507.632,92.066,29.932,22.482,146.959,28.797
4,1036.252,322.345,165.437,42.356,31.150,80.376,17.772
5,683.558,486.416,137.785,32.207,27.023,88.673,31.838
6,499.348,419.337,92.140,28.812,22.067,98.832,23.465
7,604.785,360.309,99.853,32.757,23.507,36.363,23.007
8,385.320,374.396,90.293,26.611,18.436,55.686,22.697
9,462.356,567.306,87.754,29.865,19.712,129.380,34.369
10,619.761,357.934,124.404,29.631,26.631,137.337,20.171
11,510.662,591.557,93.777,34.326,18.942,79.852,37.038
12,450.902,620.228,98.693,38.016,15.102,74.488,38.032
13,459.868,574.651,98.609,32.137,18.220,150.588,35.076
14,937.199,332.889,130.857,39.366,30.312,157.281,16.750
15,589.059,322.707,101.354,34.043,22.032,128.384,18.075
16,690.647,316.397,109.684,34.689,25.350,16.564,16.048
17,674.216,307.248,105.555,33.010,26.006,36.930,15.959
18,850.821,546.286,144.312,45.802,23.652,74.352,38.959
19,312.368,612.720,71.427,21.260,18.707,130.465,38.729
20,603.002,489.779,112.135,28.854,26.609,88.820,31.133
21,1064.700,557.193,134.656,39.381,34.423,1.925,36.208
22,910.629,582.854,124.178,36.493,31.772,117.320,36.947
23,976.867,485.669,135.305,41.392,30.049,97.544,31.544
24,774.818,292.152,112.231,35.185,28.038,110.051,13.990
25,467.332,366.770,93.620,28.704,20.730,115.480,23.566
26,818.054,281.346,142.049,34.745,29.978,134.267,11.437
27,662.433,243.938,107.412,33.601,25.101,128.248,9.227
28,264.955,366.630,103.945,22.276,15.144,134.528,22.077
29,581.360,265.918,99.061,30.122,24.574,94.576,9.528
30,382.832,269.762,78.772,24.947,19.539,134.056,12.471
31,921.989,435.534,127.144,43.781,26.813,7.897,30.346
32,1194.502,297.788,172.107,42.114,36.114,20.969,16.133
33,1006.161,574.019,142.513,48.879,26.209,154.307,36.556
