 ,Area,Mean,X,Y,Perim.,%Area
1,797.586,344.856,74.202,53.421,129.951,39.735
2,1387.537,260.635,39.270,68.001,173.565,21.031
3,1324.538,420.261,143.211,74.906,152.852,46.266
4,1220.274,558.974,110.615,76.345,165.790,51.777
5,853.685,323.516,181.489,75.826,139.847,36.613
6,1074.230,410.591,82.684,79.796,133.461,45.248
7,821.575,400.644,14.760,82.855,117.344,45.592
8,878.612,465.002,173.892,104.325,117.068,64.993
9,991.044,448.927,129.305,109.565,128.116,54.247
10,704.683,514.204,155.122,115.567,138.568,69.829
11,1093.947,496.958,101.643,117.288,130.161,60.881
12,773.363,504.567,30.961,128.986,106.467,59.136
13,1335.006,487.303,84.209,147.108,146.199,43.456
14,1099.956,647.061,121.078,149.762,149.521,76.843
15,1163.096,419.025,154.030,145.685,138.655,51.094
16,777.494,542.220,182.942,146.908,113.221,76.953
17,1612.871,391.202,47.320,159.024,167.451,51.320
18,1537.196,603.003,194.839,182.635,155.352,69.739
19,1472.460,470.348,143.853,180.876,150.638,65.928
20,640.839,838.389,107.893,178.229,106.919,76.053
21,886.030,495.123,86.210,183.987,131.539,68.507
22,830.541,449.398,60.201,191.496,115.397,47.852
23,895.935,499.511,171.805,204.284,122.212,59.670
24,625.112,588.951,13.203,152.451,108.532,64.389
25,643.609,425.914,202.004,99.722,104.982,48.242
26,155.762,1142.376,170.156,172.672,55.704,95.027
27,974.989,508.881,64.670,119.236,128.830,47.677
28,601.452,586.431,61.224,90.003,114.543,84.070
29,503.714,506.117,42.165,102.625,94.631,61.612
30,1069.301,460.899,202.323,126.963,153.189,66.143
