 ,Area,Mean,Min,Max,X,Y,Perim.,Major,Minor,Angle,%Area
1,411.562,346.098,141,1101,89.266,43.862,88.262,33.786,15.510,10.445,47.633
2,775.663,350.957,135,1758,61.415,56.772,112.884,37.149,26.585,32.101,45.131
3,1506.870,308.012,129,1292,103.719,66.926,163.384,49.595,38.685,147.353,33.456
4,1084.746,345.865,133,1767,177.373,71.473,138.739,45.539,30.329,118.757,43.186
5,926.355,518.309,134,2207,70.271,81.190,136.735,42.824,27.542,1.447,66.173
6,1750.887,312.190,130,3739,29.638,94.038,191.123,55.314,40.303,63.369,31.196
7,1531.938,625.814,132,4034,143.665,109.031,160.599,50.417,38.688,133.528,71.532
8,1436.360,763.398,133,4095,107.075,110.352,175.726,55.075,33.206,68.359,73.664
9,1120.611,402.308,145,1990,183.182,108.947,154.230,42.980,33.197,135.993,60.739
10,1254.591,494.656,133,4095,77.344,111.178,142.718,47.235,33.818,84.501,59.626
11,822.279,625.521,160,2489,52.577,119.734,128.913,40.905,25.595,106.381,94.297
12,603.471,544.797,135,2638,30.477,132.144,97.906,29.080,26.423,22.432,74.352
13,1038.928,544.111,142,1897,175.506,141.316,127.254,41.740,31.691,111.300,82.852
14,1177.414,503.346,140,2865,124.655,144.858,137.847,44.692,33.544,82.179,71.552
15,756.228,536.109,136,3083,204.823,139.729,108.103,32.941,29.230,128.772,67.621
16,961.469,436.627,133,2064,153.635,153.408,161.571,40.728,30.057,129.289,66.471
17,1293.789,481.080,136,2251,93.297,155.302,141.415,44.104,37.350,95.844,70.936
18,1257.032,507.023,131,3407,52.715,152.909,155.479,48.576,32.948,24.113,60.515
19,802.515,495.672,131,2592,18.125,161.749,109.466,34.206,29.872,86.281,70.541
20,1505.086,445.225,128,2858,72.967,185.760,155.396,49.698,38.560,120.149,50.625
21,1692.535,344.851,132,2002,36.650,195.554,168.912,51.446,41.889,107.394,45.152
22,1362.891,425.908,134,1648,149.520,184.665,148.956,43.643,39.761,168.836,61.091
23,1275.105,552.581,141,2075,112.444,188.171,151.994,48.015,33.813,67.126,80.672
24,897.625,538.479,145,2145,182.498,188.243,117.669,34.919,32.730,62.327,84.635
25,1002.499,722.309,139,4095,150.551,77.227,134.407,39.107,32.639,123.290,68.743
26,1170.983,269.867,128,2263,134.209,51.018,173.775,43.939,33.932,179.230,15.567
