 ,Area,Mean,Min,Max,X,Y,Perim.,%Area
1,2015.654,323.202,132,1791,125.706,69.545,220.143,70.266
2,703.040,408.217,137,1654,38.520,61.266,112.079,78.799
3,684.638,487.242,153,1557,81.930,67.697,103.053,95.406
4,658.490,475.619,148,1527,205.970,75.589,109.990,94.268
5,1701.032,388.206,133,2101,98.099,96.911,171.289,75.364
6,1138.215,344.126,137,1728,203.863,102.657,146.557,74.953
7,1170.748,1139.007,143,4095,144.831,108.067,141.603,95.236
8,1044.186,738.706,139,3265,60.815,109.825,145.625,93.076
9,1422.652,559.338,133,3217,69.935,141.821,150.063,85.973
10,975.036,586.879,151,2985,42.911,149.267,141.192,98.816
11,669.616,542.887,139,2182,20.031,163.132,105.916,92.141
12,1289.330,505.028,143,2580,120.261,179.235,145.993,92.984
13,800.732,607.859,144,2514,201.676,174.788,110.752,92.191
14,1202.013,344.083,144,2133,150.484,191.855,169.349,75.817
15,1412.371,482.969,133,2128,46.766,184.138,165.310,82.623
16,1392.560,422.576,134,1890,89.087,189.015,151.053,86.863
17,1542.830,808.222,128,4095,101.502,142.343,185.754,93.053
18,1649.487,656.041,137,2856,139.274,142.478,169.643,91.584
19,1218.068,464.417,142,2889,172.041,98.761,152.348,88.315
20,1350.029,408.958,140,2233,180.676,140.767,189.585,88.198
21,928.327,399.880,140,1805,208.464,137.970,126.955,87.767
22,1110.049,581.008,150,2295,171.901,175.271,138.254,97.243
23,874.481,490.612,152,3775,55.203,82.472,121.822,92.624
24,1842.054,324.496,126,2010,19.551,122.581,204.897,61.551
25,1186.333,429.313,137,1429,169.674,64.157,144.539,85.988
