 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,%Area
1,602.955,382.565,179.256,77.930,104.388,29.135,26.350,26.281,30.684
2,1011.277,349.848,164.041,56.013,138.889,37.697,34.157,111.588,30.930
3,371.190,314.695,81.652,29.593,90.688,28.353,16.669,40.703,27.115
4,395.789,168.641,91.578,41.577,84.922,25.160,20.029,33.661,0.285
5,371.331,398.130,71.705,17.974,87.518,28.865,16.380,59.718,36.865
6,191.909,186.365,55.314,35.246,64.909,17.871,13.673,78.437,0.391
7,773.128,303.429,32.112,27.398,120.294,36.584,26.907,23.619,25.168
8,434.706,168.813,27.110,50.731,85.885,30.610,18.082,179.478,0.313
9,537.326,347.328,136.759,40.818,108.415,32.343,21.152,13.660,30.937
10,322.837,390.554,175.177,33.190,91.462,29.065,14.143,30.895,34.172
11,889.551,385.761,136.909,65.672,132.362,44.644,25.370,146.439,31.094
12,942.786,354.299,163.608,18.847,133.339,42.399,28.312,15.686,27.267
13,731.676,447.242,200.585,70.319,121.783,39.344,23.678,93.330,36.090
