 ,Area,Mean,Perim.,Major,Minor,Angle,%Area
1,461.323,209.572,87.352,30.508,19.253,43.562,40.714
2,961.376,210.461,133.742,38.477,31.813,4.384,33.854
3,729.705,250.749,117.319,30.899,30.068,57.777,42.782
4,389.123,356.852,100.462,34.724,14.268,70.994,69.864
5,375.650,317.242,95.300,32.866,14.553,85.241,67.408
6,404.755,293.122,89.165,29.998,17.179,49.317,51.334
7,921.942,218.251,130.418,43.609,26.917,69.828,39.676
8,381.518,394.174,102.449,30.629,15.860,40.202,63.726
9,402.830,225.614,81.118,30.172,16.999,9.923,43.946
10,532.632,290.746,96.316,28.615,23.700,82.726,47.999
11,678.864,310.830,116.062,40.733,21.220,6.857,55.238
12,546.433,233.864,94.071,28.737,24.210,156.347,49.785
13,1048.645,276.350,135.598,38.401,34.770,65.086,54.423
14,1007.006,195.127,128.003,37.977,33.761,159.790,35.355
15,983.158,316.591,137.444,49.294,25.395,145.680,53.894
16,776.696,355.661,120.575,37.722,26.216,83.802,61.995
17,684.732,304.859,112.976,32.116,27.146,13.058,47.594
18,832.513,199.515,128.712,44.752,23.686,166.388,31.189
19,639.055,184.160,122.883,38.653,21.051,146.958,27.011
20,976.445,270.282,125.683,38.154,32.585,177.987,53.957
21,612.719,274.314,109.089,32.429,24.057,67.127,41.603
22,133.322,177.221,59.622,17.692,9.595,57.338,18.239
23,624.972,393.146,113.812,33.166,23.992,14.691,52.911
24,81.167,248.577,37.832,12.168,8.493,34.385,53.730
25,581.454,200.940,110.875,33.489,22.107,26.876,33.756
26,373.302,175.972,79.512,26.907,17.665,19.261,24.472
27,594.692,191.509,129.136,44.465,17.029,102.242,26.129
28,682.807,188.723,123.674,35.084,24.780,164.225,31.433
29,765.007,190.187,113.326,32.610,29.869,167.043,32.063
30,472.590,206.338,101.456,26.150,23.011,116.015,35.899
31,663.044,225.055,110.420,35.996,23.453,13.146,38.516
32,1045.124,355.994,138.894,43.822,30.366,15.324,53.578
