 ,Area,Mean,Min,Max,X,Y,Perim.,Major,Minor,Angle,%Area
1,1037.472,218.835,126,565,102.172,37.773,134.639,45.189,29.232,34.075,85.615
2,444.235,197.815,128,495,149.857,40.885,87.781,25.083,22.550,129.976,80.799
3,815.472,186.409,123,469,83.734,67.655,112.450,32.882,31.576,28.421,58.782
4,558.263,240.466,129,821,59.038,80.437,95.792,30.838,23.049,80.822,85.621
5,957.855,204.664,127,952,187.911,83.947,124.335,39.762,30.672,63.411,77.205
6,874.763,261.623,126,1164,43.010,112.075,137.393,50.850,21.903,48.207,80.460
7,1044.843,232.276,123,1016,105.038,124.605,129.294,38.088,34.928,82.034,72.525
8,946.166,174.994,124,1818,50.197,134.555,123.206,43.511,27.687,38.876,45.487
9,1123.663,294.861,129,1044,154.848,164.110,150.642,53.900,26.543,80.023,96.599
10,1571.278,186.176,124,623,79.810,106.811,179.062,57.076,35.052,76.633,67.360
11,1397.255,216.022,124,1018,70.710,162.939,158.095,55.747,31.913,83.096,76.545
12,738.342,176.872,122,707,31.872,96.516,144.089,53.240,17.658,67.546,49.631
13,907.155,320.757,125,1384,94.453,161.526,149.726,49.379,23.391,79.169,80.470
14,973.299,316.281,128,1180,136.832,128.438,129.202,37.779,32.802,74.681,91.989
15,942.786,284.013,125,1113,120.460,97.544,124.011,38.180,31.441,161.537,84.141
16,1603.200,214.160,126,820,152.303,83.039,179.698,48.927,41.721,76.350,82.665
17,1128.310,290.335,125,1356,166.484,118.412,145.039,47.030,30.547,63.641,86.220
18,1097.139,420.656,132,1527,188.170,135.212,139.669,44.240,31.576,56.427,98.999
19,1245.765,292.332,124,971,178.141,180.033,151.369,48.500,32.704,97.649,93.240
20,842.090,436.937,135,1273,202.557,171.193,122.947,39.573,27.094,103.245,99.342
21,1205.064,240.530,122,1214,123.095,160.797,145.891,42.271,36.298,50.385,79.003
22,870.726,245.484,126,643,128.883,191.476,124.995,38.917,28.487,47.128,93.374
23,727.686,285.315,124,1036,101.662,194.384,112.249,33.832,27.386,109.700,83.214
24,800.966,295.454,127,983,43.137,168.143,138.516,41.742,24.432,93.614,93.166
25,305.139,210.096,123,793,32.489,187.059,74.829,25.497,15.237,101.458,62.015
26,1666.810,167.439,124,471,120.564,61.012,179.589,61.874,34.300,49.723,48.076
27,695.200,202.611,126,502,72.316,43.080,131.290,43.722,20.245,55.540,92.180
28,1482.600,218.543,130,580,38.199,55.880,155.974,46.323,40.751,26.231,87.411
29,944.147,157.028,122,613,20.261,158.207,171.166,51.772,23.220,83.022,29.977
