 ,Area,Mean,Min,Max,X,Y,Perim.,%Area
1,1149.904,238.386,131,754,97.518,45.300,140.276,98.857
2,1193.610,258.136,133,763,121.570,60.270,141.661,98.734
3,1271.631,310.358,132,906,11.255,80.688,178.926,99.564
4,872.510,265.430,124,675,136.221,81.077,127.773,97.450
5,1354.113,256.857,129,771,86.098,89.913,154.039,97.591
6,843.169,231.676,129,577,58.129,100.274,171.041,99.310
7,1654.463,193.771,124,852,180.226,93.103,172.187,88.798
8,907.906,271.883,127,850,149.364,100.379,125.189,96.107
9,1857.498,170.047,121,757,101.438,117.161,195.759,72.490
10,1021.558,276.966,134,777,207.150,114.233,136.070,99.724
11,1689.625,217.767,120,646,128.170,138.084,182.150,92.918
12,873.496,186.543,123,485,64.712,131.144,119.139,77.396
13,1035.031,239.381,126,732,162.852,133.143,136.193,95.387
14,1429.083,420.660,134,1303,184.994,149.991,154.188,99.842
15,600.373,241.740,127,756,43.061,151.872,103.053,96.528
16,977.055,259.447,123,1000,96.908,160.986,125.258,91.174
17,1624.137,162.364,120,499,60.858,176.937,184.219,65.295
18,821.669,179.301,121,517,18.676,171.567,163.011,67.663
19,1241.258,269.080,125,967,140.536,173.681,150.888,95.151
20,1061.978,266.873,126,780,112.076,193.879,131.566,97.401
21,1095.590,199.295,118,631,81.424,194.693,135.733,81.678
22,1705.257,262.841,127,837,24.130,123.931,165.446,97.718
23,2446.135,190.306,127,765,47.694,68.324,201.820,86.971
24,741.863,214.085,126,1133,211.565,153.505,129.849,95.045
25,1267.266,401.101,139,1119,191.770,190.952,148.401,99.981
26,1178.353,406.051,130,1241,159.922,191.165,152.126,99.857
27,951.752,219.128,123,684,28.820,191.071,139.935,87.368
