 ,Area,Mean,X,Y,%Area
1,771.518,118.508,141.764,18.244,20.782
2,1014.204,122.541,169.849,17.885,45.741
3,805.230,116.672,109.733,23.145,7.727
4,1286.460,118.753,190.835,33.827,21.666
5,1084.308,120.070,18.656,37.553,31.589
6,918.974,121.559,52.469,32.015,36.978
7,1132.311,116.218,86.023,40.969,5.267
8,1067.876,122.942,129.251,46.042,47.405
9,1926.320,123.441,196.768,71.828,48.259
10,1725.897,122.205,157.243,66.818,42.600
11,1832.255,117.883,64.221,72.854,16.890
12,747.664,123.499,33.895,63.179,46.670
13,1569.808,119.479,110.282,75.722,27.374
14,1434.080,119.718,31.359,96.966,30.784
15,1076.874,123.048,80.958,105.953,47.071
16,1806.589,118.574,149.690,110.306,21.765
17,1022.943,122.203,115.113,108.960,42.757
18,914.186,118.362,206.862,110.639,20.044
19,1503.573,115.153,178.208,128.177,3.394
20,1508.808,114.908,56.604,134.014,2.598
21,864.760,122.107,22.217,129.808,41.014
22,1134.570,121.353,96.564,137.666,37.665
23,1266.605,120.767,126.403,150.837,35.085
24,1393.934,115.761,203.633,157.717,5.457
25,604.266,117.473,18.638,156.347,14.627
26,1581.630,119.211,165.738,165.974,27.538
27,1255.760,119.431,84.188,169.958,27.319
28,960.778,125.847,42.065,168.557,50.953
29,553.382,128.127,62.846,181.826,61.414
30,1070.440,115.354,119.212,182.144,2.642
31,561.251,119.108,144.862,187.960,23.754
32,737.819,117.160,28.255,196.233,11.306
33,1284.625,120.117,184.970,199.745,31.470
34,899.166,121.507,106.704,207.449,40.098
35,620.381,123.294,74.972,203.368,45.910
36,744.723,128.978,49.220,208.892,65.528
37,833.672,122.097,146.611,210.149,42.387
