 ,Area,Mean,X,Y,%Area
1,429.592,115.482,68.458,65.668,1.793
2,598.103,117.916,90.764,73.476,8.380
3,549.782,116.915,64.049,83.074,6.271
4,659.609,116.516,113.336,87.897,5.535
5,600.573,115.584,133.294,96.221,3.204
6,477.466,114.826,10.286,91.655,0.554
7,653.869,116.550,204.725,98.529,4.008
8,738.254,118.014,95.763,108.347,9.502
9,629.085,116.109,73.316,101.919,4.852
10,378.943,114.444,51.741,104.470,0.202
11,316.789,114.848,28.479,110.777,0.887
12,626.004,116.232,14.189,119.307,5.133
13,618.276,115.200,44.625,123.597,2.009
14,861.231,119.763,123.272,118.883,12.721
15,643.177,114.413,72.544,127.645,0.404
16,810.276,118.200,158.804,132.150,9.845
17,485.864,120.127,131.501,134.520,13.947
18,575.942,114.454,33.311,145.245,0.370
19,414.677,115.249,16.311,150.532,2.970
20,481.254,119.367,205.844,165.152,12.199
21,673.030,115.871,65.145,172.214,2.587
22,934.324,124.691,187.546,181.277,21.280
23,666.208,122.022,92.107,184.352,16.680
24,515.788,118.254,144.801,191.517,8.956
25,435.062,120.976,113.239,194.822,13.937
26,356.194,117.872,75.010,197.172,8.180
27,635.543,122.362,151.350,88.328,16.348
28,464.645,124.171,181.625,90.278,18.672
29,1051.797,115.228,175.384,111.494,2.058
30,559.475,118.261,190.057,137.010,10.060
31,509.437,119.757,156.617,176.809,12.459
32,363.416,120.127,146.260,153.834,13.442
33,813.981,115.635,172.101,156.543,2.881
34,588.834,117.812,92.365,159.962,8.352
35,912.387,116.015,120.715,156.523,3.681
36,561.792,122.906,124.492,178.682,19.340
37,574.625,116.047,92.559,139.054,3.922
38,719.116,116.371,59.755,149.799,4.766
39,479.571,115.564,38.164,172.798,2.764
40,594.927,116.975,15.186,61.910,5.168
41,361.299,115.898,44.746,66.998,2.093
42,753.298,116.076,33.361,86.111,3.463
43,719.575,117.465,171.417,202.954,6.934
