,Time (hpf),ND_mean_02,ND_std_02,ND_mean_03,ND_std_03,ND_mean_01,ND_std_01,epi
0.00,4.50,30.63,9.78,39.10,9.62,25.30,2.92,30.00
1.00,4.62,38.61,12.60,39.52,9.98,29.78,6.70,31.25
2.00,4.74,37.64,13.00,41.49,9.86,32.75,6.49,32.50
3.00,4.86,38.74,12.82,43.79,10.54,35.06,6.47,33.75
4.00,4.98,44.38,11.63,47.71,11.07,37.89,7.03,35.00
5.00,5.11,45.75,10.86,49.82,11.33,38.25,8.21,36.25
6.00,5.23,50.99,11.16,51.08,10.67,42.54,8.83,37.50
7.00,5.35,51.01,11.07,54.65,11.44,45.46,11.67,38.75
8.00,5.47,54.62,12.51,54.75,12.02,47.57,11.97,40.00
9.00,5.59,58.17,12.53,56.75,12.12,49.57,13.97,41.25
10.00,5.71,61.32,12.48,58.53,12.95,52.24,10.64,42.50
11.00,5.83,63.14,13.27,59.63,12.71,55.07,7.57,43.75
12.00,5.95,64.97,14.33,62.48,12.60,58.29,12.34,45.00
13.00,6.08,67.74,12.27,64.09,12.87,64.45,10.12,46.25
14.00,6.20,68.02,15.38,67.33,13.46,67.77,11.41,47.50
15.00,6.32,73.50,12.33,69.02,13.21,71.20,13.28,48.75
16.00,6.44,74.87,13.02,70.65,12.48,73.43,16.17,50.00
17.00,6.56,77.77,12.60,72.66,13.07,75.77,10.41,51.25
18.00,6.68,79.27,11.17,74.45,12.35,78.09,11.30,52.50
19.00,6.80,82.34,10.17,76.14,12.76,80.49,12.25,53.75
20.00,6.92,83.26,9.98,77.73,12.09,81.90,13.86,55.00
21.00,7.05,83.26,12.60,78.72,12.36,83.98,14.95,56.25
22.00,7.17,85.64,10.12,79.55,13.45,85.33,12.94,57.50
23.00,7.29,86.60,8.64,80.90,12.90,86.51,12.39,58.75
24.00,7.41,88.16,9.72,83.05,12.58,87.89,13.31,60.00
25.00,7.53,90.95,7.84,83.26,12.99,89.31,6.68,64.44
26.00,7.65,92.07,7.41,85.11,12.50,91.36,8.61,68.89
27.00,7.77,91.92,7.68,85.82,12.31,95.00,3.88,73.33
28.00,7.89,92.39,8.21,86.73,11.42,97.45,2.51,77.78
29.00,8.02,93.64,7.06,87.62,12.66,98.99,1.89,82.22
30.00,8.14,94.29,6.94,89.61,9.46,99.50,0.98,86.67
31.00,8.26,94.65,6.90,85.61,13.37,99.67,0.72,91.11
32.00,8.38,95.81,6.29,87.07,11.95,99.78,0.51,95.56
33.00,8.50,95.91,6.06,87.09,12.20,99.82,0.46,100.00
