,Time (hpf),Mean_14022023,Mean_18012022,Mean2_18012022
0,4.25,8.137681907,9.563714286,6.116069767
1,4.75,14.1138,10.51139794,7.253036906
2,5.25,20.43559459,11.57768519,9.583396259
3,5.75,26.43381818,15.59824368,12.01644375
4,6.25,33.11966031,21.41718073,18.57352074
5,6.75,41.13115152,25.94878893,31.2524215
6,7.25,51.08775758,31.27126875,42.30372127
7,7.75,58.22392593,33.89660422,45.47818605
8,8.25,61.45992308,42.66318931,58.66901395
9,8.75,76.84396,55.01668931,69.113862
10,9.25,88.96696,67.79351131,78.33076667
11,9.75,96.42524,74.06619043,83.61883017
