 ,Area,Mean,Min,Max,Ch,Frame
1,16340.532,10.192,3,232,1,1
2,16340.532,10.955,1,237,2,1
3,16340.532,10.191,3,223,1,2
4,16340.532,10.944,1,255,2,2
5,16340.532,10.143,3,216,1,3
6,16340.532,10.981,1,241,2,3
7,16340.532,10.133,3,231,1,4
8,16340.532,10.966,1,242,2,4
9,16340.532,10.083,3,235,1,5
10,16340.532,10.972,1,246,2,5
11,16340.532,10.065,3,234,1,6
12,16340.532,11.023,1,234,2,6
13,16340.532,10.088,3,219,1,7
14,16340.532,10.912,1,241,2,7
15,16340.532,10.085,3,215,1,8
16,16340.532,10.922,1,252,2,8
17,16340.532,9.985,3,231,1,9
18,16340.532,10.894,1,230,2,9
19,16340.532,9.997,3,233,1,10
20,16340.532,10.850,1,242,2,10
21,16340.532,9.980,3,249,1,11
22,16340.532,10.703,1,255,2,11
23,16340.532,9.974,3,247,1,12
24,16340.532,10.799,1,230,2,12
25,16340.532,9.650,3,196,1,13
26,16340.532,10.084,1,217,2,13
27,16340.532,9.560,3,170,1,14
28,16340.532,9.831,1,219,2,14
29,16340.532,9.521,3,142,1,15
30,16340.532,9.719,1,181,2,15
31,16340.532,9.566,3,136,1,16
32,16340.532,9.719,1,173,2,16
33,16340.532,9.501,3,131,1,17
34,16340.532,9.717,1,213,2,17
35,16340.532,9.501,3,143,1,18
36,16340.532,9.667,1,211,2,18
37,16340.532,9.482,3,152,1,19
38,16340.532,9.672,1,194,2,19
39,16340.532,9.474,3,132,1,20
40,16340.532,9.558,1,178,2,20
41,16340.532,9.460,3,140,1,21
42,16340.532,9.612,1,223,2,21
43,16340.532,9.420,3,125,1,22
44,16340.532,9.554,1,205,2,22
45,16340.532,9.475,3,123,1,23
46,16340.532,9.568,1,171,2,23
47,16340.532,9.424,3,131,1,24
48,16340.532,9.515,1,163,2,24
49,16340.532,9.409,3,162,1,25
50,16340.532,9.568,1,186,2,25
51,16340.532,9.408,3,145,1,26
52,16340.532,9.573,1,203,2,26
53,16340.532,9.348,3,147,1,27
54,16340.532,9.576,1,178,2,27
55,16340.532,9.319,3,137,1,28
56,16340.532,9.492,1,208,2,28
57,16340.532,9.357,3,128,1,29
58,16340.532,9.476,1,190,2,29
59,16340.532,9.371,3,140,1,30
60,16340.532,9.504,1,179,2,30
61,16340.532,9.337,3,131,1,31
62,16340.532,9.518,1,193,2,31
63,16340.532,9.293,3,123,1,32
64,16340.532,9.440,1,173,2,32
65,16340.532,9.265,3,144,1,33
66,16340.532,9.470,1,209,2,33
67,16340.532,9.283,3,130,1,34
