 ,Mean,Mode,Min,Max,Ch,Frame,MinThr,MaxThr
1,5.893,3,3,86,1,1,0,255
2,9.130,2,1,112,2,1,0,255
3,6.855,3,3,81,1,2,0,255
4,10.271,2,1,172,2,2,0,255
5,7.301,3,3,85,1,3,0,255
6,11.041,2,1,201,2,3,0,255
7,7.413,3,3,102,1,4,0,255
8,11.281,2,1,236,2,4,0,255
9,7.609,3,3,98,1,5,0,255
10,11.567,2,1,206,2,5,0,255
11,7.704,3,3,107,1,6,0,255
12,11.931,2,1,239,2,6,0,255
13,7.799,3,3,90,1,7,0,255
14,12.163,2,1,254,2,7,0,255
15,7.873,3,3,98,1,8,0,255
16,12.354,2,1,255,2,8,0,255
17,8.014,3,3,94,1,9,0,255
18,12.426,2,1,249,2,9,0,255
19,8.065,3,3,87,1,10,0,255
20,12.580,2,1,252,2,10,0,255
21,8.116,3,3,88,1,11,0,255
22,12.726,2,1,255,2,11,0,255
23,8.215,3,3,90,1,12,0,255
24,12.984,2,1,248,2,12,0,255
25,8.247,3,3,87,1,13,0,255
26,13.061,2,1,244,2,13,0,255
27,8.245,3,3,97,1,14,0,255
28,13.218,2,1,250,2,14,0,255
29,8.296,3,3,91,1,15,0,255
30,13.328,2,1,255,2,15,0,255
31,8.230,3,3,95,1,16,0,255
32,13.047,2,1,255,2,16,0,255
33,8.259,3,3,88,1,17,0,255
34,13.255,2,1,255,2,17,0,255
35,8.279,3,3,98,1,18,0,255
36,13.228,2,1,255,2,18,0,255
37,8.319,3,3,85,1,19,0,255
38,13.457,2,1,255,2,19,0,255
39,8.402,3,3,98,1,20,0,255
40,13.398,2,1,239,2,20,0,255
41,8.414,3,3,93,1,21,0,255
42,13.730,2,1,255,2,21,0,255
43,8.468,3,3,89,1,22,0,255
44,13.486,2,1,254,2,22,0,255
45,8.460,3,3,98,1,23,0,255
46,13.541,2,1,241,2,23,0,255
47,8.510,3,3,113,1,24,0,255
48,13.647,2,1,250,2,24,0,255
49,8.506,3,3,96,1,25,0,255
50,13.642,2,1,255,2,25,0,255
51,8.509,3,3,98,1,26,0,255
52,13.733,2,1,230,2,26,0,255
53,8.541,3,3,99,1,27,0,255
54,13.866,2,1,255,2,27,0,255
55,8.590,3,3,105,1,28,0,255
56,13.806,2,1,255,2,28,0,255
57,8.494,3,3,106,1,29,0,255
58,13.786,2,1,255,2,29,0,255
59,8.594,3,3,120,1,30,0,255
60,14.010,2,1,242,2,30,0,255
61,8.590,3,3,102,1,31,0,255
62,13.848,2,1,241,2,31,0,255
63,8.695,3,3,104,1,32,0,255
64,13.967,2,1,234,2,32,0,255
65,8.715,3,3,94,1,33,0,255
66,13.948,2,1,244,2,33,0,255
67,8.601,3,3,95,1,34,0,255
68,14.001,2,1,216,2,34,0,255
69,8.694,3,3,129,1,35,0,255
70,13.908,2,1,219,2,35,0,255
71,8.762,3,3,108,1,36,0,255
72,13.963,2,1,235,2,36,0,255
73,8.745,3,3,99,1,37,0,255
74,14.124,2,1,238,2,37,0,255
75,8.673,3,3,99,1,38,0,255
76,14.170,2,1,240,2,38,0,255
77,8.758,3,3,107,1,39,0,255
78,14.212,2,1,220,2,39,0,255
79,8.845,3,3,97,1,40,0,255
80,14.324,2,1,248,2,40,0,255
81,8.885,3,3,95,1,41,0,255
82,14.256,2,1,231,2,41,0,255
83,8.916,3,3,96,1,42,0,255
84,14.338,2,1,211,2,42,0,255
85,8.844,3,3,96,1,43,0,255
86,14.154,2,1,255,2,43,0,255
87,8.941,3,3,93,1,44,0,255
88,14.315,2,1,252,2,44,0,255
89,9.015,3,3,112,1,45,0,255
90,14.282,2,1,229,2,45,0,255
91,8.999,3,3,108,1,46,0,255
92,14.320,2,1,220,2,46,0,255
93,8.946,3,3,105,1,47,0,255
94,14.344,2,1,239,2,47,0,255
95,8.988,3,3,93,1,48,0,255
96,14.281,2,1,238,2,48,0,255
97,8.952,3,3,109,1,49,0,255
98,14.437,2,1,230,2,49,0,255
99,9.024,3,3,102,1,50,0,255
100,14.390,2,1,211,2,50,0,255
101,9.115,3,3,118,1,51,0,255
102,14.256,2,1,242,2,51,0,255
103,9.092,3,3,138,1,52,0,255
104,14.376,2,1,246,2,52,0,255
105,9.140,3,3,123,1,53,0,255
106,14.351,2,1,217,2,53,0,255
107,9.126,3,3,114,1,54,0,255
108,14.374,2,1,231,2,54,0,255
109,9.928,3,3,113,1,55,0,255
110,14.604,2,1,200,2,55,0,255
111,10.614,3,3,111,1,56,0,255
112,15.124,2,1,206,2,56,0,255
113,10.762,3,3,128,1,57,0,255
114,15.222,2,1,193,2,57,0,255
115,10.792,3,3,129,1,58,0,255
116,15.174,2,1,207,2,58,0,255
117,11.096,3,3,110,1,59,0,255
118,15.523,2,1,237,2,59,0,255
119,11.345,3,3,100,1,60,0,255
120,15.679,2,1,252,2,60,0,255
121,11.499,3,3,111,1,61,0,255
122,15.651,2,1,255,2,61,0,255
123,11.725,3,3,106,1,62,0,255
124,15.706,2,1,255,2,62,0,255
125,11.825,3,3,114,1,63,0,255
126,15.830,2,1,255,2,63,0,255
127,11.958,3,3,118,1,64,0,255
128,15.790,2,1,253,2,64,0,255
129,12.211,3,3,113,1,65,0,255
130,16.056,2,1,240,2,65,0,255
131,12.477,3,3,118,1,66,0,255
132,16.152,2,1,255,2,66,0,255
133,12.923,3,3,113,1,67,0,255
134,16.419,2,1,255,2,67,0,255
135,13.410,3,3,115,1,68,0,255
136,16.680,2,1,255,2,68,0,255
137,13.996,3,3,137,1,69,0,255
138,17.020,11,1,255,2,69,0,255
139,14.462,3,3,141,1,70,0,255
140,17.625,11,1,255,2,70,0,255
141,14.801,3,3,138,1,71,0,255
142,18.124,13,1,255,2,71,0,255
143,15.207,10,3,155,1,72,0,255
144,18.342,14,1,255,2,72,0,255
145,15.423,11,3,122,1,73,0,255
146,18.590,14,1,255,2,73,0,255
147,15.658,10,3,129,1,74,0,255
148,18.681,14,1,255,2,74,0,255
149,15.727,12,3,139,1,75,0,255
150,18.561,12,1,249,2,75,0,255
151,15.796,12,3,127,1,76,0,255
152,18.834,13,1,255,2,76,0,255
153,15.785,13,3,155,1,77,0,255
154,18.746,11,1,255,2,77,0,255
155,15.914,12,3,137,1,78,0,255
156,19.128,11,1,255,2,78,0,255
157,15.841,11,3,134,1,79,0,255
158,18.844,13,1,255,2,79,0,255
159,15.696,10,3,170,1,80,0,255
160,18.997,11,1,255,2,80,0,255
161,15.557,12,3,197,1,81,0,255
162,19.118,13,1,255,2,81,0,255
163,15.414,12,3,168,1,82,0,255
164,19.277,12,1,255,2,82,0,255
165,15.518,12,3,181,1,83,0,255
166,19.506,13,1,255,2,83,0,255
167,15.443,11,3,215,1,84,0,255
168,19.542,11,1,255,2,84,0,255
169,15.317,10,3,191,1,85,0,255
170,19.629,12,1,255,2,85,0,255
171,15.372,11,3,228,1,86,0,255
172,19.979,13,1,255,2,86,0,255
173,15.218,12,3,221,1,87,0,255
174,19.797,12,1,255,2,87,0,255
175,15.194,12,3,217,1,88,0,255
176,19.799,12,1,251,2,88,0,255
177,15.204,12,3,233,1,89,0,255
178,19.935,12,1,255,2,89,0,255
179,15.018,9,3,222,1,90,0,255
180,20.035,12,1,255,2,90,0,255
181,14.846,10,3,208,1,91,0,255
182,19.886,13,1,255,2,91,0,255
183,14.739,10,3,205,1,92,0,255
184,20.005,14,1,255,2,92,0,255
185,14.549,12,3,236,1,93,0,255
186,19.860,11,1,224,2,93,0,255
187,14.637,10,3,223,1,94,0,255
188,20.087,15,1,239,2,94,0,255
189,14.601,9,3,225,1,95,0,255
190,19.615,12,1,255,2,95,0,255
191,14.771,10,3,232,1,96,0,255
192,19.724,11,1,235,2,96,0,255
193,14.835,10,3,255,1,97,0,255
194,19.591,12,1,232,2,97,0,255
195,14.698,11,3,229,1,98,0,255
196,19.293,12,1,254,2,98,0,255
197,14.707,10,3,213,1,99,0,255
198,19.144,14,1,241,2,99,0,255
199,14.684,12,3,215,1,100,0,255
200,18.685,13,1,255,2,100,0,255
201,14.537,12,3,223,1,101,0,255
202,19.062,12,1,247,2,101,0,255
203,14.604,11,3,198,1,102,0,255
204,18.643,13,1,230,2,102,0,255
205,14.371,11,3,198,1,103,0,255
206,18.796,12,1,249,2,103,0,255
207,14.367,11,3,204,1,104,0,255
208,18.471,13,1,238,2,104,0,255
209,14.238,11,3,165,1,105,0,255
210,18.443,13,1,225,2,105,0,255
211,14.051,11,3,155,1,106,0,255
212,17.990,13,1,193,2,106,0,255
213,13.975,11,3,143,1,107,0,255
214,17.787,12,1,207,2,107,0,255
215,13.863,11,3,131,1,108,0,255
216,17.760,13,1,222,2,108,0,255
217,13.687,10,3,117,1,109,0,255
218,17.584,10,1,195,2,109,0,255
219,13.694,3,3,145,1,110,0,255
220,16.894,10,1,225,2,110,0,255
221,11.355,3,3,170,1,111,0,255
222,11.738,10,1,123,2,111,0,255
223,4.580,3,3,49,1,112,0,255
224,6.640,2,1,36,2,112,0,255
225,3.874,3,3,33,1,113,0,255
226,6.254,2,1,37,2,113,0,255
227,3.462,3,3,15,1,114,0,255
228,5.760,2,1,41,2,114,0,255
229,3.441,3,3,13,1,115,0,255
