 ,Area,Mean,Min,Max,Slice,microns
1,17931.422,10.497,0,255,1,0
2,17931.422,11.243,0,255,2,1
3,17931.422,10.458,0,255,3,2
4,17931.422,10.75,0,255,4,3
5,17931.422,10.539,0,255,5,4
6,17931.422,11.442,0,255,6,5
7,17931.422,10.343,0,255,7,6
8,17931.422,10.788,0,255,8,7
9,17931.422,11.696,0,255,9,8
10,17931.422,10.945,0,255,10,9
11,17931.422,11.439,0,255,11,10
12,17931.422,10.776,0,255,12,11
13,17931.422,11.389,0,255,13,12
14,17931.422,10.918,0,255,14,13
15,17931.422,11.326,0,255,15,14
16,17931.422,11.142,0,255,16,15
17,17931.422,10.717,0,255,17,16
18,17931.422,11.139,0,255,18,17
19,17931.422,10.688,0,255,19,18
20,17931.422,11.035,0,255,20,19
21,17931.422,10.489,0,255,21,20
22,17931.422,11.592,0,255,22,21
23,17931.422,10.391,0,255,23,22
24,17931.422,10.847,0,255,24,23
25,17931.422,11.391,0,255,25,24
26,17931.422,11.112,0,255,26,25
27,17931.422,10.5,0,255,27,26
28,17931.422,10.914,0,255,28,27
29,17931.422,10.674,0,255,29,28
30,17931.422,10.427,0,255,30,29
31,17931.422,10.952,0,255,31,30
32,17931.422,11.182,0,255,32,31
33,17931.422,10.884,0,255,33,32
34,17931.422,11.319,0,255,34,33
35,17931.422,11.686,0,255,35,34
36,17931.422,11.244,0,255,36,35
37,17931.422,10.292,0,255,37,36
38,17931.422,10.581,0,255,38,37
39,17931.422,10.285,0,255,39,38
40,17931.422,10.774,0,255,40,39
41,17931.422,11.168,0,255,41,40
42,17931.422,10.834,0,255,42,41
43,17931.422,11.049,0,255,43,42
44,17931.422,10.899,0,255,44,43
45,17931.422,10.627,0,255,45,44
46,17931.422,11.614,0,255,46,45
47,17931.422,11.668,0,255,47,46
48,17931.422,11.744,0,255,48,47
49,17931.422,10.445,0,255,49,48
50,17931.422,11.358,0,255,50,49
51,17931.422,11.229,0,255,51,50
52,17931.422,10.669,0,255,52,51
53,17931.422,11.59,0,255,53,52
54,17931.422,11.187,0,255,54,53
55,17931.422,10.566,0,255,55,54
56,17931.422,10.127,0,255,56,55
57,17931.422,11.881,0,255,57,56
58,17931.422,10.876,0,255,58,57
59,17931.422,11.478,0,255,59,58
60,17931.422,11.169,0,255,60,59
61,17931.422,10.918,0,255,61,60
62,17931.422,10.788,0,255,62,61
63,17931.422,11.419,0,255,63,62
64,17931.422,10.868,0,255,64,63
65,17931.422,11.533,0,255,65,64
66,17931.422,11.166,0,255,66,65
67,17931.422,11.516,0,255,67,66
68,17931.422,10.974,0,255,68,67
69,17931.422,11.382,0,255,69,68
70,17931.422,11.133,0,255,70,69
71,17931.422,10.678,0,255,71,70
72,17931.422,11.479,0,255,72,71
73,17931.422,10.736,0,255,73,72
74,17931.422,10.701,0,255,74,73
75,17931.422,10.974,0,255,75,74
76,17931.422,11.366,0,255,76,75
77,17931.422,12.749,0,255,77,76
