 ,Area,Mean,Min,Max,Slice,microns
1,23832.771,8.988,0,255,1,0
2,23832.771,9.256,0,255,2,1
3,23832.771,10.111,0,255,3,2
4,23832.771,10.096,0,255,4,3
5,23832.771,9.539,0,255,5,4
6,23832.771,9.654,0,255,6,5
7,23832.771,9.618,0,255,7,6
8,23832.771,9.417,0,255,8,7
9,23832.771,9.982,0,255,9,8
10,23832.771,9.938,0,255,10,9
11,23832.771,10.853,0,255,11,10
12,23832.771,9.786,0,255,12,11
13,23832.771,10.376,0,255,13,12
14,23832.771,10.077,0,255,14,13
15,23832.771,10.048,0,255,15,14
16,23832.771,10.398,0,255,16,15
17,23832.771,9.805,0,255,17,16
18,23832.771,10.449,0,255,18,17
19,23832.771,10.051,0,255,19,18
20,23832.771,10.470,0,255,20,19
21,23832.771,10.572,0,255,21,20
22,23832.771,10.593,0,255,22,21
23,23832.771,10.633,0,255,23,22
24,23832.771,10.740,0,255,24,23
25,23832.771,10.654,0,255,25,24
26,23832.771,10.908,0,255,26,25
27,23832.771,10.921,0,255,27,26
28,23832.771,11.356,0,255,28,27
29,23832.771,11.702,0,255,29,28
30,23832.771,11.420,0,255,30,29
31,23832.771,11.526,0,255,31,30
32,23832.771,11.427,0,255,32,31
33,23832.771,11.287,0,255,33,32
34,23832.771,11.553,0,255,34,33
35,23832.771,11.837,0,255,35,34
36,23832.771,11.346,0,255,36,35
37,23832.771,11.541,0,255,37,36
38,23832.771,11.139,0,255,38,37
39,23832.771,11.059,0,255,39,38
40,23832.771,11.549,0,255,40,39
41,23832.771,11.431,0,255,41,40
42,23832.771,11.643,0,255,42,41
43,23832.771,11.335,0,255,43,42
44,23832.771,11.263,0,255,44,43
45,23832.771,11.064,0,255,45,44
46,23832.771,11.364,0,255,46,45
47,23832.771,11.341,0,255,47,46
48,23832.771,11.315,0,255,48,47
49,23832.771,11.173,0,255,49,48
50,23832.771,11.861,0,255,50,49
51,23832.771,12.032,0,255,51,50
52,23832.771,11.408,0,255,52,51
53,23832.771,11.623,0,255,53,52
54,23832.771,11.419,0,255,54,53
55,23832.771,11.797,0,255,55,54
56,23832.771,12.095,0,255,56,55
57,23832.771,11.128,0,255,57,56
58,23832.771,11.403,0,255,58,57
59,23832.771,11.313,0,255,59,58
60,23832.771,11.809,0,255,60,59
61,23832.771,11.801,0,255,61,60
62,23832.771,11.700,0,255,62,61
63,23832.771,11.676,0,255,63,62
64,23832.771,11.545,0,255,64,63
65,23832.771,11.469,0,255,65,64
66,23832.771,11.398,0,255,66,65
67,23832.771,11.269,0,255,67,66
68,23832.771,11.934,0,255,68,67
69,23832.771,11.302,0,255,69,68
70,23832.771,11.516,0,255,70,69
71,23832.771,11.590,0,255,71,70
72,23832.771,11.403,0,255,72,71
73,23832.771,11.758,0,255,73,72
74,23832.771,11.643,0,255,74,73
75,23832.771,12.375,0,255,75,74
76,23832.771,12.117,0,255,76,75
77,23832.771,11.891,0,255,77,76
78,23832.771,12.029,0,255,78,77
79,23832.771,11.914,0,255,79,78
80,23832.771,11.918,0,255,80,79
81,23832.771,12.256,0,255,81,80
82,23832.771,12.249,0,255,82,81
83,23832.771,12.086,0,255,83,82
84,23832.771,12.056,0,255,84,83
85,23832.771,11.960,0,255,85,84
86,23832.771,11.535,0,255,86,85
87,23832.771,11.252,0,255,87,86
88,23832.771,12.460,0,255,88,87
89,23832.771,13.004,0,255,89,88
90,23832.771,12.379,0,255,90,89
91,23832.771,11.962,0,255,91,90
92,23832.771,12.051,0,255,92,91
93,23832.771,12.798,0,255,93,92
94,23832.771,12.483,0,255,94,93
95,23832.771,11.889,0,255,95,94
96,23832.771,12.785,0,255,96,95
97,23832.771,12.494,0,255,97,96
98,23832.771,12.725,0,255,98,97
99,23832.771,13.100,0,255,99,98
100,23832.771,12.297,0,255,100,99
101,23832.771,12.657,0,255,101,100
102,23832.771,12.270,0,255,102,101
103,23832.771,12.172,0,255,103,102
104,23832.771,12.374,0,255,104,103
105,23832.771,12.161,0,255,105,104
106,23832.771,12.858,0,255,106,105
107,23832.771,12.827,0,255,107,106
108,23832.771,13.376,0,255,108,107
109,23832.771,12.134,0,255,109,108
110,23832.771,12.100,0,255,110,109
111,23832.771,12.286,0,255,111,110
112,23832.771,12.175,0,255,112,111
113,23832.771,12.501,0,255,113,112
114,23832.771,11.967,0,255,114,113
115,23832.771,12.589,0,255,115,114
116,23832.771,12.052,0,255,116,115
117,23832.771,12.709,0,255,117,116
118,23832.771,13.608,0,255,118,117
119,23832.771,12.947,0,255,119,118
120,23832.771,12.865,0,255,120,119
121,23832.771,13.429,0,255,121,120
122,23832.771,13.549,0,255,122,121
123,23832.771,13.468,0,255,123,122
124,23832.771,12.834,0,255,124,123
125,23832.771,13.349,0,255,125,124
126,23832.771,13.131,0,255,126,125
127,23832.771,14.169,0,255,127,126
128,23832.771,14.623,0,255,128,127
129,23832.771,14.065,0,255,129,128
130,23832.771,13.178,0,255,130,129
