Time (hpf),06092023_Control008,06092023_Control009,04042023_Control002,30102023_Control001,30102023_Control002,14022023_Control002,21022023_Control001,21022023_Control002,14062020_Control006,04062022_Control002,15022023_MyptYSL003,15022023_MyptYSL004,15022023_MyptYSL005,14062020_MyptYSL002,14062020_MyptYSL004,14062020_MyptYSL005,04062022_MyptYSL001,04062022_MyptYSL002,04062022_MyptYSL003,04062022_MyptYSL004,04062022_MyptYSL005,04062022_MyptYSL006,04062022_MyptYSL007,04042023_CaRhoA003,04042023_CaRhoA004,04042023_CaRhoA005,30102023_CaRhoA004,Epiboly_Control,Epiboly_MyptYSL,Epiboly_CaRhoA
4.15,44.01,28.9459999999999,77.832,83.8495,184.809,85.8574999999999,83.865,119.158,181.750999999999,91.2119999999999,79.3129999999999,79.5125,132.433499999999,142.789,160.4065,155.204999999999,124.083,91.2119999999999,53.544,108.3455,53.5019999999999,38.725,49.486,182.94,275.4475,252.4765,144.469,30.0,30.0,30.0
4.44999999999999,52.285,32.929,100.251,87.121,199.905,102.286,110.426,155.3,206.944,101.288,81.826,85.363,145.67,151.481,170.374,164.697,137.212,101.288,58.757,115.57,77.419,42.621,52.398,193.97,254.791,244.276,158.626,34.28571429,32.5,33.0
4.75,61.056,37.19,115.332,91.8955,215.987,113.926,128.645,181.572,214.402,106.379,88.977,92.438,159.5445,154.751,173.926,166.392,146.172,106.379,61.929,118.547,91.65,45.802,53.818,197.605,258.361,233.421,177.052,38.57142857,35.0,36.0
5.04999999999999,70.079,42.565,128.017,98.334,233.22,140.326,147.243,211.323,219.306,110.294,97.532,100.881,176.759,155.727,175.567,167.444,153.032,110.294,65.29,122.572,100.624,48.206,55.252,200.856,258.421,238.31,200.332,42.85714286,37.5,39.0
5.35,81.075,48.178,144.6155,106.626,251.532499999999,163.134,163.568,241.985,241.8225,115.1905,108.0905,110.9985,196.1745,162.661,185.326,174.8285,158.662,115.1905,67.895,128.0155,105.718,50.4495,56.879,209.178499999999,265.615,245.6315,227.0355,47.14285714,40.0,42.0
5.64999999999999,96.626,57.4039999999999,165.777,114.277,269.969,178.222,179.708,271.631,282.781,120.197,119.697,121.608,218.758,178.385,206.283,190.678,158.9,120.197,71.816,128.875,106.449,53.09,59.48,224.883,279.257,258.48,255.101,51.42857143,42.5,45.0
5.94999999999999,113.71,68.587,184.846,122.82,288.238,203.9435,194.061,303.044,309.15,123.876,134.507999999999,133.051499999999,245.533,199.568,224.488,201.483,159.112,123.876,76.084,130.968,109.635,55.922,61.882,234.945,288.726,270.826,285.709,55.71428571,45.0,48.0
6.24999999999999,124.884,76.354,201.06,132.797,306.181,229.188,209.461,332.938,334.712,130.237,152.106,144.5,273.512,203.821,230.321,208.918,162.099,130.237,79.854,137.902,112.286,59.235,64.849,254.679,292.12,283.275,315.929,60.0,47.5,51.0
6.54999999999999,135.33,84.31,223.4315,143.380499999999,322.631,245.44,223.133,359.031,361.282,134.216,171.7015,153.264,303.342,216.473,246.4205,223.881,164.462,134.216,82.451,141.479,116.544,62.544,67.339,268.4935,345.7065,309.415,343.873,63.07692308,50.0,54.0
6.84999999999999,145.712,92.17,249.365,153.909,336.739,271.283,234.55,386.175,381.761,139.5315,193.126,162.34,333.435,232.919,263.531,234.155,168.921,139.5315,87.9545,144.8745,121.929,67.328,71.2624999999999,293.221,,341.422,367.402,66.15384615,52.5,57.0
