Sampleid,1,2,Avg,std
K4 sh mypt,13.87173195,19.99499598,16.93336396,4.329801518
K4 bud mypt,40.89729815,17.43946542,29.16838179,16.58719259
K4 sh wt,16.8106596,16.39730622,16.60398291,0.292284979
K4 budwt,22.26796754,11.50992868,16.88894811,7.60708223
K5 sh mypt,16.52150326,24.03867451,20.28008888,5.315442771
K5 bud mypt,34.94083002,20.71297088,27.82690045,10.06061568
K5 sh wt,12.87858011,18.91771256,15.89814633,4.270311512
K5 budwt,21.2762936,16.17454914,18.72542137,3.607478104
K8 sh mypt,30.55898921,55.05554035,42.80726478,17.32167743
K8 bud mypt,42.74792573,41.35180216,42.04986394,0.987208445
K8 sh wt,35.47449248,33.11885303,34.29667276,1.665688628
K4 budwt,35.80022775,40.82341489,38.31182132,3.551929688
K4 sh mypt,35.64601146,45.91088402,40.77844774,7.258360994
K4 bud mypt,62.43962517,54.07019513,58.25491015,5.918080738
K4 sh wt,38.52309024,43.46319198,40.99314111,3.493179442
K4 budwt,44.73256437,36.1918904,40.46222739,6.039168476
