 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,%Area
1,863.228,776.167,167.807,17.640,121.403,37.092,29.631,119.798,58.313
2,1188.014,861.415,56.851,22.405,142.855,48.275,31.333,45.369,64.667
3,1346.080,1033.640,141.433,29.017,159.330,58.911,29.093,143.839,75.035
4,996.040,1496.808,90.234,31.164,125.816,38.910,32.593,6.161,82.125
5,1105.711,1079.304,122.998,47.545,138.374,44.125,31.905,139.217,71.218
6,860.008,885.707,26.315,50.662,127.126,39.938,27.418,54.995,65.791
7,724.681,1084.324,64.938,51.001,108.131,33.219,27.776,139.157,69.184
8,1418.423,818.919,181.158,67.985,171.705,57.532,31.391,128.024,52.928
9,1007.208,1651.407,97.931,63.026,137.847,46.272,27.715,156.264,86.239
10,1123.821,1032.566,46.067,73.279,140.095,41.242,34.695,58.680,79.234
11,1004.693,1427.881,149.641,71.770,129.496,38.751,33.011,114.424,93.385
12,523.400,2237.363,83.599,79.981,100.749,37.146,17.941,147.536,96.761
13,1093.838,1143.002,16.644,91.142,135.581,46.196,30.148,72.612,80.384
14,1223.279,1222.382,125.856,89.967,151.047,52.300,29.781,158.597,74.552
15,1214.073,1004.239,65.977,98.401,147.843,48.294,32.008,5.302,70.861
16,1152.597,1731.287,179.440,101.930,152.442,51.037,28.754,150.930,90.310
17,846.828,1220.171,211.494,107.541,124.393,45.317,23.792,113.312,72.138
18,1165.023,1712.389,110.737,111.843,146.931,49.507,29.963,156.501,92.089
19,953.580,668.251,34.813,117.080,122.854,35.847,33.870,137.948,49.802
20,1374.303,1180.444,152.657,123.334,147.598,43.748,39.997,90.953,78.871
21,1262.670,1648.986,75.056,128.015,140.362,42.190,38.106,177.207,77.656
22,834.452,1766.080,188.664,130.859,116.349,39.185,27.114,175.288,84.295
23,1182.832,1122.720,15.748,144.823,141.321,43.789,34.392,90.092,69.271
24,1242.648,1555.099,109.774,141.814,159.619,52.761,29.988,17.723,85.223
25,1043.782,1682.275,51.024,148.674,135.676,42.700,31.124,164.297,97.417
26,1413.794,917.511,193.421,161.711,153.533,49.152,36.623,58.161,76.611
27,993.173,1482.549,160.905,157.844,132.584,39.097,32.344,112.228,80.681
28,1383.157,1062.479,130.138,167.659,146.674,43.652,40.344,147.116,64.330
29,810.506,1953.366,89.525,167.225,118.267,38.910,26.522,150.126,90.299
30,1027.080,1176.794,20.292,179.222,131.470,38.593,33.885,145.171,72.399
31,1348.093,1026.505,58.342,178.632,154.498,51.360,33.420,164.135,73.400
32,1258.394,782.063,109.020,195.233,168.497,49.162,32.591,161.791,72.795
33,987.689,1059.336,159.553,192.002,128.119,40.550,31.013,15.633,87.399
34,1010.177,1283.337,194.380,201.534,133.348,39.977,32.174,130.791,88.108
35,1088.455,975.860,58.219,209.607,138.230,38.066,36.407,64.967,77.436
36,542.165,686.855,29.633,20.262,98.120,31.793,21.712,41.947,61.622
37,828.013,752.145,191.596,40.421,112.159,34.968,30.149,132.894,58.339
38,630.606,1137.812,216.168,187.976,104.239,31.777,25.267,119.379,88.991
39,746.665,653.687,172.083,218.515,114.333,36.015,26.397,173.055,65.045
40,959.567,574.151,137.018,215.342,127.248,37.090,32.941,20.508,55.966
41,1049.115,528.777,91.049,216.625,136.935,43.155,30.953,170.660,45.013
42,1048.008,895.362,27.390,213.655,141.121,38.066,35.054,87.074,70.958
43,649.069,839.595,100.453,9.345,117.877,43.257,19.105,176.340,79.406
