 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,883.009,201.420,160.852,29.111,153.814,38.128,29.487,38.572,0.469,0.000,1.293,0.773,0.743
2,913.148,237.091,195.192,46.027,143.577,44.304,26.243,114.528,0.557,0.025,1.688,0.592,0.839
3,585.413,209.444,106.841,43.496,94.538,31.300,23.814,24.150,0.823,0.000,1.314,0.761,0.984
4,911.078,197.094,224.169,52.217,119.225,37.374,31.038,104.311,0.805,0.000,1.204,0.830,0.966
5,801.794,207.907,170.653,52.683,125.077,38.804,26.309,168.429,0.644,0.000,1.475,0.678,0.964
6,1255.262,251.569,118.883,65.775,156.672,52.664,30.348,35.037,0.643,0.367,1.735,0.576,0.870
7,971.356,247.253,82.598,65.220,121.706,36.152,34.210,131.214,0.824,0.036,1.057,0.946,0.983
8,1068.791,231.115,161.783,73.094,145.969,50.853,26.760,159.057,0.630,0.000,1.900,0.526,0.900
9,653.629,203.568,287.753,76.486,100.541,30.855,26.972,153.796,0.813,0.000,1.144,0.874,0.974
10,769.239,202.989,249.657,75.379,114.800,38.106,25.703,175.918,0.733,0.000,1.483,0.675,0.969
11,877.717,201.666,204.365,79.173,118.212,35.360,31.604,12.356,0.789,0.000,1.119,0.894,0.969
12,1098.355,176.239,45.715,80.068,145.538,47.182,29.640,21.159,0.652,0.000,1.592,0.628,0.886
13,644.196,200.494,126.332,89.330,111.729,30.730,26.691,178.621,0.648,0.000,1.151,0.869,0.948
14,1615.092,226.935,82.168,101.408,165.161,47.248,43.524,154.176,0.744,0.007,1.086,0.921,0.924
15,616.128,183.519,150.044,94.742,99.902,29.889,26.247,121.532,0.776,0.000,1.139,0.878,0.985
16,604.624,214.663,263.218,94.136,99.979,32.671,23.563,30.362,0.760,0.000,1.387,0.721,0.971
17,648.222,218.280,183.480,97.806,120.823,34.055,24.235,148.486,0.558,0.000,1.405,0.712,0.829
18,786.380,222.343,284.145,108.799,132.300,36.404,27.504,81.528,0.565,0.000,1.324,0.756,0.848
19,459.450,259.842,44.385,101.373,87.048,31.496,18.574,5.809,0.762,0.000,1.696,0.590,0.980
20,683.078,230.511,119.185,108.830,115.833,39.809,21.847,157.665,0.640,0.000,1.822,0.549,0.960
21,504.659,198.871,171.344,113.997,106.036,28.535,22.518,13.265,0.564,0.000,1.267,0.789,0.849
22,776.487,190.218,37.171,119.272,132.499,41.940,23.573,14.443,0.556,0.000,1.779,0.562,0.807
23,484.067,200.158,149.901,119.334,101.046,29.178,21.123,141.437,0.596,0.000,1.381,0.724,0.879
24,666.513,198.219,263.373,123.412,101.520,33.613,25.247,124.667,0.813,0.000,1.331,0.751,0.983
25,543.541,200.105,308.094,122.475,104.398,34.808,19.882,143.493,0.627,0.000,1.751,0.571,0.953
26,1033.130,185.246,112.068,132.029,130.388,42.575,30.896,179.045,0.764,0.000,1.378,0.726,0.970
27,893.247,184.049,73.034,134.348,116.875,34.089,33.363,157.598,0.822,0.000,1.022,0.979,0.981
28,514.322,224.633,179.569,129.752,91.728,32.493,20.153,28.831,0.768,0.000,1.612,0.620,0.978
29,551.363,225.305,46.332,136.680,99.471,32.702,21.467,38.941,0.700,0.021,1.523,0.656,0.970
30,1159.438,214.215,212.436,113.496,135.596,42.054,35.103,81.865,0.792,0.000,1.198,0.835,0.974
31,477.741,231.640,14.704,137.172,90.269,27.493,22.125,23.624,0.737,0.000,1.243,0.805,0.972
32,856.666,227.104,144.435,142.198,118.294,35.293,30.906,173.529,0.769,0.000,1.142,0.876,0.974
33,570.114,198.235,236.847,130.207,93.777,29.226,24.837,14.905,0.815,0.000,1.177,0.850,0.970
34,908.547,225.800,235.616,97.506,142.989,51.884,22.296,121.175,0.558,0.000,2.327,0.430,0.869
35,626.136,194.504,308.357,95.066,98.985,31.182,25.567,168.821,0.803,0.000,1.220,0.820,0.976
36,819.970,214.070,298.863,139.802,119.267,42.646,24.481,163.521,0.724,0.000,1.742,0.574,0.980
37,930.748,198.584,331.280,121.233,133.067,43.456,27.270,115.006,0.661,0.000,1.594,0.628,0.889
38,878.983,219.387,258.839,55.016,131.895,46.044,24.306,156.111,0.635,0.026,1.894,0.528,0.872
39,693.776,197.470,135.146,33.481,104.761,31.617,27.939,103.808,0.794,0.000,1.132,0.884,0.975
