 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,%Area
1,1438.454,119.165,147.323,19.874,155.767,50.092,36.563,164.275,0.253
2,760.368,120.574,65.607,15.360,114.341,38.347,25.247,41.169,0.705
3,592.820,120.603,110.817,11.291,103.192,33.192,22.740,5.434,0.757
4,1062.772,119.725,297.966,19.148,132.554,44.178,30.630,141.711,1.327
5,853.476,120.347,190.357,24.824,122.469,42.979,25.284,27.099,3.784
6,833.777,118.653,267.538,28.551,118.172,34.994,30.337,71.705,0.709
7,1310.014,118.861,81.911,35.118,165.763,51.998,32.077,50.208,0.095
8,566.810,120.082,215.971,31.230,96.550,31.551,22.873,84.692,3.685
9,818.013,118.732,239.540,35.930,123.929,37.292,27.929,122.884,1.440
10,384.792,118.115,310.486,45.116,78.495,24.166,20.273,121.944,0.439
11,2479.283,117.928,199.889,66.736,213.734,69.660,45.316,119.901,0.241
12,1418.359,120.240,152.057,54.302,156.643,48.500,37.236,6.404,3.562
13,733.856,118.867,266.151,58.829,122.239,37.289,25.058,135.801,0.946
14,485.532,119.472,232.021,59.252,94.394,25.559,24.187,91.460,1.925
15,1071.751,119.362,155.945,86.249,132.925,38.165,35.755,166.007,1.399
16,890.947,119.364,188.215,98.412,138.855,48.797,23.247,131.002,1.218
17,1210.832,119.376,228.645,111.492,140.723,45.019,34.245,6.570,1.982
18,1788.707,117.792,167.018,123.535,220.911,62.978,36.163,11.689,0.001
19,873.836,119.363,58.666,133.833,147.134,46.752,23.798,60.819,0.390
20,486.482,117.749,120.007,150.108,84.322,26.267,23.581,6.334,0.000
21,743.389,118.705,119.784,38.957,110.192,34.675,27.296,120.467,0.256
22,686.140,119.177,100.721,52.808,111.502,32.652,26.756,147.415,0.543
23,759.523,119.400,91.310,75.599,119.639,37.702,25.650,139.826,0.911
24,741.593,119.176,120.852,74.694,108.858,32.729,28.850,42.043,0.844
25,874.073,118.772,131.217,102.325,144.603,39.040,28.506,144.604,0.133
26,1698.820,117.581,174.154,152.597,178.554,60.559,35.717,14.596,0.012
27,175.126,118.082,138.165,140.025,51.548,16.773,13.294,80.535,0.000
28,568.896,118.061,124.067,124.455,119.425,33.555,21.587,106.577,0.000
29,1158.310,118.808,101.084,115.698,172.285,47.979,30.739,88.913,0.739
30,1772.440,118.340,82.038,151.071,172.199,53.917,41.856,30.102,0.200
31,1312.417,119.141,73.243,95.284,168.007,47.706,35.028,107.000,1.062
32,772.885,118.857,36.025,126.581,111.878,35.700,27.565,35.745,0.837
33,1217.487,119.353,39.358,97.765,156.352,45.872,33.793,30.989,0.870
34,656.248,118.538,35.784,158.434,101.147,31.625,26.421,9.628,0.664
35,782.628,118.328,13.554,147.147,131.562,37.996,26.226,81.712,0.017
36,517.615,119.247,10.677,115.158,89.817,29.812,22.107,86.337,1.541
37,697.283,119.003,25.802,77.940,118.550,37.752,23.517,39.339,0.045
38,1096.440,119.530,51.565,58.352,142.726,41.165,33.913,176.917,1.045
39,973.625,119.334,34.162,36.005,148.950,41.350,29.980,46.435,0.100
40,313.099,117.965,286.067,40.662,77.717,21.057,18.932,53.706,0.008
41,1326.386,118.752,296.912,69.027,147.025,45.368,37.225,113.500,0.444
42,607.555,118.156,302.490,128.348,97.795,30.685,25.210,82.930,0.261
43,1054.560,120.732,279.135,118.134,187.294,46.191,29.069,107.065,2.163
44,734.094,117.876,288.502,157.575,105.801,32.898,28.412,140.210,0.000
45,416.374,117.923,308.780,154.258,99.107,33.267,15.936,93.302,0.006
46,882.259,117.945,262.552,137.846,121.067,41.432,27.113,92.026,0.207
47,707.054,119.825,238.652,135.777,133.430,32.172,27.982,36.601,1.576
48,1789.208,119.024,252.954,85.329,188.431,56.907,40.032,163.879,1.101
49,516.321,118.175,298.268,99.254,91.061,28.635,22.958,147.961,0.363
