 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,%Area
1,601.327,356.290,173.649,35.886,102.014,28.574,26.795,3.202,17.452
2,798.985,307.617,105.929,36.267,125.227,38.408,26.487,15.830,8.576
3,729.460,246.196,135.589,41.665,113.563,30.903,30.055,170.395,3.483
4,527.978,371.974,77.201,42.148,96.467,32.422,20.734,153.209,17.446
5,444.870,371.553,156.714,51.387,84.726,25.199,22.478,70.976,16.714
6,594.837,367.063,186.840,56.004,108.154,29.914,25.318,150.237,17.228
7,321.164,379.806,63.606,55.335,71.531,21.542,18.982,137.496,13.612
8,786.157,349.354,40.601,62.901,114.470,32.601,30.704,15.063,14.686
9,457.045,587.617,107.902,59.021,89.760,24.640,23.617,136.902,32.614
10,783.742,415.095,129.521,69.428,118.892,33.755,29.563,92.788,21.182
11,541.813,589.948,83.307,65.389,94.931,26.899,25.646,68.258,32.098
12,548.051,415.152,174.610,72.855,94.704,28.547,24.444,165.414,21.259
13,504.132,420.108,152.090,75.272,95.401,29.023,22.116,58.025,21.784
14,673.921,427.825,100.096,84.902,119.010,39.055,21.970,86.385,21.596
15,753.708,388.156,64.575,81.356,114.965,34.945,27.461,155.699,19.110
16,644.038,369.871,30.219,88.937,111.138,33.302,24.624,89.756,14.381
17,470.577,311.108,11.410,85.002,90.639,29.631,20.221,85.063,12.027
18,681.769,374.615,184.338,90.835,123.365,40.628,21.366,21.317,19.089
19,733.082,421.872,119.131,97.318,114.583,33.865,27.562,55.331,22.811
20,468.565,461.999,82.609,98.795,87.056,26.281,22.701,68.947,27.657
21,615.815,455.919,52.458,100.932,103.454,30.691,25.548,151.320,25.047
22,985.174,511.838,151.856,101.824,131.661,38.990,32.171,158.965,30.108
23,573.104,488.880,208.770,112.138,98.591,32.254,22.624,94.230,27.475
24,776.850,477.916,185.895,113.187,125.168,37.482,26.389,50.946,28.377
25,613.501,396.509,29.952,116.948,101.437,32.460,24.064,121.897,19.475
26,1295.169,458.819,62.238,126.993,159.238,48.258,34.172,30.343,24.669
27,454.127,502.945,93.459,119.629,86.806,30.618,18.885,59.581,30.586
28,771.517,476.500,137.905,125.463,109.254,32.673,30.066,102.716,27.374
29,1038.751,441.139,109.708,132.490,143.170,43.577,30.351,51.059,22.879
30,1137.908,452.090,164.198,138.984,142.813,41.147,35.211,32.597,23.697
31,675.279,595.420,200.249,136.904,109.258,36.279,23.699,18.375,41.310
32,1141.328,465.586,26.748,152.871,149.574,51.828,28.039,42.990,26.059
33,985.023,558.024,70.195,153.552,140.067,48.621,25.795,33.186,31.440
34,696.358,533.719,131.672,156.466,109.699,32.423,27.346,96.048,30.516
35,726.039,447.406,210.233,157.923,112.145,37.110,24.910,177.893,24.806
36,605.200,492.155,104.422,160.716,105.787,29.766,25.887,8.782,26.841
37,624.921,405.584,179.643,162.783,104.804,31.798,25.023,14.135,20.053
38,733.837,466.670,153.167,171.257,110.219,30.737,30.398,123.750,27.010
39,720.204,518.659,36.480,172.923,121.747,42.021,21.822,19.109,31.685
40,763.720,416.789,79.073,174.504,117.578,38.429,25.304,10.258,22.251
41,556.955,424.928,116.163,178.701,96.748,35.743,19.840,8.009,22.058
42,612.243,354.005,212.209,181.258,99.963,29.283,26.621,141.165,15.259
43,670.500,455.392,185.082,184.117,107.627,35.086,24.332,178.756,27.041
