Time (hpf),2503_NetworkDensity,1801_NetworkDensity,2410_NetworkDensity
4.0,1.2994,,3.1295454545454544
4.5,19.05235869565217,25.22460941043084,10.380744186046512
5.0,27.175666666666668,22.692107340372047,32.03071052631578
5.5,46.653930555555554,29.224897129866445,47.00210714285715
6.0,57.509538461538455,41.46009895299145,34.63775510204082
6.5,61.10757652439024,56.75918094007629,48.517229166666674
7.0,68.50379069767442,66.30736041784836,56.990100000000005
7.5,80.05050233100233,76.15205764966741,66.22410416666666
8.0,84.73242424242423,,78.05959574468085
8.5,90.4049351851852,,95.06371739130438
