 ,Mean,Slice,MinThr,MaxThr,microns
1,290.524,1,120.400,1.000E30,0.000
2,270.578,2,120.400,1.000E30,0.999
3,256.942,3,120.400,1.000E30,1.999
4,235.974,4,120.400,1.000E30,2.998
5,232.006,5,120.400,1.000E30,3.998
6,228.629,6,120.400,1.000E30,4.997
7,222.371,7,120.400,1.000E30,5.997
8,217.215,8,120.400,1.000E30,6.996
9,217.995,9,120.400,1.000E30,7.996
10,221.410,10,120.400,1.000E30,8.995
11,224.485,11,120.400,1.000E30,9.995
12,227.205,12,120.400,1.000E30,10.994
13,229.305,13,120.400,1.000E30,11.993
14,227.183,14,120.400,1.000E30,12.993
15,225.489,15,120.400,1.000E30,13.992
16,223.448,16,120.400,1.000E30,14.992
17,221.757,17,120.400,1.000E30,15.991
18,220.768,18,120.400,1.000E30,16.991
19,219.599,19,120.400,1.000E30,17.990
20,218.376,20,120.400,1.000E30,18.990
21,217.834,21,120.400,1.000E30,19.989
22,215.551,22,120.400,1.000E30,20.988
23,213.185,23,120.400,1.000E30,21.988
24,211.193,24,120.400,1.000E30,22.987
25,209.704,25,120.400,1.000E30,23.987
26,208.723,26,120.400,1.000E30,24.986
27,208.503,27,120.400,1.000E30,25.986
28,208.916,28,120.400,1.000E30,26.985
29,210.553,29,120.400,1.000E30,27.985
30,212.537,30,120.400,1.000E30,28.984
31,214.973,31,120.400,1.000E30,29.984
32,217.762,32,120.400,1.000E30,30.983
33,220.950,33,120.400,1.000E30,31.982
34,222.485,34,120.400,1.000E30,32.982
35,223.648,35,120.400,1.000E30,33.981
36,224.451,36,120.400,1.000E30,34.981
37,224.017,37,120.400,1.000E30,35.980
38,223.692,38,120.400,1.000E30,36.980
39,224.959,39,120.400,1.000E30,37.979
40,227.351,40,120.400,1.000E30,38.979
41,229.648,41,120.400,1.000E30,39.978
42,233.092,42,120.400,1.000E30,40.978
43,237.151,43,120.400,1.000E30,41.977
44,243.321,44,120.400,1.000E30,42.976
45,248.569,45,120.400,1.000E30,43.976
46,253.072,46,120.400,1.000E30,44.975
47,257.554,47,120.400,1.000E30,45.975
48,262.370,48,120.400,1.000E30,46.974
49,267.353,49,120.400,1.000E30,47.974
50,273.834,50,120.400,1.000E30,48.973
51,279.701,51,120.400,1.000E30,49.973
52,284.396,52,120.400,1.000E30,50.972
53,289.536,53,120.400,1.000E30,51.971
54,293.456,54,120.400,1.000E30,52.971
55,298.015,55,120.400,1.000E30,53.970
56,301.325,56,120.400,1.000E30,54.970
57,304.585,57,120.400,1.000E30,55.969
58,307.748,58,120.400,1.000E30,56.969
59,310.692,59,120.400,1.000E30,57.968
60,313.743,60,120.400,1.000E30,58.968
61,316.881,61,120.400,1.000E30,59.967
62,319.659,62,120.400,1.000E30,60.967
63,322.467,63,120.400,1.000E30,61.966
64,324.411,64,120.400,1.000E30,62.965
65,326.912,65,120.400,1.000E30,63.965
66,328.251,66,120.400,1.000E30,64.964
