 ,Mean,Slice,MinThr,MaxThr,microns
1,173.726,1,-3.403E38,3.4e38,0.000
2,160.674,2,-3.403E38,3.4e38,0.999
3,149.642,3,-3.403E38,3.4e38,1.999
4,139.044,4,-3.403E38,3.4e38,2.998
5,135.401,5,-3.403E38,3.4e38,3.998
6,129.952,6,-3.403E38,3.4e38,4.997
7,124.926,7,-3.403E38,3.4e38,5.997
8,122.436,8,-3.403E38,3.4e38,6.996
9,123.968,9,-3.403E38,3.4e38,7.996
10,125.469,10,-3.403E38,3.4e38,8.995
11,126.614,11,-3.403E38,3.4e38,9.995
12,126.548,12,-3.403E38,3.4e38,10.994
13,124.094,13,-3.403E38,3.4e38,11.993
14,120.430,14,-3.403E38,3.4e38,12.993
15,117.009,15,-3.403E38,3.4e38,13.992
16,115.430,16,-3.403E38,3.4e38,14.992
17,113.891,17,-3.403E38,3.4e38,15.991
18,112.734,18,-3.403E38,3.4e38,16.991
19,111.861,19,-3.403E38,3.4e38,17.990
20,111.061,20,-3.403E38,3.4e38,18.990
21,110.432,21,-3.403E38,3.4e38,19.989
22,109.885,22,-3.403E38,3.4e38,20.988
23,110.412,23,-3.403E38,3.4e38,21.988
24,110.153,24,-3.403E38,3.4e38,22.987
25,109.875,25,-3.403E38,3.4e38,23.987
26,109.819,26,-3.403E38,3.4e38,24.986
27,109.992,27,-3.403E38,3.4e38,25.986
28,110.398,28,-3.403E38,3.4e38,26.985
29,110.002,29,-3.403E38,3.4e38,27.985
30,109.888,30,-3.403E38,3.4e38,28.984
31,109.417,31,-3.403E38,3.4e38,29.984
32,109.622,32,-3.403E38,3.4e38,30.983
33,109.574,33,-3.403E38,3.4e38,31.982
34,110.168,34,-3.403E38,3.4e38,32.982
35,111.990,35,-3.403E38,3.4e38,33.981
36,113.523,36,-3.403E38,3.4e38,34.981
37,113.631,37,-3.403E38,3.4e38,35.980
38,114.315,38,-3.403E38,3.4e38,36.980
39,32.367,39,-3.403E38,3.4e38,37.979
40,5.418,40,-3.403E38,3.4e38,38.979
41,2.994,41,-3.403E38,3.4e38,39.978
42,2.846,42,-3.403E38,3.4e38,40.978
43,2.271,43,-3.403E38,3.4e38,41.977
44,2.099,44,-3.403E38,3.4e38,42.976
45,2.094,45,-3.403E38,3.4e38,43.976
46,2.126,46,-3.403E38,3.4e38,44.975
47,2.130,47,-3.403E38,3.4e38,45.975
48,2.135,48,-3.403E38,3.4e38,46.974
49,2.135,49,-3.403E38,3.4e38,47.974
50,2.124,50,-3.403E38,3.4e38,48.973
51,2.128,51,-3.403E38,3.4e38,49.973
52,2.128,52,-3.403E38,3.4e38,50.972
53,2.117,53,-3.403E38,3.4e38,51.971
54,2.112,54,-3.403E38,3.4e38,52.971
55,2.101,55,-3.403E38,3.4e38,53.970
56,2.103,56,-3.403E38,3.4e38,54.970
57,2.089,57,-3.403E38,3.4e38,55.969
58,2.065,58,-3.403E38,3.4e38,56.969
59,2.068,59,-3.403E38,3.4e38,57.968
60,2.057,60,-3.403E38,3.4e38,58.968
61,2.051,61,-3.403E38,3.4e38,59.967
62,2.036,62,-3.403E38,3.4e38,60.967
63,2.020,63,-3.403E38,3.4e38,61.966
64,2.002,64,-3.403E38,3.4e38,62.965
65,1.972,65,-3.403E38,3.4e38,63.965
66,1.940,66,-3.403E38,3.4e38,64.964
