 ,Area,Mean,Min,Max,Slice,microns
1,385906.487,202.367,0,3376,1,0.000
2,385906.487,186.344,0,2668,2,1.000
3,385906.487,174.577,0,2672,3,2.000
4,385906.487,169.372,0,2657,4,3.000
5,385906.487,164.950,0,2652,5,4.000
6,385906.487,162.619,0,2592,6,5.000
7,385906.487,161.463,0,2043,7,6.000
8,385906.487,160.326,0,1702,8,6.999
9,385906.487,159.186,0,1678,9,7.999
10,385906.487,159.561,0,1469,10,8.999
11,385906.487,160.103,0,1394,11,9.999
12,385906.487,161.997,0,1118,12,10.999
13,385906.487,165.273,0,1458,13,11.999
14,385906.487,171.771,0,1388,14,12.999
15,385906.487,177.006,0,1063,15,13.999
16,385906.487,182.762,0,1341,16,14.999
17,385906.487,188.486,0,1209,17,15.999
18,385906.487,193.633,0,1182,18,16.999
19,385906.487,199.575,0,999,19,17.999
20,385906.487,206.056,0,1143,20,18.999
21,385906.487,210.956,0,1179,21,19.999
22,385906.487,213.989,0,1187,22,20.998
23,385906.487,216.468,0,1387,23,21.998
24,385906.487,217.687,0,1201,24,22.998
25,385906.487,218.551,0,1326,25,23.998
26,385906.487,221.024,0,1206,26,24.998
27,385906.487,225.134,0,1668,27,25.998
28,385906.487,228.836,0,1208,28,26.998
29,385906.487,234.875,0,1290,29,27.998
30,385906.487,237.837,0,1346,30,28.998
31,385906.487,240.771,0,1231,31,29.998
32,385906.487,243.085,0,1401,32,30.998
33,385906.487,245.891,0,1394,33,31.998
34,385906.487,247.091,0,1622,34,32.998
35,385906.487,249.031,0,1582,35,33.998
36,385906.487,250.566,0,1367,36,34.997
37,385906.487,252.781,0,1539,37,35.997
38,385906.487,255.174,0,1503,38,36.997
39,385906.487,256.833,0,1393,39,37.997
40,385906.487,259.123,0,1552,40,38.997
41,385906.487,260.271,0,1691,41,39.997
42,385906.487,261.839,0,1376,42,40.997
43,385906.487,263.771,0,1414,43,41.997
44,385906.487,264.417,0,1520,44,42.997
45,385906.487,263.765,0,1476,45,43.997
46,385906.487,263.405,0,1447,46,44.997
47,385906.487,262.822,0,1814,47,45.997
48,385906.487,257.951,0,1457,48,46.997
49,385906.487,255.440,0,1428,49,47.997
50,385906.487,254.832,0,1611,50,48.996
51,385906.487,253.678,0,1539,51,49.996
52,385906.487,254.666,0,1549,52,50.996
53,385906.487,255.795,0,1606,53,51.996
54,385906.487,255.188,0,1624,54,52.996
55,385906.487,254.765,0,1645,55,53.996
56,385906.487,253.561,0,1723,56,54.996
57,385906.487,252.002,0,1563,57,55.996
58,385906.487,249.513,0,1532,58,56.996
59,385906.487,248.074,0,1535,59,57.996
60,385906.487,247.953,0,1736,60,58.996
61,385906.487,247.213,0,1442,61,59.996
62,385906.487,247.983,0,2024,62,60.996
63,385906.487,249.778,0,1494,63,61.996
64,385906.487,251.824,0,1476,64,62.995
65,385906.487,254.181,0,1421,65,63.995
66,385906.487,256.773,0,1876,66,64.995
67,385906.487,259.261,0,1541,67,65.995
68,385906.487,261.088,0,1617,68,66.995
69,385906.487,263.287,0,1571,69,67.995
70,385906.487,263.950,0,1640,70,68.995
