 ,Area,Mean,Min,Max,Slice,microns
1,385906.487,284.572,0,3399,1,0.000
2,385906.487,268.497,0,3531,2,0.999
3,385906.487,256.498,0,3160,3,1.999
4,385906.487,246.959,0,3204,4,2.998
5,385906.487,241.636,0,2639,5,3.998
6,385906.487,236.913,0,2719,6,4.997
7,385906.487,233.149,0,2389,7,5.997
8,385906.487,227.341,0,1934,8,6.996
9,385906.487,222.521,0,1863,9,7.996
10,385906.487,218.719,0,1600,10,8.995
11,385906.487,215.825,0,1836,11,9.995
12,385906.487,214.734,0,1761,12,10.994
13,385906.487,214.957,0,1685,13,11.993
14,385906.487,214.001,0,1706,14,12.993
15,385906.487,214.721,0,1666,15,13.992
16,385906.487,214.910,0,1620,16,14.992
17,385906.487,216.879,0,1383,17,15.991
18,385906.487,218.485,0,1404,18,16.991
19,385906.487,219.832,0,1435,19,17.990
20,385906.487,221.633,0,1363,20,18.990
21,385906.487,222.730,0,1355,21,19.989
22,385906.487,223.097,0,1338,22,20.988
23,385906.487,223.967,0,1350,23,21.988
24,385906.487,224.891,0,1289,24,22.987
25,385906.487,225.956,0,1400,25,23.987
26,385906.487,229.543,0,1443,26,24.986
27,385906.487,231.299,0,1467,27,25.986
28,385906.487,235.264,0,1215,28,26.985
29,385906.487,237.831,0,1445,29,27.985
30,385906.487,238.464,0,1655,30,28.984
31,385906.487,238.517,0,1270,31,29.984
32,385906.487,238.963,0,1303,32,30.983
33,385906.487,239.030,0,1229,33,31.982
34,385906.487,238.154,0,1298,34,32.982
35,385906.487,237.094,0,1128,35,33.981
36,385906.487,237.006,0,1067,36,34.981
37,385906.487,235.708,0,1130,37,35.980
38,385906.487,231.636,0,1059,38,36.980
39,385906.487,229.056,0,1045,39,37.979
40,385906.487,221.314,0,1127,40,38.979
41,385906.487,216.045,0,1007,41,39.978
42,385906.487,213.219,0,1119,42,40.978
43,385906.487,209.524,0,993,43,41.977
44,385906.487,205.054,0,955,44,42.976
45,385906.487,202.566,0,1130,45,43.976
46,385906.487,200.271,0,1009,46,44.975
47,385906.487,195.317,0,1004,47,45.975
48,385906.487,195.443,0,1077,48,46.974
49,385906.487,204.474,0,925,49,47.974
50,385906.487,218.418,0,1007,50,48.973
51,385906.487,229.260,0,1101,51,49.973
52,385906.487,203.504,0,1369,52,50.972
53,385906.487,139.349,0,1533,53,51.971
54,385906.487,25.140,0,270,54,52.971
55,385906.487,13.815,0,235,55,53.970
56,385906.487,9.879,0,225,56,54.970
57,385906.487,7.830,0,180,57,55.969
58,385906.487,6.469,0,202,58,56.969
59,385906.487,5.487,0,206,59,57.968
60,385906.487,4.726,0,169,60,58.968
61,385906.487,4.165,0,189,61,59.967
62,385906.487,3.734,0,112,62,60.967
63,385906.487,3.508,0,172,63,61.966
64,385906.487,3.341,0,112,64,62.965
65,385906.487,3.246,0,171,65,63.965
66,385906.487,3.165,0,188,66,64.964
67,385906.487,3.069,0,206,67,65.964
68,385906.487,3.003,0,135,68,66.963
69,385906.487,2.886,0,119,69,67.963
70,385906.487,2.795,0,213,70,68.962
