 ,Area,Mean,Slice,MinThr,MaxThr,microns
1,290754.770,260.519,1,67.624,1.000E30,0.000
2,296154.493,273.813,2,67.624,1.000E30,1.000
3,299890.724,291.649,3,67.624,1.000E30,2.000
4,303179.432,296.955,4,67.624,1.000E30,3.000
5,305244.812,295.950,5,67.624,1.000E30,4.000
6,308564.434,310.929,6,67.624,1.000E30,5.000
7,309845.175,303.039,7,67.624,1.000E30,6.000
8,310894.794,302.128,8,67.624,1.000E30,6.999
9,314545.643,329.378,9,67.624,1.000E30,7.999
10,316883.364,327.934,10,67.624,1.000E30,8.999
11,319497.843,340.898,11,67.624,1.000E30,9.999
12,321042.093,346.799,12,67.624,1.000E30,10.999
13,322861.629,349.047,13,67.624,1.000E30,11.999
14,324090.846,352.481,14,67.624,1.000E30,12.999
15,325963.378,353.258,15,67.624,1.000E30,13.999
